Data,Loja,Item,Real,Previsto
2016-03-28,3,1047679,2980,2945.921431017445
2016-04-04,3,1047679,3126,3228.7053362527795
2016-04-11,3,1047679,3443,3218.110014708421
2016-04-18,3,1047679,3884,3205.1804664557076
2016-04-25,3,1047679,3398,3181.3286318685978
2016-05-02,3,1047679,2831,3194.1874783625776
2016-05-09,3,1047679,3121,3119.9633462807096
2016-05-16,3,1047679,3092,3236.2035084320983
2016-05-23,3,1047679,3126,3209.5712754798474
2016-05-30,3,1047679,3185,3213.712127979826
2016-06-06,3,1047679,4317,3218.4834553337923
2016-06-13,3,1047679,3450,3102.9563555048744
2016-06-20,3,1047679,3430,3211.2432042346645
2016-06-27,3,1047679,3372,3225.8377587778277
2016-07-04,3,1047679,3380,3303.486387383021
2016-07-11,3,1047679,3496,3169.476085066091
2016-07-18,3,1047679,3723,3220.6434091941583
2016-07-25,3,1047679,2988,3143.6436371445916
2016-08-01,3,1047679,2993,3132.0426161212604
2016-08-08,3,1047679,3052,3053.375008272816
2016-08-15,3,1047679,3111,3227.729869782378
2016-08-22,3,1047679,3464,3023.8577655416802
2016-08-29,3,1047679,3538,3174.939417724435
2016-09-05,3,1047679,3255,3265.82898682216
2016-09-12,3,1047679,3529,3150.647179665563
2016-09-19,3,1047679,3073,3204.7547251430237
2016-09-26,3,1047679,2998,3101.637242304321
2016-10-03,3,1047679,2658,3168.4595336788043
2016-10-10,3,1047679,2326,3067.2698812300755
2016-10-17,3,1047679,2578,2924.7094757198374
2016-10-24,3,1047679,2734,3107.811691825639
2016-10-31,3,1047679,2479,3069.402326176586
2016-11-07,3,1047679,2995,3156.485606844837
2016-11-14,3,1047679,3018,3095.29804259531
2016-11-21,3,1047679,3162,3011.6067631004607
2016-11-28,3,1047679,3240,3088.3480427966015
2016-12-05,3,1047679,3201,3239.0704363970926
2016-12-12,3,1047679,2871,3134.443425898561
2016-12-19,3,1047679,3147,3229.5574743280395
2016-12-26,3,1047679,2721,3155.6721483118636
2017-01-02,3,1047679,3301,3241.4325433209306
2017-01-09,3,1047679,3184,3293.6765649743506
2017-01-16,3,1047679,3225,3332.4879826717483
2017-01-23,3,1047679,2812,3138.3148598999924
2017-01-30,3,1047679,2605,3190.6490739418987
2017-02-06,3,1047679,2703,3131.38563644904
2017-02-13,3,1047679,3116,3137.138805913408
2017-02-20,3,1047679,2041,3350.14269041013
2017-02-27,3,1047679,1906,3285.4671370923606
2017-03-06,3,1047679,2319,3353.700287030777
2017-03-13,3,1047679,2754,3203.0846059361993
2017-03-20,3,1047679,2477,3076.6340392703373
2017-03-27,3,1047679,1841,3105.03686680407
2017-04-03,3,1047679,2479,3166.944271922683
2017-04-10,3,1047679,1921,3179.1796033407386
2017-04-17,3,1047679,1985,3152.672019562641
2017-04-24,3,1047679,2175,3153.3971676251704
2017-05-01,3,1047679,2001,3120.7101901121923
2017-05-08,3,1047679,2319,3124.0093789306857
2017-05-15,3,1047679,2088,3232.089831663205
2017-05-22,3,1047679,2072,3178.0609096005005
2017-05-29,3,1047679,2267,3194.2546203717166
2017-06-05,3,1047679,2620,3192.9191855487434
2017-06-12,3,1047679,1981,3177.7278033143325
2017-06-19,3,1047679,2023,3178.497662499256
2017-06-26,3,1047679,3034,3202.943842448826
2017-07-03,3,1047679,2918,3388.9591013683257
2017-07-10,3,1047679,2696,3219.4559392657843
2017-07-17,3,1047679,2348,3188.2476193748953
2017-07-24,3,1047679,2807,3149.3403541843827
2017-07-31,3,1047679,2414,3201.261854110445
2017-08-07,3,1047679,2754,3175.8237093011303
2017-08-14,3,1047679,2241,3340.998068103838
2016-10-10,3,1503844,4093,3727.353482772136
2016-10-17,3,1503844,3886,3683.1499475698447
2016-10-24,3,1503844,3905,3683.1499475698447
2016-10-31,3,1503844,2862,3683.1499475698447
2016-11-07,3,1503844,3455,3683.1499475698447
2016-11-14,3,1503844,3661,3683.1499475698447
2016-11-21,3,1503844,4226,3683.1499475698447
2016-11-28,3,1503844,3955,3683.1499475698447
2016-12-05,3,1503844,3588,3683.1499475698447
2016-12-12,3,1503844,3489,3683.1499475698447
2016-12-19,3,1503844,3894,3683.1499475698447
2016-12-26,3,1503844,2932,3683.1499475698447
2017-01-02,3,1503844,3452,3683.1499475698447
2017-01-09,3,1503844,4390,3683.1499475698447
2017-01-16,3,1503844,4036,3683.1499475698447
2017-01-23,3,1503844,4248,3683.1499475698447
2017-01-30,3,1503844,3694,3683.1499475698447
2017-02-06,3,1503844,3448,3683.1499475698447
2017-02-13,3,1503844,3837,3683.1499475698447
2017-02-20,3,1503844,3735,3683.1499475698447
2017-02-27,3,1503844,3251,3683.1499475698447
2017-03-06,3,1503844,4201,3683.1499475698447
2017-03-13,3,1503844,3717,3683.1499475698447
2017-03-20,3,1503844,3802,3683.1499475698447
2017-03-27,3,1503844,3760,3683.1499475698447
2017-04-03,3,1503844,3848,3683.1499475698447
2017-04-10,3,1503844,3880,3683.1499475698447
2017-04-17,3,1503844,3548,3683.1499475698447
2017-04-24,3,1503844,3070,3683.1499475698447
2017-05-01,3,1503844,3688,3683.1499475698447
2017-05-08,3,1503844,3587,3683.1499475698447
2017-05-15,3,1503844,3372,3683.1499475698447
2017-05-22,3,1503844,3620,3683.1499475698447
2017-05-29,3,1503844,3101,3683.1499475698447
2017-06-05,3,1503844,4155,3683.1499475698447
2017-06-12,3,1503844,3546,3683.1499475698447
2017-06-19,3,1503844,3826,3683.1499475698447
2017-06-26,3,1503844,3703,3683.1499475698447
2017-07-03,3,1503844,3602,3683.1499475698447
2017-07-10,3,1503844,4088,3683.1499475698447
2017-07-17,3,1503844,3315,3683.1499475698447
2017-07-24,3,1503844,3480,3683.1499475698447
2017-07-31,3,1503844,3862,3683.1499475698447
2017-08-07,3,1503844,3736,3683.1499475698447
2017-08-14,3,1503844,3527,3683.1499475698447
2016-10-10,8,1503844,2782,2788.5178427590813
2016-10-17,8,1503844,2868,2614.10509629931
2016-10-24,8,1503844,2775,2614.10509629931
2016-10-31,8,1503844,2534,2614.10509629931
2016-11-07,8,1503844,2704,2614.10509629931
2016-11-14,8,1503844,2633,2614.10509629931
2016-11-21,8,1503844,2964,2614.10509629931
2016-11-28,8,1503844,2751,2614.10509629931
2016-12-05,8,1503844,2825,2614.10509629931
2016-12-12,8,1503844,2663,2614.10509629931
2016-12-19,8,1503844,2972,2614.10509629931
2016-12-26,8,1503844,2276,2614.10509629931
2017-01-02,8,1503844,2694,2614.10509629931
2017-01-09,8,1503844,3066,2614.10509629931
2017-01-16,8,1503844,3167,2614.10509629931
2017-01-23,8,1503844,3017,2614.10509629931
2017-01-30,8,1503844,2880,2614.10509629931
2017-02-06,8,1503844,2392,2614.10509629931
2017-02-13,8,1503844,3059,2614.10509629931
2017-02-20,8,1503844,2814,2614.10509629931
2017-02-27,8,1503844,2634,2614.10509629931
2017-03-06,8,1503844,2923,2614.10509629931
2017-03-13,8,1503844,3041,2614.10509629931
2017-03-20,8,1503844,3242,2614.10509629931
2017-03-27,8,1503844,2734,2614.10509629931
2017-04-03,8,1503844,2658,2614.10509629931
2017-04-10,8,1503844,2806,2614.10509629931
2017-04-17,8,1503844,2706,2614.10509629931
2017-04-24,8,1503844,2174,2614.10509629931
2017-05-01,8,1503844,2821,2614.10509629931
2017-05-08,8,1503844,2836,2614.10509629931
2017-05-15,8,1503844,2431,2614.10509629931
2017-05-22,8,1503844,2936,2614.10509629931
2017-05-29,8,1503844,2531,2614.10509629931
2017-06-05,8,1503844,2865,2614.10509629931
2017-06-12,8,1503844,2592,2614.10509629931
2017-06-19,8,1503844,3000,2614.10509629931
2017-06-26,8,1503844,2862,2614.10509629931
2017-07-03,8,1503844,2890,2614.10509629931
2017-07-10,8,1503844,2979,2614.10509629931
2017-07-17,8,1503844,2583,2614.10509629931
2017-07-24,8,1503844,2604,2614.10509629931
2017-07-31,8,1503844,2759,2614.10509629931
2017-08-07,8,1503844,2862,2614.10509629931
2017-08-14,8,1503844,2650,2614.10509629931
2016-03-28,8,1047679,1473,1585.9405897258964
2016-04-04,8,1047679,1431,1631.6650461826853
2016-04-11,8,1047679,1533,1611.665490012761
2016-04-18,8,1047679,1646,1614.7468578188366
2016-04-25,8,1047679,1918,1612.1072104114432
2016-05-02,8,1047679,1539,1612.020323662211
2016-05-09,8,1047679,1341,1611.5593955436598
2016-05-16,8,1047679,1825,1611.4397870737546
2016-05-23,8,1047679,2061,1611.335490200072
2016-05-30,8,1047679,1667,1611.2917231056292
2016-06-06,8,1047679,1769,1611.2643151662546
2016-06-13,8,1047679,2043,1611.2507522997691
2016-06-20,8,1047679,1767,1611.2430798412468
2016-06-27,8,1047679,2054,1611.2390640441863
2016-07-04,8,1047679,2045,1611.2368663037655
2016-07-11,8,1047679,1758,1611.2356941427938
2016-07-18,8,1047679,1705,1611.23505962751
2016-07-25,8,1047679,1355,1611.234719079237
2016-08-01,8,1047679,1454,1611.234535400921
2016-08-08,8,1047679,1689,1611.2344366135385
2016-08-15,8,1047679,1528,1611.2343833956893
2016-08-22,8,1047679,1955,1611.2343547537453
2016-08-29,8,1047679,1841,1611.234339330193
2016-09-05,8,1047679,1683,1611.2343310272927
2016-09-12,8,1047679,1711,1611.2343265568147
2016-09-19,8,1047679,1544,1611.2343241500553
2016-09-26,8,1047679,1373,1611.2343228542563
2016-10-03,8,1047679,1745,1611.2343221566227
2016-10-10,8,1047679,1665,1611.2343217810226
2016-10-17,8,1047679,1668,1611.2343215788046
2016-10-24,8,1047679,1540,1611.2343214699326
