Data,Loja,Item,Real,Previsto
2016-03-28,3,1047679,2980.0,3065.5422
2016-04-04,3,1047679,3126.0,3299.7324
2016-04-11,3,1047679,3443.0,3157.4985
2016-04-18,3,1047679,3884.0,3116.8167
2016-04-25,3,1047679,3398.0000000000005,3196.3967
2016-05-02,3,1047679,2831.0,3162.9375
2016-05-09,3,1047679,3121.0,3130.3308
2016-05-16,3,1047679,3092.0,3164.9622
2016-05-23,3,1047679,3126.0,3163.5513
2016-05-30,3,1047679,3185.0,3188.3782
2016-06-06,3,1047679,4317.0,3119.8777
2016-06-13,3,1047679,3450.0,3279.8333
2016-06-20,3,1047679,3430.0,3243.7515
2016-06-27,3,1047679,3372.0,3194.6316
2016-07-04,3,1047679,3380.0,3099.1394
2016-07-11,3,1047679,3496.0,3144.965
2016-07-18,3,1047679,3723.0,3178.328
2016-07-25,3,1047679,2988.0,3113.5286
2016-08-01,3,1047679,2993.0,3123.5308
2016-08-08,3,1047679,3052.0,3212.708
2016-08-15,3,1047679,3110.9999999999995,3079.658
2016-08-22,3,1047679,3464.0000000000005,3234.3599
2016-08-29,3,1047679,3537.9999999999995,3182.2566
2016-09-05,3,1047679,3255.0,3277.9158
2016-09-12,3,1047679,3529.0,3114.5984
2016-09-19,3,1047679,3073.0,3323.799
2016-09-26,3,1047679,2998.0,3241.502
2016-10-03,3,1047679,2658.0,3198.967
2016-10-10,3,1047679,2326.0,3231.9045
2016-10-17,3,1047679,2578.0,3247.5251
2016-10-24,3,1047679,2734.0,3003.339
2016-10-31,3,1047679,2479.0,2997.398
2016-11-07,3,1047679,2995.0,3014.8567
2016-11-14,3,1047679,3018.0,2929.596
2016-11-21,3,1047679,3162.0,3076.9055
2016-11-28,3,1047679,3240.0,3212.035
2016-12-05,3,1047679,3201.0,3154.919
2016-12-12,3,1047679,2871.0,3161.5598
2016-12-19,3,1047679,3147.0,3155.898
2016-12-26,3,1047679,2721.0,3179.4626
2017-01-02,3,1047679,3301.0000000000005,3084.7087
2017-01-09,3,1047679,3184.0,3067.9536
2017-01-16,3,1047679,3225.0,3158.8418
2017-01-23,3,1047679,2811.9999999999995,3218.988
2017-01-30,3,1047679,2605.0,3133.0981
2017-02-06,3,1047679,2703.0000000000005,3215.0444
2017-02-13,3,1047679,3116.0,3050.8828
2017-02-20,3,1047679,2041.0,3096.0767
2017-02-27,3,1047679,1906.0,3126.1377
2017-03-06,3,1047679,2319.0,3113.7388
2017-03-13,3,1047679,2754.0,3122.9006
2017-03-20,3,1047679,2477.0,3004.5723
2017-03-27,3,1047679,1841.0,2855.8691
2017-04-03,3,1047679,2479.0,3116.5818
2017-04-10,3,1047679,1921.0,3263.269
2017-04-17,3,1047679,1985.0,3285.5095
2017-04-24,3,1047679,2175.0,3394.6985
2017-05-01,3,1047679,2000.9999999999998,3135.1895
2017-05-08,3,1047679,2319.0,2989.7202
2017-05-15,3,1047679,2088.0,3021.7256
2017-05-22,3,1047679,2072.0,3062.535
