Data,Loja,Item,Real,Previsto
2016-03-28,3,1047679,2980.0,3459.925
2016-04-04,3,1047679,3126.0,3133.3381
2016-04-11,3,1047679,3443.0,3276.7542
2016-04-18,3,1047679,3884.0,3264.747
2016-04-25,3,1047679,3398.0000000000005,3312.7688
2016-05-02,3,1047679,2831.0,3437.0137
2016-05-09,3,1047679,3121.0,3155.5996
2016-05-16,3,1047679,3092.0,3292.8755
2016-05-23,3,1047679,3126.0,3303.7126
2016-05-30,3,1047679,3185.0,3254.7205
2016-06-06,3,1047679,4317.0,3130.201
2016-06-13,3,1047679,3450.0,3458.5217
2016-06-20,3,1047679,3430.0,3434.385
2016-06-27,3,1047679,3372.0,3408.01
2016-07-04,3,1047679,3380.0,3386.2578
2016-07-11,3,1047679,3496.0,3496.4722
2016-07-18,3,1047679,3723.0,3453.3389
2016-07-25,3,1047679,2988.0,3399.05
2016-08-01,3,1047679,2993.0,3310.106
2016-08-08,3,1047679,3052.0,3146.3818
2016-08-15,3,1047679,3110.9999999999995,3251.3696
2016-08-22,3,1047679,3464.0000000000005,3268.9556
2016-08-29,3,1047679,3537.9999999999995,3260.138
2016-09-05,3,1047679,3255.0,3281.5613
2016-09-12,3,1047679,3529.0,3295.8845
2016-09-19,3,1047679,3073.0,3329.6743
2016-09-26,3,1047679,2998.0,3354.4976
2016-10-03,3,1047679,2658.0,3271.1917
2016-10-10,3,1047679,2326.0,3089.458
2016-10-17,3,1047679,2578.0,2982.7195
2016-10-24,3,1047679,2734.0,2925.9539
2016-10-31,3,1047679,2479.0,2931.0388
2016-11-07,3,1047679,2995.0,2890.4966
2016-11-14,3,1047679,3018.0,2901.9453
2016-11-21,3,1047679,3162.0,3036.4495
2016-11-28,3,1047679,3240.0,3130.8706
2016-12-05,3,1047679,3201.0,3147.7034
2016-12-12,3,1047679,2871.0,3220.9456
2016-12-19,3,1047679,3147.0,3156.568
2016-12-26,3,1047679,2721.0,3172.6357
2017-01-02,3,1047679,3301.0000000000005,3131.0789
2017-01-09,3,1047679,3184.0,3174.0955
2017-01-16,3,1047679,3225.0,3174.7407
2017-01-23,3,1047679,2811.9999999999995,3219.9
2017-01-30,3,1047679,2605.0,3098.2654
2017-02-06,3,1047679,2703.0000000000005,3046.7668
2017-02-13,3,1047679,3116.0,3070.973
2017-02-20,3,1047679,2041.0,3091.1643
2017-02-27,3,1047679,1906.0,2881.4548
2017-03-06,3,1047679,2319.0,2656.705
2017-03-13,3,1047679,2754.0,2732.9739
2017-03-20,3,1047679,2477.0,2899.102
2017-03-27,3,1047679,1841.0,2780.6533
2017-04-03,3,1047679,2479.0,2552.9468
2017-04-10,3,1047679,1921.0,2703.1252
2017-04-17,3,1047679,1985.0,2660.4233
2017-04-24,3,1047679,2175.0,2627.5515
2017-05-01,3,1047679,2000.9999999999998,2504.302
2017-05-08,3,1047679,2319.0,2535.865
2017-05-15,3,1047679,2088.0,2582.1802
2017-05-22,3,1047679,2072.0,2539.7834
2017-05-29,3,1047679,2267.0,2579.0264
2017-06-05,3,1047679,2620.0,2539.7595
2017-06-12,3,1047679,1981.0,2706.6565
2017-06-19,3,1047679,2023.0,2581.2817
2017-06-26,3,1047679,3034.0,2522.5544
2017-07-03,3,1047679,2918.0,2777.381
2017-07-10,3,1047679,2696.0,2895.9963
