Data,Loja,Item,Real,Previsto
2016-03-28,3,1047679,2980.0,3460.380792745057
2016-04-04,3,1047679,3126.0,3052.5576644954185
2016-04-11,3,1047679,3443.0,3277.1440577663393
2016-04-18,3,1047679,3884.0,3233.3085413392173
2016-04-25,3,1047679,3398.0000000000005,3289.662327123705
2016-05-02,3,1047679,2831.0,3426.1957846122623
2016-05-09,3,1047679,3121.0,3099.209835823076
2016-05-16,3,1047679,3092.0,3265.7451923018675
2016-05-23,3,1047679,3126.0,3273.490144112446
2016-05-30,3,1047679,3185.0,3221.7081794583655
2016-06-06,3,1047679,4317.0,3088.490108528172
2016-06-13,3,1047679,3450.0,3468.5132702778155
2016-06-20,3,1047679,3430.0,3396.5198240729155
2016-06-27,3,1047679,3372.0,3379.6215255033376
2016-07-04,3,1047679,3380.0,3342.233938538947
2016-07-11,3,1047679,3496.0,3480.05941389362
2016-07-18,3,1047679,3723.0,3404.6669092124225
2016-07-25,3,1047679,2988.0,3373.5344700831342
2016-08-01,3,1047679,2993.0,3288.518739438909
2016-08-08,3,1047679,3052.0,3102.2540036006944
2016-08-15,3,1047679,3110.9999999999995,3227.980986147751
2016-08-22,3,1047679,3464.0000000000005,3247.521645913131
2016-08-29,3,1047679,3537.9999999999995,3227.8550204747935
2016-09-05,3,1047679,3255.0,3260.966432855304
2016-09-12,3,1047679,3529.0,3274.046714817995
2016-09-19,3,1047679,3073.0,3295.5258242716627
2016-09-26,3,1047679,2998.0,3318.7489847809165
2016-10-03,3,1047679,2658.0,3235.4953608779006
2016-10-10,3,1047679,2326.0,3031.085500249731
2016-10-17,3,1047679,2578.0,2937.6990170763615
2016-10-24,3,1047679,2734.0,2868.443447292967
2016-10-31,3,1047679,2479.0,2886.114403188497
2016-11-07,3,1047679,2995.0,2857.2403344805343
2016-11-14,3,1047679,3018.0,2860.867454543722
2016-11-21,3,1047679,3162.0,3024.3469370310754
2016-11-28,3,1047679,3240.0,3126.172848675757
2016-12-05,3,1047679,3201.0,3120.847718887463
2016-12-12,3,1047679,2871.0,3214.3257750677703
2016-12-19,3,1047679,3147.0,3126.3184793178193
2016-12-26,3,1047679,2721.0,3141.1513197126637
2017-01-02,3,1047679,3301.0000000000005,3100.2007334729374
2017-01-09,3,1047679,3184.0,3151.840752532604
2017-01-16,3,1047679,3225.0,3135.6373116428663
2017-01-23,3,1047679,2811.9999999999995,3202.247928501711
2017-01-30,3,1047679,2605.0,3044.077276397648
2017-02-06,3,1047679,2703.0000000000005,3006.3863794846543
2017-02-13,3,1047679,3116.0,3036.6802772300443
2017-02-20,3,1047679,2041.0,3062.2556334453047
2017-02-27,3,1047679,1906.0,2832.992144760455
2017-03-06,3,1047679,2319.0,2560.3472415889137
2017-03-13,3,1047679,2754.0,2670.6807860448557
2017-03-20,3,1047679,2477.0,2904.9259122265703
2017-03-27,3,1047679,1841.0,2757.438628191541
2017-04-03,3,1047679,2479.0,2488.3166986663764
2017-04-10,3,1047679,1921.0,2694.821102414876
2017-04-17,3,1047679,1985.0,2629.7046570190787
2017-04-24,3,1047679,2175.0,2653.3878542136813
2017-05-01,3,1047679,2000.9999999999998,2489.4578582080258
2017-05-08,3,1047679,2319.0,2557.8861114015162
2017-05-15,3,1047679,2088.0,2579.2802778837904
2017-05-22,3,1047679,2072.0,2526.9560669679777
2017-05-29,3,1047679,2267.0,2636.6754943003893
2017-06-05,3,1047679,2620.0,2542.586022861805
2017-06-12,3,1047679,1981.0,2781.150161665056
2017-06-19,3,1047679,2023.0,2615.135232471281
2017-06-26,3,1047679,3034.0,2517.9469579236543
2017-07-03,3,1047679,2918.0,2838.939302368858
2017-07-10,3,1047679,2696.0,2970.1862966524427
2017-07-17,3,1047679,2348.0,2876.618917077709
2017-07-24,3,1047679,2807.0,2702.2836505654905
2017-07-31,3,1047679,2414.0,2983.492883653867
2017-08-07,3,1047679,2754.0,2887.43602882459
2017-08-14,3,1047679,2241.0,2916.233567088383
2016-10-10,3,1503844,4093.0000000000005,3774.294715439252
2016-10-17,3,1503844,3886.0,3816.5232998303723
2016-10-24,3,1503844,3905.0,3666.6929953368244
2016-10-31,3,1503844,2862.0,3742.5309654894945
2016-11-07,3,1503844,3455.0,3263.133252149735
2016-11-14,3,1503844,3661.0,3650.157186453646
2016-11-21,3,1503844,4226.0,3648.6796425765206
2016-11-28,3,1503844,3955.0000000000005,3910.250634081673
2016-12-05,3,1503844,3588.0,3870.5683337061355
2016-12-12,3,1503844,3489.0,3675.2905613148673
2016-12-19,3,1503844,3894.0,3742.5252956682957
2016-12-26,3,1503844,2932.0,3866.0601307419965
2017-01-02,3,1503844,3452.0,3303.4278036452606
2017-01-09,3,1503844,4390.0,3583.1740601702745
2017-01-16,3,1503844,4035.9999999999995,4009.7429666537305
2017-01-23,3,1503844,4248.0,3726.804357859992
2017-01-30,3,1503844,3694.0,4157.7640073316115
2017-02-06,3,1503844,3448.0,3690.6565460940888
2017-02-13,3,1503844,3837.0,3518.8390094153333
2017-02-20,3,1503844,3735.0,3835.5306980348428
2017-02-27,3,1503844,3251.0,3636.2628144167884
2017-03-06,3,1503844,4201.0,3341.9190895113647
2017-03-13,3,1503844,3717.0,4031.1541139806172
2017-03-20,3,1503844,3802.0,3718.514814758048
2017-03-27,3,1503844,3760.0,3871.9404477328603
2017-04-03,3,1503844,3848.0,3894.3097973276763
2017-04-10,3,1503844,3880.0,3686.062933710533
2017-04-17,3,1503844,3548.0,3777.786721178135
2017-04-24,3,1503844,3070.0,3643.047808430596
2017-05-01,3,1503844,3688.0,3412.0339314414923
2017-05-08,3,1503844,3587.0,3745.928021902533
2017-05-15,3,1503844,3372.0,3706.8019984002026
2017-05-22,3,1503844,3620.0,3596.469395275373
2017-05-29,3,1503844,3101.0,3806.708724441776
2017-06-05,3,1503844,4155.0,3423.477937613296
2017-06-12,3,1503844,3546.0,4093.8997172747386
2017-06-19,3,1503844,3826.0,3628.0147809421596
2017-06-26,3,1503844,3703.0,3748.3240905345283
2017-07-03,3,1503844,3602.0,3672.5401890422904
2017-07-10,3,1503844,4088.0000000000005,3603.2294941268715
2017-07-17,3,1503844,3315.0,3939.3786500268207
2017-07-24,3,1503844,3480.0,3398.9859136711807
2017-07-31,3,1503844,3862.0,3634.027396702294
2017-08-07,3,1503844,3736.0,3760.7585545652705
2017-08-14,3,1503844,3527.0,3709.709895599535
2016-10-10,8,1503844,2782.0,2795.1751473489103
2016-10-17,8,1503844,2868.0,2650.148297568125
2016-10-24,8,1503844,2775.0,2666.194182177083
2016-10-31,8,1503844,2534.0,2683.298500951539
2016-11-07,8,1503844,2704.0,2561.8910833831874
2016-11-14,8,1503844,2633.0,2680.2284145510785
2016-11-21,8,1503844,2964.0,2675.4964803807393
2016-11-28,8,1503844,2751.0,2801.576595985521
2016-12-05,8,1503844,2825.0,2632.4917455915447
2016-12-12,8,1503844,2663.0,2814.158541040189
2016-12-19,8,1503844,2972.0,2599.9617061595764
2016-12-26,8,1503844,2276.0,2904.4152604500787
2017-01-02,8,1503844,2694.0,2325.912049653878
2017-01-09,8,1503844,3066.0,2829.355245805452
2017-01-16,8,1503844,3166.9999999999995,2790.258164686018
2017-01-23,8,1503844,3017.0,2867.3220473023557
2017-01-30,8,1503844,2880.0,2706.9132817401087
2017-02-06,8,1503844,2392.0,2775.8489521847496
2017-02-13,8,1503844,3059.0,2415.9897603288796
2017-02-20,8,1503844,2814.0,2985.520958744827
2017-02-27,8,1503844,2634.0,2615.97307930996
2017-03-06,8,1503844,2923.0,2565.6057033303255
2017-03-13,8,1503844,3041.0,2769.0671555521653
2017-03-20,8,1503844,3242.0,2894.9813677785323
2017-03-27,8,1503844,2734.0,2887.2965165172905
2017-04-03,8,1503844,2658.0,2645.8891385427937
2017-04-10,8,1503844,2806.0,2663.6675408790984
2017-04-17,8,1503844,2706.0,2659.356264098781
2017-04-24,8,1503844,2174.0,2717.6645507111434
2017-05-01,8,1503844,2821.0,2368.286719432047
2017-05-08,8,1503844,2836.0,2908.344458086435
2017-05-15,8,1503844,2431.0,2686.7153378644307
2017-05-22,8,1503844,2936.0,2590.745524759801
2017-05-29,8,1503844,2531.0,2960.59231379012
2017-06-05,8,1503844,2865.0,2544.6644825982166
2017-06-12,8,1503844,2592.0,2789.091295939953
