Data,Loja,Item,Real,Previsto
2016-03-28,44,1047679,3811,3667.120759646721
2016-04-04,44,1047679,4186,3913.878516596992
2016-04-11,44,1047679,3774,4121.632719182298
2016-04-18,44,1047679,4957,4130.2736622804705
2016-04-25,44,1047679,4580,3983.2009292211906
2016-05-02,44,1047679,3741,3837.904784432759
2016-05-09,44,1047679,3818,3786.559870743757
2016-05-16,44,1047679,3975,3796.4218102906098
2016-05-23,44,1047679,3724,3801.8358538499488
2016-05-30,44,1047679,4218,3799.0351459806534
2016-06-06,44,1047679,4567,3826.5726123122504
2016-06-13,44,1047679,3900,3884.791352227134
2016-06-20,44,1047679,4213,3920.776625449914
2016-06-27,44,1047679,4763,3898.4010005775085
2016-07-04,44,1047679,4630,3848.8888321033814
2016-07-11,44,1047679,3758,3828.2091489647614
2016-07-18,44,1047679,3902,3843.3985111829093
2016-07-25,44,1047679,2986,3855.790203055725
2016-08-01,44,1047679,3773,3858.187125974741
2016-08-08,44,1047679,3670,3910.1603446899426
2016-08-15,44,1047679,3586,4064.985383839457
2016-08-22,44,1047679,4213,4275.697889683249
2016-08-29,44,1047679,3501,4415.347887233203
2016-09-05,44,1047679,4505,4407.998912043848
2016-09-12,44,1047679,3669,4314.561691659702
2016-09-19,44,1047679,3812,4258.502580231192
2016-09-26,44,1047679,3544,4274.196931439374
2016-10-03,44,1047679,3863,4265.982418762497
2016-10-10,44,1047679,3683,4134.344600999208
2016-10-17,44,1047679,3663,3914.362855241966
2016-10-24,44,1047679,2409,3749.7554740376295
2016-10-31,44,1047679,1992,3729.5038852692896
2016-11-07,44,1047679,2748,3789.579689960802
2016-11-14,44,1047679,2849,3803.965922650809
2016-11-21,44,1047679,2671,3750.8671303754595
2016-11-28,44,1047679,2186,3743.277102056683
2016-12-05,44,1047679,2971,3884.2367340650526
2016-12-12,44,1047679,2899,4130.817340068917
2016-12-19,44,1047679,2493,4340.298423303049
2016-12-26,44,1047679,2309,4437.5056141715695
2017-01-02,44,1047679,3010,4484.494414492988
2017-01-09,44,1047679,3238,4560.787954552908
2017-01-16,44,1047679,3538,4616.103996878151
2017-01-23,44,1047679,2783,4507.005845551707
2017-01-30,44,1047679,2708,4195.562399353404
2017-02-06,44,1047679,2572,3860.663021629841
2017-02-13,44,1047679,2506,3751.6974280277677
2017-02-20,44,1047679,1961,3924.564180619432
2017-02-27,44,1047679,2064,4165.010718202395
2017-03-06,44,1047679,2726,4206.784000740784
2017-03-13,44,1047679,2931,4012.4940360866103
2017-03-20,44,1047679,2484,3805.6886034791974
2017-03-27,44,1047679,2304,3822.2083097048253
2017-04-03,44,1047679,2039,4061.5223844510897
2017-04-10,44,1047679,1939,4304.449528658282
2017-04-17,44,1047679,2034,4353.5426083096545
2017-04-24,44,1047679,2088,4216.739221708738
2017-05-01,44,1047679,2086,4052.547242860637
2017-05-08,44,1047679,1989,3980.1922486457834
2017-05-15,44,1047679,1880,3984.757912667159
2017-05-22,44,1047679,2090,3993.7476692340815
2017-05-29,44,1047679,2296,3989.3391583502435
2017-06-05,44,1047679,2480,4010.330807910885
2017-06-12,44,1047679,3121,4068.656668725536
2017-06-19,44,1047679,2281,4114.895186628593
2017-06-26,44,1047679,3370,4101.758084842636
2017-07-03,44,1047679,2738,4049.9199946496874
2017-07-10,44,1047679,2682,4019.9748319478153
2017-07-17,44,1047679,2146,4031.4857803456975
2017-07-24,44,1047679,2205,4047.449031241816
2017-07-31,44,1047679,2294,4048.6787729283146
2017-08-07,44,1047679,3500,4087.8525517435955
2017-08-14,44,1047679,2347,4230.840956146317
2016-10-10,44,1503844,5893,5538.430667071069
2016-10-17,44,1503844,5711,5455.465967310457
2016-10-24,44,1503844,5674,5551.216581890453
2016-10-31,44,1503844,4462,5625.845195442751
2016-11-07,44,1503844,5003,5516.788024630637
2016-11-14,44,1503844,4506,5350.204576788077
2016-11-21,44,1503844,5378,5416.055395816505
2016-11-28,44,1503844,4827,5768.044328212411
2016-12-05,44,1503844,4938,6040.278866480354
2016-12-12,44,1503844,4874,5779.936362362633
2016-12-19,44,1503844,4596,4985.02942596269
2016-12-26,44,1503844,3761,4225.730647116184
2017-01-02,44,1503844,4455,4137.74311442001
2017-01-09,44,1503844,4307,4783.103124719567
2017-01-16,44,1503844,5847,5563.469197500703
2017-01-23,44,1503844,5624,5795.011596850096
2017-01-30,44,1503844,5445,5346.203677226174
2017-02-06,44,1503844,4131,4692.623529730582
2017-02-13,44,1503844,5505,4391.322006569478
2017-02-20,44,1503844,4978,4573.922106082991
2017-02-27,44,1503844,4300,4955.066175535589
2017-03-06,44,1503844,4691,5234.22371666899
2017-03-13,44,1503844,5059,5378.067717743299
2017-03-20,44,1503844,5273,5512.204640357811
