Data,Loja,Real,Previsto
2016-03-28,3,235725,251942.00245904984
2016-04-04,3,281524,256790.8394244286
2016-04-11,3,253383,256065.8620273307
2016-04-18,3,289607,255061.18791025953
2016-04-25,3,308457,255115.09895091256
2016-05-02,3,261654,258434.33439592295
2016-05-09,3,260839,258130.68896146023
2016-05-16,3,255320,259781.26016888896
2016-05-23,3,256563,260543.8453025993
2016-05-30,3,240118,269795.5049310802
2016-06-06,3,278910,287204.6483151747
2016-06-13,3,241623,280753.7690218436
2016-06-20,3,247608,281893.66921739664
2016-06-27,3,238273,282576.90132645034
2016-07-04,3,249508,296419.43163848657
2016-07-11,3,244812,280937.262269198
2016-07-18,3,236976,280937.55727441754
2016-07-25,3,234354,275653.1286257116
2016-08-01,3,233921,280997.14833046973
2016-08-08,3,241328,275326.55783834355
2016-08-15,3,216164,286821.4365463708
2016-08-22,3,240972,279275.20281478256
2016-08-29,3,234546,284690.90878993884
2016-09-05,3,275998,298256.7241983472
2016-09-12,3,264050,284950.2183853284
2016-09-19,3,251902,288506.50640856125
2016-09-26,3,249616,284387.938420809
2016-10-03,3,277091,295721.7442743621
2016-10-10,3,271712,286794.29606539715
2016-10-17,3,256576,284578.21679285256
2016-10-24,3,255547,284372.8931541823
2016-10-31,3,234431,275535.42153974954
2016-11-07,3,278858,294801.03295785363
2016-11-14,3,280293,285692.15653368435
2016-11-21,3,277954,285195.9577402312
2016-11-28,3,263002,284879.4171306145
2016-12-05,3,288829,296965.48631550267
2016-12-12,3,294320,291709.6731739086
2016-12-19,3,312299,304762.47449086927
2016-12-26,3,302315,283225.9128278173
2017-01-02,3,277043,288552.82222935325
2017-01-09,3,322208,294254.09326518886
2017-01-16,3,282887,286947.6987839439
2017-01-23,3,282543,283967.85097617324
2017-01-30,3,258965,286883.09263901744
2017-02-06,3,287206,277428.76509288995
2017-02-13,3,275341,287524.729009862
2017-02-20,3,264869,287169.2477101527
2017-02-27,3,238867,283826.83847720135
2017-03-06,3,310778,291213.76938568335
2017-03-13,3,275122,283283.73385250027
2017-03-20,3,282568,284435.1392572848
2017-03-27,3,271223,283732.1425244541
2017-04-03,3,301068,285162.574778837
2017-04-10,3,273940,284948.7026565297
2017-04-17,3,253701,284652.31853958307
2017-04-24,3,271666,284668.22257842124
2017-05-01,3,264229,285647.4143875776
2017-05-08,3,279493,285557.83739696053
