Data,Loja,Real,Previsto
2016-03-28,3,235725.00000000003,238097.05
2016-04-04,3,281524.0,237130.98
2016-04-11,3,253383.0,237274.94
2016-04-18,3,289607.0,239158.22
2016-04-25,3,308457.0,240947.22
2016-05-02,3,261654.00000000003,245999.03
2016-05-09,3,260839.0,242563.72
2016-05-16,3,255320.0,245537.8
2016-05-23,3,256563.00000000003,240138.8
2016-05-30,3,240118.0,242423.88
2016-06-06,3,278910.0,242734.66
2016-06-13,3,241623.0,245549.34
2016-06-20,3,247608.0,244059.47
2016-06-27,3,238273.0,243847.28
2016-07-04,3,249508.0,242039.6
2016-07-11,3,244811.99999999997,235977.22
2016-07-18,3,236976.0,238606.77
2016-07-25,3,234354.0,234427.97
2016-08-01,3,233921.0,233131.78
2016-08-08,3,241328.0,232199.06
2016-08-15,3,216164.0,228023.3
2016-08-22,3,240972.00000000003,225882.55
2016-08-29,3,234546.0,226299.69
2016-09-05,3,275998.0,226286.02
2016-09-12,3,264050.0,229540.3
2016-09-19,3,251902.0,231469.38
2016-09-26,3,249616.0,231577.61
2016-10-03,3,277091.0,233326.98
2016-10-10,3,271712.0,233548.97
2016-10-17,3,256576.0,237077.06
2016-10-24,3,255547.0,236179.66
2016-10-31,3,234431.0,240019.58
2016-11-07,3,278858.0,237184.34
2016-11-14,3,280293.0,239967.03
2016-11-21,3,277954.0,241680.92
2016-11-28,3,263002.0,242778.25
2016-12-05,3,288829.0,244246.08
2016-12-12,3,294320.0,243313.03
2016-12-19,3,312299.0,243882.16
2016-12-26,3,302315.0,246698.7
2017-01-02,3,277043.0,248227.33
2017-01-09,3,322208.0,249132.17
2017-01-16,3,282887.0,251701.77
2017-01-23,3,282543.0,252150.5
2017-01-30,3,258965.0,251295.78
2017-02-06,3,287206.0,256418.58
2017-02-13,3,275341.0,256288.4
2017-02-20,3,264869.0,257074.0
2017-02-27,3,238867.00000000003,253586.48
2017-03-06,3,310778.0,252185.12
2017-03-13,3,275122.0,251137.23
2017-03-20,3,282568.0,250420.9
2017-03-27,3,271223.0,248287.86
2017-04-03,3,301068.0,253251.12
2017-04-10,3,273940.0,249190.02
2017-04-17,3,253701.00000000003,253668.6
2017-04-24,3,271666.0,248419.61
2017-05-01,3,264229.0,248562.7
2017-05-08,3,279493.0,245537.11
2017-05-15,3,244365.0,246169.23
2017-05-22,3,271694.0,245271.78
2017-05-29,3,251384.0,244073.06
2017-06-05,3,301833.0,243802.77
2017-06-12,3,267995.0,243597.66
2017-06-19,3,263855.0,243742.11
2017-06-26,3,260213.00000000003,244181.84
2017-07-03,3,270823.0,246186.2
2017-07-10,3,260790.99999999997,244087.62
2017-07-17,3,252417.0,245494.67
2017-07-24,3,253149.00000000003,242118.12
2017-07-31,3,248786.0,242010.34
2017-08-07,3,253720.99999999997,239643.03
2017-08-14,3,219823.0,236379.12
2016-03-28,8,135708.0,138301.6
2016-04-04,8,167432.0,137510.0
2016-04-11,8,155861.0,141403.2
2016-04-18,8,183819.0,142388.42
2016-04-25,8,200722.99999999997,143772.77
2016-05-02,8,163240.0,146805.78
2016-05-09,8,154812.0,144012.17
2016-05-16,8,154771.0,144993.39
2016-05-23,8,154575.0,138950.05
2016-05-30,8,146174.00000000003,141100.95
2016-06-06,8,164794.0,138564.86
2016-06-13,8,146804.0,144544.73
2016-06-20,8,151034.0,145153.39
2016-06-27,8,144864.0,148265.67
2016-07-04,8,152894.0,145086.03
2016-07-11,8,148939.0,139135.08
2016-07-18,8,144315.0,138777.47
2016-07-25,8,141122.0,139113.75
2016-08-01,8,141684.0,138422.6
2016-08-08,8,147404.0,137864.34
2016-08-15,8,130399.0,137228.17
2016-08-22,8,146086.0,135329.84
2016-08-29,8,140197.0,135658.34
2016-09-05,8,163995.0,135608.36
2016-09-12,8,155007.0,138857.8
2016-09-19,8,151930.0,138704.75
2016-09-26,8,148198.0,139106.81
2016-10-03,8,168629.0,137342.53
2016-10-10,8,162838.0,137646.98
2016-10-17,8,155088.0,140740.19
2016-10-24,8,153497.0,142198.8
2016-10-31,8,145196.0,142207.7
2016-11-07,8,157481.0,139089.83
2016-11-14,8,167962.0,138883.4
2016-11-21,8,167738.0,141731.86
2016-11-28,8,161550.0,142402.28
2016-12-05,8,176457.0,144653.92
2016-12-12,8,173150.0,143186.77
2016-12-19,8,194464.0,142691.08
2016-12-26,8,184432.0,145818.95
2017-01-02,8,163621.0,147942.0
2017-01-09,8,189305.0,147588.9
2017-01-16,8,175399.0,146626.38
2017-01-23,8,171857.0,148274.45
2017-01-30,8,156622.0,147229.89
2017-02-06,8,170041.0,148894.92
2017-02-13,8,166340.99999999997,147496.48
2017-02-20,8,160536.0,146447.81
2017-02-27,8,148635.0,145980.23
2017-03-06,8,182158.0,146207.52
2017-03-13,8,169100.0,147541.84
2017-03-20,8,171453.0,149505.75
2017-03-27,8,163213.0,147048.81
2017-04-03,8,173655.0,147767.0
2017-04-10,8,162405.0,143805.23
2017-04-17,8,153247.0,143290.23
