Data,Loja,Real,Previsto
2016-03-28,3,235725.00000000003,261759.86
2016-04-04,3,281524.0,245440.12
2016-04-11,3,253383.0,254364.92
2016-04-18,3,289607.0,274082.4
2016-04-25,3,308457.0,262851.72
2016-05-02,3,261654.00000000003,274181.78
2016-05-09,3,260839.0,278603.53
2016-05-16,3,255320.0,255142.36
2016-05-23,3,256563.00000000003,243397.86
2016-05-30,3,240118.0,257326.66
2016-06-06,3,278910.0,256575.48
2016-06-13,3,241623.0,245544.16
2016-06-20,3,247608.0,274165.6
2016-06-27,3,238273.0,264325.47
2016-07-04,3,249508.0,237608.2
2016-07-11,3,244811.99999999997,254252.05
2016-07-18,3,236976.0,257875.6
2016-07-25,3,234354.0,239701.23
2016-08-01,3,233921.0,240721.45
2016-08-08,3,241328.0,257810.56
2016-08-15,3,216164.0,243047.48
2016-08-22,3,240972.00000000003,236202.58
2016-08-29,3,234546.0,239324.52
2016-09-05,3,275998.0,252179.69
2016-09-12,3,264050.0,264834.94
2016-09-19,3,251902.0,260407.17
2016-09-26,3,249616.0,251128.77
2016-10-03,3,277091.0,254555.67
2016-10-10,3,271712.0,263336.72
2016-10-17,3,256576.0,262695.53
2016-10-24,3,255547.0,252804.75
2016-10-31,3,234431.0,247407.3
2016-11-07,3,278858.0,259277.86
2016-11-14,3,280293.0,267359.0
2016-11-21,3,277954.0,260827.61
2016-11-28,3,263002.0,265492.16
2016-12-05,3,288829.0,271086.1
2016-12-12,3,294320.0,273091.5
2016-12-19,3,312299.0,283191.06
2016-12-26,3,302315.0,267895.3
2017-01-02,3,277043.0,264648.6
2017-01-09,3,322208.0,277894.5
2017-01-16,3,282887.0,287261.75
2017-01-23,3,282543.0,275361.88
2017-01-30,3,258965.0,263268.5
2017-02-06,3,287206.0,257792.55
2017-02-13,3,275341.0,272575.06
2017-02-20,3,264869.0,287100.22
2017-02-27,3,238867.00000000003,255509.6
2017-03-06,3,310778.0,242689.78
2017-03-13,3,275122.0,290253.5
2017-03-20,3,282568.0,279578.47
2017-03-27,3,271223.0,266835.47
2017-04-03,3,301068.0,256893.17
2017-04-10,3,273940.0,288607.56
2017-04-17,3,253701.00000000003,284960.9
2017-04-24,3,271666.0,238837.83
2017-05-01,3,264229.0,252960.27
2017-05-08,3,279493.0,285354.94
2017-05-15,3,244365.0,267578.28
2017-05-22,3,271694.0,250966.86
2017-05-29,3,251384.0,260528.44
2017-06-05,3,301833.0,278405.66
2017-06-12,3,267995.0,269520.78
2017-06-19,3,263855.0,264655.72
2017-06-26,3,260213.00000000003,260654.2
2017-07-03,3,270823.0,264026.44
2017-07-10,3,260790.99999999997,267687.06
2017-07-17,3,252417.0,260941.5
2017-07-24,3,253149.00000000003,250245.05
