Data,Loja,Real,Previsto
2016-03-28,3,235725.00000000003,250898.78124396902
2016-04-04,3,281524.0,238094.3115160969
2016-04-11,3,253383.0,254009.7182430859
2016-04-18,3,289607.0,276266.96319551836
2016-04-25,3,308457.0,270948.2018824702
2016-05-02,3,261654.00000000003,296219.15741114086
2016-05-09,3,260839.0,274736.99634974374
2016-05-16,3,255320.0,246786.2027526253
2016-05-23,3,256563.00000000003,244136.17405906314
2016-05-30,3,240118.0,253057.07119847936
2016-06-06,3,278910.0,259618.7131128447
2016-06-13,3,241623.0,252127.1095778199
2016-06-20,3,247608.0,269777.349489415
2016-06-27,3,238273.0,251880.89668996236
2016-07-04,3,249508.0,224699.16663573973
2016-07-11,3,244811.99999999997,244305.81903258423
2016-07-18,3,236976.0,250101.63509064855
2016-07-25,3,234354.0,232521.72628007756
2016-08-01,3,233921.0,231421.10379403635
2016-08-08,3,241328.0,246285.99750585153
2016-08-15,3,216164.0,229495.75331243206
2016-08-22,3,240972.00000000003,224458.3714939587
2016-08-29,3,234546.0,229491.70051810957
2016-09-05,3,275998.0,241699.10887405352
2016-09-12,3,264050.0,262953.69415324484
2016-09-19,3,251902.0,263332.52662147355
2016-09-26,3,249616.0,244338.115771108
2016-10-03,3,277091.0,245576.16047636024
2016-10-10,3,271712.0,263305.33634730417
2016-10-17,3,256576.0,265050.2573202068
2016-10-24,3,255547.0,258418.1612535978
2016-10-31,3,234431.0,245736.80692904696
2016-11-07,3,278858.0,251647.14389812725
2016-11-14,3,280293.0,264141.45541790506
2016-11-21,3,277954.0,273488.84814107977
2016-11-28,3,263002.0,273098.23079233896
2016-12-05,3,288829.0,270578.4359330058
2016-12-12,3,294320.0,270845.2739347757
2016-12-19,3,312299.0,288660.07515730645
2016-12-26,3,302315.0,296681.70700707904
2017-01-02,3,277043.0,287205.6729588727
2017-01-09,3,322208.0,286553.5981882714
2017-01-16,3,282887.0,303625.2858456298
2017-01-23,3,282543.0,286316.78181082325
2017-01-30,3,258965.0,270975.9218025686
2017-02-06,3,287206.0,265534.1036281378
2017-02-13,3,275341.0,277185.7284736503
2017-02-20,3,264869.0,293128.88768610056
2017-02-27,3,238867.00000000003,257258.08603110648
2017-03-06,3,310778.0,238178.07413229477
2017-03-13,3,275122.0,302939.5377186428
2017-03-20,3,282568.0,279612.0960396859
2017-03-27,3,271223.0,272557.6784706269
2017-04-03,3,301068.0,258147.13647867058
2017-04-10,3,273940.0,294531.79691537935
2017-04-17,3,253701.00000000003,283139.46520634316
2017-04-24,3,271666.0,240252.85380934848
2017-05-01,3,264229.0,254189.32325783992
2017-05-08,3,279493.0,288863.8053793541
2017-05-15,3,244365.0,267488.78667748626
2017-05-22,3,271694.0,250422.15972192393
2017-05-29,3,251384.0,256807.11674828388
2017-06-05,3,301833.0,270675.5968778151
2017-06-12,3,267995.0,275474.5492648624
2017-06-19,3,263855.0,270286.29950785823
2017-06-26,3,260213.00000000003,259727.74171809544
2017-07-03,3,270823.0,257394.96361800886
2017-07-10,3,260790.99999999997,265977.99048216065
2017-07-17,3,252417.0,256298.6856647537
2017-07-24,3,253149.00000000003,253795.17594409903
2017-07-31,3,248786.0,245384.68783218839
2017-08-07,3,253720.99999999997,267275.808001819
2017-08-14,3,219823.0,243093.44531353048
2016-03-28,8,135708.0,148357.08949471888
2016-04-04,8,167432.0,136039.43314717952
2016-04-11,8,155861.0,151971.62089737327
2016-04-18,8,183819.0,167265.58081451166
2016-04-25,8,200722.99999999997,174144.21760487868
2016-05-02,8,163240.0,186198.07044966388
2016-05-09,8,154812.0,171379.73533883275
2016-05-16,8,154771.0,143145.1279268284
2016-05-23,8,154575.0,143868.4417848905
2016-05-30,8,146174.00000000003,156578.5040922322
2016-06-06,8,164794.0,158647.6016607666
2016-06-13,8,146804.0,149743.79452112594
2016-06-20,8,151034.0,161984.80890933852
2016-06-27,8,144864.0,158005.71811248202
2016-07-04,8,152894.0,131814.9218937286
2016-07-11,8,148939.0,149094.44434986147
2016-07-18,8,144315.0,151221.12325879303
2016-07-25,8,141122.0,141725.76323963283
2016-08-01,8,141684.0,137300.7543176055
2016-08-08,8,147404.0,147237.29867426914
2016-08-15,8,130399.0,142094.14436725352
2016-08-22,8,146086.0,135009.35315793578
2016-08-29,8,140197.0,138397.88931985947
2016-09-05,8,163995.0,144231.76439912996
2016-09-12,8,155007.0,159549.97703056727
2016-09-19,8,151930.0,153206.33445920298
2016-09-26,8,148198.0,146076.6887350205
2016-10-03,8,168629.0,144401.27975366515
2016-10-10,8,162838.0,163241.04484363407
2016-10-17,8,155088.0,159465.53400955928
2016-10-24,8,153497.0,155270.46273104168
2016-10-31,8,145196.0,143799.57339776092
2016-11-07,8,157481.0,153294.84759339553
2016-11-14,8,167962.0,153928.75708504173
2016-11-21,8,167738.0,162344.00693838892
2016-11-28,8,161550.0,164630.89990690257
2016-12-05,8,176457.0,164619.47976190306
2016-12-12,8,173150.0,165281.73876141314
2016-12-19,8,194464.0,170336.3283843187
2016-12-26,8,184432.0,185456.22337393818
2017-01-02,8,163621.0,175419.19900587932
2017-01-09,8,189305.0,164013.74691373974
2017-01-16,8,175399.0,178997.90728817676
2017-01-23,8,171857.0,176394.90180673718
2017-01-30,8,156622.0,170403.87705423878
2017-02-06,8,170041.0,154357.4365394508
2017-02-13,8,166340.99999999997,162817.9856098226
2017-02-20,8,160536.0,179236.72332698386
2017-02-27,8,148635.0,157187.66633264307
2017-03-06,8,182158.0,139967.3229233466
2017-03-13,8,169100.0,181051.3398094077
2017-03-20,8,171453.0,172148.68188965053
2017-03-27,8,163213.0,166710.19498255936
2017-04-03,8,173655.0,150066.33891142296
2017-04-10,8,162405.0,172847.7420865709
2017-04-17,8,153247.0,165612.58950058237
2017-04-24,8,162719.0,147439.15289410244
2017-05-01,8,163188.0,151838.0256925877
2017-05-08,8,170178.0,174335.25218469193
2017-05-15,8,155372.0,166126.74089809283
2017-05-22,8,166105.0,154356.31053044565
2017-05-29,8,149649.0,156850.60170891276
2017-06-05,8,173547.0,156285.8630509401
2017-06-12,8,160971.0,163744.73760987702
2017-06-19,8,164853.0,158567.70242183545
2017-06-26,8,156093.0,163511.59302464843
2017-07-03,8,161025.0,153750.7100570069
2017-07-10,8,159076.0,159345.93743109843
2017-07-17,8,151869.0,155701.0383544496
2017-07-24,8,152165.0,153625.26623698417
2017-07-31,8,146763.0,144060.64588253186
2017-08-07,8,154441.0,154163.813228673
2017-08-14,8,131721.0,150048.25969995777
2016-03-28,44,267624.0,292516.367711147
2016-04-04,44,333215.0,268923.61163884326
2016-04-11,44,304021.0,307752.7894881993
2016-04-18,44,356059.0,317831.5841285888
2016-04-25,44,394843.0,337021.78628548555
2016-05-02,44,331018.0,367224.44734235137
2016-05-09,44,301280.0,344530.6042000052
2016-05-16,44,301315.0,288690.1661836587
2016-05-23,44,293475.0,284317.6246743595
2016-05-30,44,289740.0,289894.62204046507
2016-06-06,44,331627.0,311039.63103503664
2016-06-13,44,277570.0,311731.08400119666
2016-06-20,44,286445.0,306844.0944238869
2016-06-27,44,275343.0,299064.9748928857
2016-07-04,44,306495.0,259460.05454203687
2016-07-11,44,283422.0,294413.2554620252
2016-07-18,44,286412.0,290100.499248152
2016-07-25,44,263782.0,280786.8404174958
2016-08-01,44,283744.0,266970.3403809584
2016-08-08,44,286485.0,290013.66677906556
2016-08-15,44,258682.0,273292.3045894843
2016-08-22,44,296561.0,268148.40569147596
2016-08-29,44,282831.0,283034.0027661517
2016-09-05,44,328398.0,290351.85820698686
2016-09-12,44,306711.0,311775.9324592996
2016-09-19,44,300154.0,303303.3019747579
2016-09-26,44,293264.0,288985.7969239606
2016-10-03,44,354380.0,291274.0731935797
2016-10-10,44,322360.0,330508.61467671755
2016-10-17,44,314364.0,317237.9539705828
2016-10-24,44,296883.0,317333.9697502629
2016-10-31,44,295264.0,285922.8799363647
2016-11-07,44,375544.0,303730.8906243682
2016-11-14,44,361907.0,347746.0980218495
2016-11-21,44,341380.0,353446.04259484896
2016-11-28,44,335161.0,337233.4090355612
2016-12-05,44,351312.0,334358.1065365694
2016-12-12,44,372230.0,328340.1235656037
2016-12-19,44,392902.0,358432.6791939306
2016-12-26,44,357800.0,368774.9840239788
2017-01-02,44,325504.0,351735.74426926917
2017-01-09,44,393046.0,342562.20159509196
2017-01-16,44,354777.00000000006,361295.8652606643
2017-01-23,44,341567.0,351949.91066357534
2017-01-30,44,315835.0,340666.78930007183
2017-02-06,44,356713.0,313636.0493092241
2017-02-13,44,334093.0,348770.17030673195
2017-02-20,44,299212.0,347054.0914917101
2017-02-27,44,290563.0,298228.2630092862
2017-03-06,44,375199.0,281835.6655225797
2017-03-13,44,320323.0,368580.25112338027
2017-03-20,44,345039.0,327795.99221877893
2017-03-27,44,329520.0,332042.6813584276
2017-04-03,44,325057.0,311285.1919215586
2017-04-10,44,290956.0,333394.85865154525
2017-04-17,44,299600.0,292108.16685054556
2017-04-24,44,306266.0,282187.89101447276
2017-05-01,44,341818.0,303010.00260113814
2017-05-08,44,331236.0,354417.5049240025
2017-05-15,44,299697.0,317889.84021107474
2017-05-22,44,325332.0,308553.29262493463
2017-05-29,44,311890.0,308037.9142636916
2017-06-05,44,350414.0,308162.1180332812
2017-06-12,44,326142.0,329901.2265879382
2017-06-19,44,317278.0,323677.8737452756
2017-06-26,44,302052.0,314875.79036602605
2017-07-03,44,342742.0,308350.01234854147
2017-07-10,44,320355.0,324788.7914203949
2017-07-17,44,316754.0,315477.6019754185
2017-07-24,44,313249.0,319525.02334795485
2017-07-31,44,312571.0,303325.86751899065
2017-08-07,44,313873.0,319321.0280378522
2017-08-14,44,267155.0,307251.3051386901
2016-03-28,45,246774.0,242887.8146893428
2016-04-04,45,299835.0,254810.76507053393
2016-04-11,45,267574.0,271871.10224200034
2016-04-18,45,324611.0,283431.55565422616
2016-04-25,45,340329.0,291352.7204065905
2016-05-02,45,289615.0,336827.34676033707
2016-05-09,45,264745.0,305827.91791683633
2016-05-16,45,258240.99999999997,240201.6891495524
2016-05-23,45,254074.0,251206.77113750397
2016-05-30,45,262645.0,251573.9015055066
2016-06-06,45,298651.0,271011.88191527844
2016-06-13,45,244467.0,273972.91307778266
2016-06-20,45,255851.99999999997,292764.74099411484
2016-06-27,45,240862.0,260757.74947328534
2016-07-04,45,276780.0,230216.3074036259
2016-07-11,45,262718.0,252274.8520368532
2016-07-18,45,240594.0,261138.92380886414
2016-07-25,45,248391.0,238701.7875516704
2016-08-01,45,260075.0,256256.7369483866
2016-08-08,45,260194.0,268790.4224465549
2016-08-15,45,237986.0,237573.0759475184
2016-08-22,45,259785.0,242393.72172774188
2016-08-29,45,245338.0,247543.45479395095
2016-09-05,45,293933.0,266510.7539653426
2016-09-12,45,284593.0,266684.9430718151
2016-09-19,45,255576.0,273690.5106305302
2016-09-26,45,251763.0,260415.1301589972
2016-10-03,45,294162.0,256020.93748296946
2016-10-10,45,276610.0,273515.681970028
2016-10-17,45,265329.0,268621.76123870624
2016-10-24,45,259382.00000000003,263468.1451631739
2016-10-31,45,250587.0,255355.324731614
2016-11-07,45,351381.0,274192.2276847341
2016-11-14,45,294320.0,309485.9890670863
2016-11-21,45,291131.0,290252.2910827313
2016-11-28,45,282191.0,279776.515522971
2016-12-05,45,314584.0,299691.95247908926
2016-12-12,45,324640.0,289153.5400389773
2016-12-19,45,361321.0,306325.5004482329
2016-12-26,45,354579.0,321611.23294612137
2017-01-02,45,320943.0,349087.45244653535
2017-01-09,45,369247.0,357656.1039693592
2017-01-16,45,302499.0,318735.85640964174
2017-01-23,45,301312.0,306809.81987803365
2017-01-30,45,272469.0,282023.2914675326
2017-02-06,45,321076.0,287716.4019710487
2017-02-13,45,290640.0,307023.7682722041
2017-02-20,45,271156.0,318848.6183802951
2017-02-27,45,274045.0,267160.1835882331
2017-03-06,45,364491.0,271662.74321908824
2017-03-13,45,299003.0,352220.5789337622
2017-03-20,45,312341.0,291863.51232044474
2017-03-27,45,301824.0,288708.675798725
2017-04-03,45,281581.0,295024.9699468868
2017-04-10,45,312838.0,300434.1509672637
2017-04-17,45,282796.0,281412.08788291924
2017-04-24,45,288804.0,269323.096439485
2017-05-01,45,309319.0,290451.5495858223
2017-05-08,45,307800.0,334782.9952503941
2017-05-15,45,272909.0,280229.9137827134
2017-05-22,45,298098.0,285530.2751861524
2017-05-29,45,283164.0,277356.5364302697
2017-06-05,45,332797.0,281166.4981860929
2017-06-12,45,297525.0,319462.15962268086
2017-06-19,45,286501.0,289596.96017068886
2017-06-26,45,283751.0,284286.9556306456
2017-07-03,45,315737.0,293585.99922190764
2017-07-10,45,296576.0,295699.18139164324
2017-07-17,45,275217.0,283914.2509682853
2017-07-24,45,285428.0,278979.9037353353
2017-07-31,45,287034.0,278766.52634461195
2017-08-07,45,301852.0,304749.8135492811
2017-08-14,45,255957.0,278067.2683132237
2016-03-28,46,171271.0,171798.79219376823
2016-04-04,46,226936.99999999997,193311.58825281623
