Data,Loja,Real,Previsto
2016-03-28,44,267624,293842.42212272267
2016-04-04,44,333215,280077.3666795955
2016-04-11,44,304021,266831.2530408961
2016-04-18,44,356059,256655.31766524081
2016-04-25,44,394843,253057.24182229626
2016-05-02,44,331018,255642.43682160802
2016-05-09,44,301280,259195.72200089964
2016-05-16,44,301315,260297.2954467431
2016-05-23,44,293475,262973.4976699174
2016-05-30,44,289740,274081.04762242816
2016-06-06,44,331627,292817.465897158
2016-06-13,44,277570,308739.70257108187
2016-06-20,44,286445,313403.40811989736
2016-06-27,44,275343,312139.6309484978
2016-07-04,44,306495,319365.8119212145
2016-07-11,44,283422,340199.3621092599
2016-07-18,44,286412,360220.957633895
2016-07-25,44,263782,358478.91951862123
2016-08-01,44,283744,331549.9057115949
2016-08-08,44,286485,301130.2562457702
2016-08-15,44,258682,294576.7376089603
2016-08-22,44,296561,318627.3084831274
2016-08-29,44,282831,354754.2631294243
2016-09-05,44,328398,379973.07378951204
2016-09-12,44,306711,388546.2330893876
2016-09-19,44,300154,391257.53873494087
2016-09-26,44,293264,396966.54011054424
2016-10-03,44,354380,401137.2948441529
2016-10-10,44,322360,394511.1184258666
2016-10-17,44,314364,378363.5150198963
2016-10-24,44,296883,365199.3343679921
2016-10-31,44,295264,363989.23126839765
2016-11-07,44,375544,369915.7489796216
2016-11-14,44,361907,372621.3287193115
2016-11-21,44,341380,372000.0053508368
2016-11-28,44,335161,379632.25972484524
2016-12-05,44,351312,402231.26656721014
2016-12-12,44,372230,427994.7910734147
2016-12-19,44,392902,435287.04304133804
2016-12-26,44,357800,415787.00598701934
2017-01-02,44,325504,384822.53783846163
2017-01-09,44,393046,365330.9098998533
2017-01-16,44,354777,363180.00415750756
2017-01-23,44,341567,362435.2608918229
2017-01-30,44,315835,345923.97736406804
2017-02-06,44,356713,316875.86842435156
2017-02-13,44,334093,296715.09439209756
2017-02-20,44,299212,302265.39422270266
2017-02-27,44,290563,328563.58753945294
2017-03-06,44,375199,355050.43109126337
2017-03-13,44,320323,365530.3980035827
2017-03-20,44,345039,359275.35660842696
2017-03-27,44,329520,344826.4016700025
2017-04-03,44,325057,328690.79798590473
2017-04-10,44,290956,312902.22396833
2017-04-17,44,299600,299968.7844729436
2017-04-24,44,306266,294127.4893925381
2017-05-01,44,341818,296066.2901839213
2017-05-08,44,331236,300348.1061104354
2017-05-15,44,299697,301921.5020752866
2017-05-22,44,325332,303920.24657823954
2017-05-29,44,311890,314607.6142843911
2017-06-05,44,350414,335281.8908222994
2017-06-12,44,326142,355196.6617960602
2017-06-19,44,317278,362851.6576150102
2017-06-26,44,302052,361301.73845615156
2017-07-03,44,342742,366728.6956753728
2017-07-10,44,320355,388475.0195966346
2017-07-17,44,316754,413566.72752221406
2017-07-24,44,313249,417053.634547613
2017-07-31,44,312571,389833.3025479276
2017-08-07,44,313873,352689.50489067385
2017-08-14,44,267155,338535.08330160036
2016-03-28,45,246774,257011.02784488772
2016-04-04,45,299835,247590.8637109817
2016-04-11,45,267574,241041.1906666619
2016-04-18,45,324611,236074.57369837534
2016-04-25,45,340329,232306.50702247265
2016-05-02,45,289615,230752.23053336074
2016-05-09,45,264745,232180.68071395595
2016-05-16,45,258241,236633.3608486713
2016-05-23,45,254074,244377.86412883826
2016-05-30,45,262645,255657.5594411085
2016-06-06,45,298651,268785.809218299
2016-06-13,45,244467,279958.8399001198
2016-06-20,45,255852,286831.9379256788
2016-06-27,45,240862,292015.46420684375
2016-07-04,45,276780,300700.984062473
2016-07-11,45,262718,313268.8689614227
2016-07-18,45,240594,321596.00356982404
2016-07-25,45,248391,315650.4430262772
2016-08-01,45,260075,295110.5549443447
2016-08-08,45,260194,272942.72580203967
2016-08-15,45,237986,265110.32888777455
2016-08-22,45,259785,276100.6584551857
2016-08-29,45,245338,295615.5331808239
2016-09-05,45,293933,309871.3142431367
2016-09-12,45,284593,314728.3827098724
2016-09-19,45,255576,316425.83419370843
2016-09-26,45,251763,320787.79607583943
2016-10-03,45,294162,325164.55526483955
2016-10-10,45,276610,322929.8875487297
2016-10-17,45,265329,313944.9230370388
2016-10-24,45,259382,306724.14259232144
2016-10-31,45,250587,308817.5495182643
2016-11-07,45,351381,317520.719797748
2016-11-14,45,294320,323374.4634881221
2016-11-21,45,291131,322925.0537983677
2016-11-28,45,282191,324723.6746955908
2016-12-05,45,314584,339806.0611135387
2016-12-12,45,324640,366867.6090079167
2016-12-19,45,361321,389915.76716511644
2016-12-26,45,354579,392449.0551070806
2017-01-02,45,320943,373068.6936566162
2017-01-09,45,369247,345601.48968655383
2017-01-16,45,302499,324445.6793558068
2017-01-23,45,301312,312053.6361886074
2017-01-30,45,272469,301581.32212223613
2017-02-06,45,321076,289354.1984317706
2017-02-13,45,290640,281141.79579730186
2017-02-20,45,271156,285094.3072498138
2017-02-27,45,274045,300684.6874038844
2017-03-06,45,364491,317191.2926171032
2017-03-13,45,299003,323297.8989513147
2017-03-20,45,312341,316691.95613426476
2017-03-27,45,301824,303825.0099058587
2017-04-03,45,281581,292029.92085767374
2017-04-10,45,312838,283698.55088676524
2017-04-17,45,282796,277508.79849353054
2017-04-24,45,288804,272650.7877894851
2017-05-01,45,309319,270141.92781430064
2017-05-08,45,307800,271046.02527585183
2017-05-15,45,272909,275490.24640607997
2017-05-22,45,298098,283678.52871504804
2017-05-29,45,283164,296037.4528395382
2017-06-05,45,332797,311131.30700439826
2017-06-12,45,297525,324760.9776601718
2017-06-19,45,286501,333483.8601244342
