Data,Real,Previsto
2016-03-28,4922508,5112221.492121191
2016-04-04,5980373,5326177.345087978
2016-04-11,5346926,5189817.899756758
2016-04-18,6014831,5196335.0855999105
2016-04-25,6818830,5125291.6564300805
2016-05-02,5937654,5333712.787169547
2016-05-09,5667522,5275155.594330795
2016-05-16,5442147,5294468.77334006
2016-05-23,5253478,5271753.637223634
2016-05-30,5193406,5599735.137346803
2016-06-06,6084758,5895260.468313006
2016-06-13,5014917,5683618.626894988
2016-06-20,5231441,5734515.410282089
2016-06-27,5054025,5678554.133087825
2016-07-04,5693022,6022144.254581205
2016-07-11,5245864,5727788.880010676
2016-07-18,4998441,5704011.5970532205
2016-07-25,4909461,5641714.985064425
2016-08-01,5276660,5865554.287633241
2016-08-08,5359176,5716287.442233213
2016-08-15,4829296,5802212.552252027
2016-08-22,5142696,5683394.360797596
2016-08-29,4854588,5763664.1920152735
2016-09-05,5889232,6169835.794201471
2016-09-12,5353498,5824464.608258631
2016-09-19,5083302,5867131.044973522
2016-09-26,4989799,5777420.265777767
2016-10-03,5704502,6160159.330570034
2016-10-10,5595265,5900973.8097139755
2016-10-17,5219184,5834789.556439454
2016-10-24,5062431,5752783.659142167
2016-10-31,4874186,5674601.897368904
2016-11-07,6306881,6062216.390208738
2016-11-14,5710002,5767012.941551779
2016-11-21,5706719,5773685.038320112
2016-11-28,5493802,5782686.889317353
2016-12-05,6392841,6128312.461197026
2016-12-12,6129396,5958070.932825559
2016-12-19,6600329,6348386.779322712
2016-12-26,6956654,6096813.966288153
2017-01-02,6371139,6145883.598231873
2017-01-09,6798363,6030624.995442762
2017-01-16,5929346,5832531.654443775
2017-01-23,5881184,5777782.430064443
2017-01-30,5511611,5875553.723424139
2017-02-06,6390936,5820462.293711807
2017-02-13,5710403,5890889.820537515
2017-02-20,5470565,5829626.35656891
2017-02-27,5491632,5791729.02111201
2017-03-06,6785645,6113505.820691124
2017-03-13,5868547,5770040.53337916
2017-03-20,6046578,5797227.531404287
2017-03-27,5893576,5777474.152093548
2017-04-03,6476798,5855116.605870643
2017-04-10,5968857,5805633.117644485
2017-04-17,5667050,5807998.139650507
2017-04-24,5790533,5782217.184892793
2017-05-01,6334985,5857851.142951051
2017-05-08,6368764,5836601.319329703
2017-05-15,5715514,5843609.880150652
2017-05-22,6064559,5835366.782887807
2017-05-29,5841364,5954388.011379314
2017-06-05,6747426,6061631.218477115
2017-06-12,6083894,5984828.496505548
2017-06-19,5859416,6003298.433629209
2017-06-26,5731985,5982990.642009518
2017-07-03,6272755,6107676.084152842
2017-07-10,6082157,6000857.442609629
2017-07-17,5758675,5992228.902808684
2017-07-24,5738533,5969622.081122153
2017-07-31,5987120,6050851.140585622
2017-08-07,6317703,5996683.685086177
2017-08-14,5345071,6027865.054001395
