Data,Real,Previsto
2016-03-28,4922508.0,4816763.0
2016-04-04,5980373.0,4765358.0
2016-04-11,5346926.0,4879277.0
2016-04-18,6014831.0,4984444.5
2016-04-25,6818830.0,5025425.0
2016-05-02,5937654.0,5110214.5
2016-05-09,5667522.0,5164356.0
2016-05-16,5442147.0,5025777.0
2016-05-23,5253478.0,5037103.5
2016-05-30,5193406.0,4868057.0
2016-06-06,6084758.0,4764950.0
2016-06-13,5014917.0,4940922.5
2016-06-20,5231441.0,4895033.0
2016-06-27,5054025.0,4971233.0
2016-07-04,5693022.0,4940768.0
2016-07-11,5245864.0,4769847.5
2016-07-18,4998441.0,4941942.5
2016-07-25,4909461.0,4906438.0
2016-08-01,5276660.0,4957135.0
2016-08-08,5359175.999999999,4884321.0
2016-08-15,4829295.999999999,4842403.5
2016-08-22,5142696.0,4793535.0
2016-08-29,4854588.0,4857206.5
2016-09-05,5889232.0,4794973.0
2016-09-12,5353498.0,4850117.0
2016-09-19,5083302.0,4868674.5
2016-09-26,4989799.0,4871223.0
2016-10-03,5704502.0,4850946.0
2016-10-10,5595265.0,4877666.0
2016-10-17,5219184.0,4941702.5
2016-10-24,5062431.0,4925896.0
2016-10-31,4874186.0,4996932.5
2016-11-07,6306881.0,4891681.5
2016-11-14,5710002.0,4941331.5
2016-11-21,5706719.0,4990623.0
2016-11-28,5493802.0,4979099.5
2016-12-05,6392841.0,5045384.0
2016-12-12,6129396.0,5035964.5
2016-12-19,6600329.000000001,5154206.5
2016-12-26,6956653.999999999,5187415.0
2017-01-02,6371139.0,5257133.5
2017-01-09,6798363.0,5283652.5
2017-01-16,5929346.0,5180035.5
2017-01-23,5881184.0,5187426.5
2017-01-30,5511611.0,5126856.0
2017-02-06,6390935.999999999,5067863.5
2017-02-13,5710403.0,5118682.0
2017-02-20,5470565.0,5091693.0
2017-02-27,5491632.0,5149344.5
2017-03-06,6785645.0,5209824.0
2017-03-13,5868547.0,5152509.5
2017-03-20,6046578.0,5243043.5
2017-03-27,5893575.999999999,5157049.5
2017-04-03,6476798.0,5244606.5
2017-04-10,5968857.0,5142818.0
2017-04-17,5667050.0,5213357.0
2017-04-24,5790533.000000001,5135292.5
2017-05-01,6334985.0,5199274.5
2017-05-08,6368764.0,5132883.0
2017-05-15,5715514.0,5161201.5
2017-05-22,6064559.0,5123555.5
2017-05-29,5841364.0,5164585.0
2017-06-05,6747425.999999999,5087929.0
2017-06-12,6083893.999999999,5152016.0
2017-06-19,5859416.0,5151755.0
2017-06-26,5731985.0,5172475.0
2017-07-03,6272755.0,5170008.0
2017-07-10,6082157.0,5135812.0
2017-07-17,5758675.0,5155944.5
2017-07-24,5738533.0,5106887.5
2017-07-31,5987120.0,5200323.0
2017-08-07,6317703.0,5114715.0
2017-08-14,5345071.0,5092942.0
