Data,Real,Previsto
2016-03-28,4922508.0,5548972.0
2016-04-04,5980373.0,5457394.0
2016-04-11,5346926.0,5325455.5
2016-04-18,6014831.0,5232383.0
2016-04-25,6818830.0,5361119.5
2016-05-02,5937654.0,5907160.0
2016-05-09,5667522.0,5621745.0
2016-05-16,5442147.0,5478259.5
2016-05-23,5253478.0,5198595.5
2016-05-30,5193406.0,5153487.0
2016-06-06,6084758.0,5634460.5
2016-06-13,5014917.0,5396927.5
2016-06-20,5231441.0,5517371.5
2016-06-27,5054025.0,5384284.0
2016-07-04,5693022.0,5737217.0
2016-07-11,5245864.0,5542910.0
2016-07-18,4998441.0,5373663.0
2016-07-25,4909461.0,5148693.5
2016-08-01,5276660.0,5430180.5
2016-08-08,5359175.999999999,5549791.0
2016-08-15,4829295.999999999,5499148.0
2016-08-22,5142696.0,4907713.0
2016-08-29,4854588.0,5319097.5
2016-09-05,5889232.0,5602961.0
2016-09-12,5353498.0,5561196.0
2016-09-19,5083302.0,5382193.0
2016-09-26,4989799.0,5566826.5
2016-10-03,5704502.0,5796452.0
2016-10-10,5595265.0,5621522.0
2016-10-17,5219184.0,5277568.5
2016-10-24,5062431.0,4966691.0
2016-10-31,4874186.0,5394328.0
2016-11-07,6306881.0,5700137.0
2016-11-14,5710002.0,5569641.0
2016-11-21,5706719.0,5264275.5
2016-11-28,5493802.0,5482304.0
2016-12-05,6392841.0,5929336.0
2016-12-12,6129396.0,5440856.0
2016-12-19,6600329.000000001,5730472.0
2016-12-26,6956653.999999999,5644601.0
2017-01-02,6371139.0,5772172.0
2017-01-09,6798363.0,6186725.0
2017-01-16,5929346.0,5982282.0
2017-01-23,5881184.0,5992925.0
2017-01-30,5511611.0,5569373.5
2017-02-06,6390935.999999999,5552934.0
2017-02-13,5710403.0,5600147.5
2017-02-20,5470565.0,5660089.0
2017-02-27,5491632.0,5433456.0
2017-03-06,6785645.0,5380502.5
2017-03-13,5868547.0,5791845.5
2017-03-20,6046578.0,6007553.0
2017-03-27,5893575.999999999,5763406.0
2017-04-03,6476798.0,5926672.5
2017-04-10,5968857.0,5932733.5
2017-04-17,5667050.0,5955893.5
2017-04-24,5790533.000000001,5414943.0
2017-05-01,6334985.0,5333442.5
2017-05-08,6368764.0,5423486.0
2017-05-15,5715514.0,5714758.5
2017-05-22,6064559.0,5653166.5
2017-05-29,5841364.0,5769038.0
2017-06-05,6747425.999999999,5846733.0
2017-06-12,6083893.999999999,5750755.5
2017-06-19,5859416.0,5698156.5
2017-06-26,5731985.0,5550607.0
2017-07-03,6272755.0,5709145.5
2017-07-10,6082157.0,5707209.5
2017-07-17,5758675.0,5519229.0
2017-07-24,5738533.0,5608422.0
2017-07-31,5987120.0,5480453.5
2017-08-07,6317703.0,5686246.0
2017-08-14,5345071.0,5788529.5
