Data,Real,Previsto
2016-04-04,5980373.0,4838930.479597431
2016-04-11,5346926.0,5796336.421378013
2016-04-18,6014831.0,5223044.062142113
2016-04-25,6818830.0,5827522.152961792
2016-05-02,5937654.0,6555170.217493322
2016-05-09,5667522.0,5757674.187135529
2016-05-16,5442147.0,5513194.99379321
2016-05-23,5253478.0,5309222.498126183
2016-05-30,5193406.0,5138470.255042424
2016-06-06,6084758.0,5084102.930540109
2016-06-13,5014917.0,5890808.607557502
2016-06-20,5231441.0,4922563.954260077
2016-06-27,5054025.0,5118525.976009638
2016-07-04,5693022.0,4957958.103391729
2016-07-11,5245864.0,5536273.412604122
2016-07-18,4998441.0,5131579.310696295
2016-07-25,4909461.0,4907652.580600134
2016-08-01,5276660.0,4827122.47449053
2016-08-08,5359175.999999999,5159450.800331623
2016-08-15,4829295.999999999,5234130.753531667
2016-08-22,5142696.0,4754570.261001246
2016-08-29,4854588.0,5038208.553367509
2016-09-05,5889232.0,4777460.432317543
2016-09-12,5353498.0,5713850.532403686
2016-09-19,5083302.0,5228991.958943106
2016-09-26,4989799.0,4984454.843294751
2016-10-03,5704502.0,4899831.259213313
2016-10-10,5595265.0,5546663.226249191
2016-10-17,5219184.0,5447799.8052434055
2016-10-24,5062431.0,5107432.949367859
2016-10-31,4874186.0,4965565.836275044
2016-11-07,6306881.0,4795197.328468769
2016-11-14,5710002.0,6091837.926049113
2016-11-21,5706719.0,5551640.924424092
2016-11-28,5493802.0,5548669.691131693
2016-12-05,6392841.0,5355972.134348837
2016-12-12,6129396.0,6169634.82334268
2016-12-19,6600329.000000001,5931207.605945012
2016-12-26,6956653.999999999,6357418.939508891
2017-01-02,6371139.0,6679905.903540186
2017-01-09,6798363.0,6149993.731380546
2017-01-16,5929346.0,6536646.845030461
2017-01-23,5881184.0,5750155.147783331
2017-01-30,5511611.0,5706566.8024197575
2017-02-06,6390935.999999999,5372089.92103917
2017-02-13,5710403.0,6167910.7297021
2017-02-20,5470565.0,5552003.843872844
2017-02-27,5491632.0,5334941.812077889
2017-03-06,6785645.0,5354008.206159829
2017-03-13,5868547.0,6525136.596778024
2017-03-20,6046578.0,5695129.862085896
2017-03-27,5893575.999999999,5856254.331863361
2017-04-03,6476798.0,5717782.008925828
2017-04-10,5968857.0,6245618.93346455
2017-04-17,5667050.0,5785914.026435798
2017-04-24,5790533.000000001,5512767.8167862
2017-05-01,6334985.0,5624524.381101016
2017-05-08,6368764.0,6117273.058686833
2017-05-15,5715514.0,6147844.27080502
2017-05-22,6064559.0,5556629.483031376
2017-05-29,5841364.0,5872527.784751165
2017-06-05,6747425.999999999,5670528.267633465
2017-06-12,6083893.999999999,6490547.024678642
2017-06-19,5859416.0,5890026.6564260265
2017-06-26,5731985.0,5686865.978079526
2017-07-03,6272755.0,5571536.331511161
2017-07-10,6082157.0,6060952.666427892
2017-07-17,5758675.0,5888454.608838789
2017-07-24,5738533.0,5595691.743199917
2017-07-31,5987120.0,5577462.507447391
2017-08-07,6317703.0,5802442.69948457
2017-08-14,5345071.0,6101632.225985258
