Data,Loja,Item,Real,Previsto
194,CA_1,FOODS_3_090,679.0,560.4826
195,CA_1,FOODS_3_090,540.0,579.79614
196,CA_1,FOODS_3_090,674.0,576.2014
197,CA_1,FOODS_3_090,652.0,584.0118
198,CA_1,FOODS_3_090,471.0,582.3103
199,CA_1,FOODS_3_090,474.0,541.0504
200,CA_1,FOODS_3_090,692.0,545.9729
201,CA_1,FOODS_3_090,377.0,509.16318
202,CA_1,FOODS_3_090,0.0,487.9279
203,CA_1,FOODS_3_090,0.0,471.23587
204,CA_1,FOODS_3_090,0.0,369.89636
205,CA_1,FOODS_3_090,0.0,285.0138
206,CA_1,FOODS_3_090,338.0,218.88834
207,CA_1,FOODS_3_090,508.0,256.1138
208,CA_1,FOODS_3_090,509.0,306.58084
209,CA_1,FOODS_3_090,600.0,412.6198
210,CA_1,FOODS_3_090,655.0,412.45444
211,CA_1,FOODS_3_090,659.0,432.92844
212,CA_1,FOODS_3_090,0.0,392.3362
213,CA_1,FOODS_3_090,0.0,467.6654
214,CA_1,FOODS_3_090,0.0,357.48303
215,CA_1,FOODS_3_090,73.0,306.00647
216,CA_1,FOODS_3_090,430.0,238.99246
217,CA_1,FOODS_3_090,431.0,293.60895
218,CA_1,FOODS_3_090,372.00000000000006,307.61517
219,CA_1,FOODS_3_090,561.0,439.8271
220,CA_1,FOODS_3_090,419.0,380.60626
221,CA_1,FOODS_3_090,444.0,352.4711
222,CA_1,FOODS_3_090,450.0,310.57858
223,CA_1,FOODS_3_090,561.0,329.6955
224,CA_1,FOODS_3_090,576.0,349.4017
225,CA_1,FOODS_3_090,0.0,429.2168
226,CA_1,FOODS_3_090,0.0,419.81506
227,CA_1,FOODS_3_090,0.0,360.75827
228,CA_1,FOODS_3_090,0.0,274.78256
229,CA_1,FOODS_3_090,277.0,211.66098
230,CA_1,FOODS_3_090,533.0,261.3999
231,CA_1,FOODS_3_090,468.0,287.10953
232,CA_1,FOODS_3_090,519.0,389.1759
233,CA_1,FOODS_3_090,450.0,410.90726
234,CA_1,FOODS_3_090,562.0,404.5936
235,CA_1,FOODS_3_090,455.0,346.22742
236,CA_1,FOODS_3_090,431.0,367.37286
237,CA_1,FOODS_3_090,440.0,321.9577
238,CA_1,FOODS_3_090,320.0,393.44354
239,CA_1,FOODS_3_090,438.0,419.84912
240,CA_1,FOODS_3_090,413.00000000000006,402.16776
241,CA_1,FOODS_3_090,490.0,424.35257
242,CA_1,FOODS_3_090,431.0,423.72375
243,CA_1,FOODS_3_090,392.0,429.79926
244,CA_1,FOODS_3_090,362.0,451.39606
245,CA_1,FOODS_3_090,446.0,386.80487
246,CA_1,FOODS_3_090,407.0,398.13846
247,CA_1,FOODS_3_090,368.0,398.00723
248,CA_1,FOODS_3_090,443.0,383.78568
249,CA_1,FOODS_3_090,419.0,402.07065
250,CA_1,FOODS_3_090,433.0,399.09436
251,CA_1,FOODS_3_090,324.0,396.69662
252,CA_1,FOODS_3_090,832.0,395.84512
253,CA_1,FOODS_3_090,243.0,494.8753
254,CA_1,FOODS_3_090,0.0,484.74124
255,CA_1,FOODS_3_090,0.0,521.43805
256,CA_1,FOODS_3_090,0.0,391.74393
257,CA_1,FOODS_3_090,0.0,280.3131
258,CA_1,FOODS_3_090,36.0,228.82281
259,CA_1,FOODS_3_090,367.0,203.52544
260,CA_1,FOODS_3_090,379.0,232.27913
261,CA_1,FOODS_3_090,326.0,242.97758
262,CA_1,FOODS_3_090,323.0,307.8085
263,CA_1,FOODS_3_090,332.0,276.7154
264,CA_1,FOODS_3_090,305.0,237.59209
265,CA_1,FOODS_3_090,365.0,199.0459
266,CA_1,FOODS_3_090,404.0,191.39651
267,CA_1,FOODS_3_090,371.0,196.3317
268,CA_1,FOODS_3_090,332.0,262.01166
269,CA_1,FOODS_3_090,354.0,332.70535
270,CA_1,FOODS_3_090,390.0,322.67993
271,CA_1,FOODS_3_090,347.0,320.5857
272,CA_1,FOODS_3_090,367.0,324.6783
273,CA_1,FOODS_3_090,369.0,331.6533
274,CA_1,FOODS_3_090,408.0,343.61557
275,CA_1,FOODS_3_090,447.0,349.40997
276,CA_1,FOODS_3_090,453.0,365.83774
277,CA_1,FOODS_3_090,368.0,364.71985
194,CA_1,FOODS_3_586,324.0,324.40845
195,CA_1,FOODS_3_586,353.0,320.20694
196,CA_1,FOODS_3_586,306.0,324.51627
197,CA_1,FOODS_3_586,324.0,336.3987
198,CA_1,FOODS_3_586,344.00000000000006,342.12903
199,CA_1,FOODS_3_586,312.0,330.79282
200,CA_1,FOODS_3_586,351.0,341.00952
201,CA_1,FOODS_3_586,348.0,336.9741
202,CA_1,FOODS_3_586,358.0,346.931
203,CA_1,FOODS_3_586,352.0,351.48288
204,CA_1,FOODS_3_586,421.00000000000006,354.01367
205,CA_1,FOODS_3_586,269.0,361.4753
206,CA_1,FOODS_3_586,279.0,334.01
207,CA_1,FOODS_3_586,256.0,302.9014
208,CA_1,FOODS_3_586,277.0,275.60852
209,CA_1,FOODS_3_586,235.0,281.59033
210,CA_1,FOODS_3_586,279.0,272.77625
211,CA_1,FOODS_3_586,297.0,268.49365
212,CA_1,FOODS_3_586,260.0,273.39008
213,CA_1,FOODS_3_586,206.0,263.36304
214,CA_1,FOODS_3_586,234.0,262.87534
215,CA_1,FOODS_3_586,304.0,250.95741
216,CA_1,FOODS_3_586,291.0,250.16966
217,CA_1,FOODS_3_586,269.0,251.99527
218,CA_1,FOODS_3_586,283.0,252.024
219,CA_1,FOODS_3_586,316.0,260.27454
220,CA_1,FOODS_3_586,296.0,280.62158
221,CA_1,FOODS_3_586,340.0,271.8581
222,CA_1,FOODS_3_586,273.0,293.89474
223,CA_1,FOODS_3_586,287.0,299.83356
224,CA_1,FOODS_3_586,393.0,305.35696
225,CA_1,FOODS_3_586,378.0,309.71185
226,CA_1,FOODS_3_586,367.0,333.4129
227,CA_1,FOODS_3_586,417.0,343.90573
228,CA_1,FOODS_3_586,409.0,360.48227
229,CA_1,FOODS_3_586,390.0,385.0885
230,CA_1,FOODS_3_586,407.0,371.50934
231,CA_1,FOODS_3_586,390.0,378.34213
232,CA_1,FOODS_3_586,342.0,367.35602
233,CA_1,FOODS_3_586,346.0,336.03372
234,CA_1,FOODS_3_586,322.0,336.40155
235,CA_1,FOODS_3_586,329.0,324.19394
236,CA_1,FOODS_3_586,410.99999999999994,313.17822
237,CA_1,FOODS_3_586,432.0,333.0333
238,CA_1,FOODS_3_586,414.0,361.1398
239,CA_1,FOODS_3_586,358.0,374.7274
240,CA_1,FOODS_3_586,318.0,389.38995
241,CA_1,FOODS_3_586,342.0,363.36227
242,CA_1,FOODS_3_586,308.0,327.64288
243,CA_1,FOODS_3_586,289.0,312.3133
244,CA_1,FOODS_3_586,253.0,298.60312
245,CA_1,FOODS_3_586,303.0,313.45035
246,CA_1,FOODS_3_586,307.0,320.2693
247,CA_1,FOODS_3_586,266.0,300.4257
248,CA_1,FOODS_3_586,264.0,305.5078
