Data,Loja,Item,Real,Previsto
194,CA_1,FOODS_3_090,679.0,705.4029
195,CA_1,FOODS_3_090,540.0,634.1308
196,CA_1,FOODS_3_090,674.0,561.9641
197,CA_1,FOODS_3_090,652.0,644.41626
198,CA_1,FOODS_3_090,471.0,593.51056
199,CA_1,FOODS_3_090,474.0,486.36398
200,CA_1,FOODS_3_090,692.0,517.15424
201,CA_1,FOODS_3_090,377.0,626.84644
202,CA_1,FOODS_3_090,0.0,401.22482
203,CA_1,FOODS_3_090,0.0,201.77182
204,CA_1,FOODS_3_090,0.0,176.38559
205,CA_1,FOODS_3_090,0.0,144.38527
206,CA_1,FOODS_3_090,338.0,125.67103
207,CA_1,FOODS_3_090,508.0,347.8676
208,CA_1,FOODS_3_090,509.0,460.92972
209,CA_1,FOODS_3_090,600.0,541.5214
210,CA_1,FOODS_3_090,655.0,636.1141
211,CA_1,FOODS_3_090,659.0,643.8926
212,CA_1,FOODS_3_090,0.0,568.61664
213,CA_1,FOODS_3_090,0.0,34.88137
214,CA_1,FOODS_3_090,0.0,71.445656
215,CA_1,FOODS_3_090,73.0,20.818869
216,CA_1,FOODS_3_090,430.0,165.78325
217,CA_1,FOODS_3_090,431.0,388.7273
218,CA_1,FOODS_3_090,372.00000000000006,426.5737
219,CA_1,FOODS_3_090,561.0,432.20352
220,CA_1,FOODS_3_090,419.0,604.62494
221,CA_1,FOODS_3_090,444.0,394.54416
222,CA_1,FOODS_3_090,450.0,380.18002
223,CA_1,FOODS_3_090,561.0,411.818
224,CA_1,FOODS_3_090,576.0,530.85913
225,CA_1,FOODS_3_090,0.0,544.6841
226,CA_1,FOODS_3_090,0.0,163.3712
227,CA_1,FOODS_3_090,0.0,168.17783
228,CA_1,FOODS_3_090,0.0,101.167206
229,CA_1,FOODS_3_090,277.0,102.58279
230,CA_1,FOODS_3_090,533.0,286.32602
231,CA_1,FOODS_3_090,468.0,500.95728
232,CA_1,FOODS_3_090,519.0,478.8832
233,CA_1,FOODS_3_090,450.0,601.6377
234,CA_1,FOODS_3_090,562.0,472.1816
235,CA_1,FOODS_3_090,455.0,471.6018
236,CA_1,FOODS_3_090,431.0,362.81458
237,CA_1,FOODS_3_090,440.0,434.46277
238,CA_1,FOODS_3_090,320.0,446.73642
239,CA_1,FOODS_3_090,438.0,381.11554
240,CA_1,FOODS_3_090,413.00000000000006,451.9318
241,CA_1,FOODS_3_090,490.0,431.7128
242,CA_1,FOODS_3_090,431.0,498.73932
243,CA_1,FOODS_3_090,392.0,460.05246
244,CA_1,FOODS_3_090,362.0,449.1315
245,CA_1,FOODS_3_090,446.0,395.5268
246,CA_1,FOODS_3_090,407.0,458.77838
247,CA_1,FOODS_3_090,368.0,405.3946
248,CA_1,FOODS_3_090,443.0,421.26443
249,CA_1,FOODS_3_090,419.0,466.81665
250,CA_1,FOODS_3_090,433.0,442.89548
251,CA_1,FOODS_3_090,324.0,451.30844
252,CA_1,FOODS_3_090,832.0,376.37607
253,CA_1,FOODS_3_090,243.0,749.843
254,CA_1,FOODS_3_090,0.0,278.5454
255,CA_1,FOODS_3_090,0.0,213.87459
256,CA_1,FOODS_3_090,0.0,106.477066
257,CA_1,FOODS_3_090,0.0,110.710236
258,CA_1,FOODS_3_090,36.0,45.41508
259,CA_1,FOODS_3_090,367.0,158.12083
260,CA_1,FOODS_3_090,379.0,353.1819
261,CA_1,FOODS_3_090,326.0,426.70517
262,CA_1,FOODS_3_090,323.0,377.56906
263,CA_1,FOODS_3_090,332.0,373.33978
264,CA_1,FOODS_3_090,305.0,316.15213
265,CA_1,FOODS_3_090,365.0,225.83937
266,CA_1,FOODS_3_090,404.0,330.66266
267,CA_1,FOODS_3_090,371.0,395.14148
268,CA_1,FOODS_3_090,332.0,409.93008
269,CA_1,FOODS_3_090,354.0,384.87955
270,CA_1,FOODS_3_090,390.0,391.75204
271,CA_1,FOODS_3_090,347.0,397.78787
272,CA_1,FOODS_3_090,367.0,371.576
273,CA_1,FOODS_3_090,369.0,403.3199
274,CA_1,FOODS_3_090,408.0,403.16296
275,CA_1,FOODS_3_090,447.0,430.81387
276,CA_1,FOODS_3_090,453.0,453.43994
277,CA_1,FOODS_3_090,368.0,470.3815
194,CA_1,FOODS_3_586,324.0,329.6336
195,CA_1,FOODS_3_586,353.0,314.07422
196,CA_1,FOODS_3_586,306.0,330.78128
197,CA_1,FOODS_3_586,324.0,330.47415
198,CA_1,FOODS_3_586,344.00000000000006,334.3081
199,CA_1,FOODS_3_586,312.0,344.38272
200,CA_1,FOODS_3_586,351.0,313.1247
201,CA_1,FOODS_3_586,348.0,339.6674
202,CA_1,FOODS_3_586,358.0,363.9348
203,CA_1,FOODS_3_586,352.0,340.00488
204,CA_1,FOODS_3_586,421.00000000000006,365.17773
205,CA_1,FOODS_3_586,269.0,384.40363
206,CA_1,FOODS_3_586,279.0,317.32855
207,CA_1,FOODS_3_586,256.0,305.92456
208,CA_1,FOODS_3_586,277.0,309.25955
209,CA_1,FOODS_3_586,235.0,280.96063
210,CA_1,FOODS_3_586,279.0,266.03192
211,CA_1,FOODS_3_586,297.0,299.51578
212,CA_1,FOODS_3_586,260.0,304.3949
213,CA_1,FOODS_3_586,206.0,299.4344
214,CA_1,FOODS_3_586,234.0,242.55504
215,CA_1,FOODS_3_586,304.0,280.88766
216,CA_1,FOODS_3_586,291.0,290.63876
217,CA_1,FOODS_3_586,269.0,289.7203
218,CA_1,FOODS_3_586,283.0,281.58392
219,CA_1,FOODS_3_586,316.0,319.80756
220,CA_1,FOODS_3_586,296.0,321.92905
221,CA_1,FOODS_3_586,340.0,297.45886
222,CA_1,FOODS_3_586,273.0,320.3408
223,CA_1,FOODS_3_586,287.0,314.18036
224,CA_1,FOODS_3_586,393.0,312.9895
225,CA_1,FOODS_3_586,378.0,371.39233
226,CA_1,FOODS_3_586,367.0,349.59723
227,CA_1,FOODS_3_586,417.0,348.57852
228,CA_1,FOODS_3_586,409.0,427.14243
229,CA_1,FOODS_3_586,390.0,394.54364
230,CA_1,FOODS_3_586,407.0,384.74042
231,CA_1,FOODS_3_586,390.0,390.66214
232,CA_1,FOODS_3_586,342.0,382.76254
233,CA_1,FOODS_3_586,346.0,361.8015
234,CA_1,FOODS_3_586,322.0,346.65903
235,CA_1,FOODS_3_586,329.0,327.99185
236,CA_1,FOODS_3_586,410.99999999999994,327.286
237,CA_1,FOODS_3_586,432.0,376.1544
238,CA_1,FOODS_3_586,414.0,389.19846
239,CA_1,FOODS_3_586,358.0,388.86688
240,CA_1,FOODS_3_586,318.0,381.5542
241,CA_1,FOODS_3_586,342.0,340.5248
242,CA_1,FOODS_3_586,308.0,345.77966
243,CA_1,FOODS_3_586,289.0,309.30347
244,CA_1,FOODS_3_586,253.0,292.99304
245,CA_1,FOODS_3_586,303.0,308.13647
246,CA_1,FOODS_3_586,307.0,311.89868
247,CA_1,FOODS_3_586,266.0,309.94843
248,CA_1,FOODS_3_586,264.0,279.42618
249,CA_1,FOODS_3_586,255.0,291.9987
250,CA_1,FOODS_3_586,286.0,300.77417
251,CA_1,FOODS_3_586,280.0,285.435
252,CA_1,FOODS_3_586,319.0,294.03186
253,CA_1,FOODS_3_586,265.0,306.4536
254,CA_1,FOODS_3_586,320.0,307.80463
255,CA_1,FOODS_3_586,308.0,320.04803
256,CA_1,FOODS_3_586,335.0,320.1852
257,CA_1,FOODS_3_586,214.0,320.82233
258,CA_1,FOODS_3_586,204.00000000000003,278.47162
259,CA_1,FOODS_3_586,191.0,269.6777
260,CA_1,FOODS_3_586,200.0,256.36142
261,CA_1,FOODS_3_586,216.0,242.26549
262,CA_1,FOODS_3_586,205.0,236.15111
263,CA_1,FOODS_3_586,249.0,260.11517
264,CA_1,FOODS_3_586,276.0,261.36707
265,CA_1,FOODS_3_586,242.0,289.67914
266,CA_1,FOODS_3_586,260.0,247.59552
267,CA_1,FOODS_3_586,274.0,275.0709
268,CA_1,FOODS_3_586,229.0,288.28677
269,CA_1,FOODS_3_586,242.0,259.8825
270,CA_1,FOODS_3_586,284.0,270.924
271,CA_1,FOODS_3_586,284.0,292.72186
272,CA_1,FOODS_3_586,277.0,290.04025
273,CA_1,FOODS_3_586,279.0,294.38266
274,CA_1,FOODS_3_586,248.0,299.31747
275,CA_1,FOODS_3_586,293.0,286.16373
276,CA_1,FOODS_3_586,323.0,300.90936
277,CA_1,FOODS_3_586,289.0,312.28397
194,CA_2,FOODS_3_586,298.0,309.46582
195,CA_2,FOODS_3_586,271.00000000000006,312.45154
196,CA_2,FOODS_3_586,299.00000000000006,291.12247
197,CA_2,FOODS_3_586,202.99999999999997,300.40225
198,CA_2,FOODS_3_586,254.00000000000006,253.55711
199,CA_2,FOODS_3_586,220.0,256.43744
200,CA_2,FOODS_3_586,312.0,248.9575
201,CA_2,FOODS_3_586,262.0,268.74948
202,CA_2,FOODS_3_586,288.0,263.2238
203,CA_2,FOODS_3_586,287.0,284.1369
204,CA_2,FOODS_3_586,296.00000000000006,271.25085
205,CA_2,FOODS_3_586,232.0,281.09598
206,CA_2,FOODS_3_586,227.0,256.5108
207,CA_2,FOODS_3_586,184.0,264.36517
208,CA_2,FOODS_3_586,148.0,226.2962
209,CA_2,FOODS_3_586,91.0,202.07484
210,CA_2,FOODS_3_586,111.0,174.97906
211,CA_2,FOODS_3_586,111.0,167.27621
212,CA_2,FOODS_3_586,119.00000000000001,150.87685
213,CA_2,FOODS_3_586,100.00000000000001,152.53854
214,CA_2,FOODS_3_586,80.0,148.65291
215,CA_2,FOODS_3_586,87.0,138.32019
216,CA_2,FOODS_3_586,107.0,129.8057
217,CA_2,FOODS_3_586,126.0,134.69887
218,CA_2,FOODS_3_586,96.0,142.60089
219,CA_2,FOODS_3_586,112.00000000000001,141.80034
220,CA_2,FOODS_3_586,83.0,143.94994
221,CA_2,FOODS_3_586,73.0,132.94101
222,CA_2,FOODS_3_586,89.0,127.688446
223,CA_2,FOODS_3_586,66.0,132.02054
224,CA_2,FOODS_3_586,69.0,127.1259
225,CA_2,FOODS_3_586,58.0,123.29339
226,CA_2,FOODS_3_586,114.0,121.68914
227,CA_2,FOODS_3_586,250.00000000000006,128.76851
228,CA_2,FOODS_3_586,282.00000000000006,165.44032
229,CA_2,FOODS_3_586,311.0,200.83223
230,CA_2,FOODS_3_586,286.0,238.80815
231,CA_2,FOODS_3_586,290.0,254.79967
232,CA_2,FOODS_3_586,350.0,254.7335
233,CA_2,FOODS_3_586,335.0,286.05142
234,CA_2,FOODS_3_586,360.0,317.43756
235,CA_2,FOODS_3_586,338.0,344.30615
236,CA_2,FOODS_3_586,353.0,347.94073
237,CA_2,FOODS_3_586,338.0,341.11343
238,CA_2,FOODS_3_586,371.0,336.02
239,CA_2,FOODS_3_586,319.0,361.59586
240,CA_2,FOODS_3_586,364.0,339.68076
241,CA_2,FOODS_3_586,341.00000000000006,358.17188
242,CA_2,FOODS_3_586,300.0,344.24692
243,CA_2,FOODS_3_586,320.00000000000006,326.2671
244,CA_2,FOODS_3_586,265.00000000000006,327.11502
245,CA_2,FOODS_3_586,295.00000000000006,302.53406
246,CA_2,FOODS_3_586,317.00000000000006,291.47763
247,CA_2,FOODS_3_586,289.00000000000006,311.01614
248,CA_2,FOODS_3_586,292.00000000000006,297.2276
249,CA_2,FOODS_3_586,353.0,294.9103
250,CA_2,FOODS_3_586,289.00000000000006,323.08084
251,CA_2,FOODS_3_586,273.0,291.66733
252,CA_2,FOODS_3_586,348.00000000000006,295.09906
253,CA_2,FOODS_3_586,305.0,324.88977
254,CA_2,FOODS_3_586,338.0,298.36462
255,CA_2,FOODS_3_586,308.0,319.4889
256,CA_2,FOODS_3_586,429.0,331.69922
257,CA_2,FOODS_3_586,240.0,358.16968
258,CA_2,FOODS_3_586,239.0,295.33023
259,CA_2,FOODS_3_586,247.00000000000006,298.6891
260,CA_2,FOODS_3_586,264.00000000000006,271.64786
261,CA_2,FOODS_3_586,247.00000000000006,255.78995
262,CA_2,FOODS_3_586,201.0,254.27356
263,CA_2,FOODS_3_586,238.00000000000003,268.0314
264,CA_2,FOODS_3_586,256.0,232.97182
265,CA_2,FOODS_3_586,259.0,233.10817
266,CA_2,FOODS_3_586,261.00000000000006,245.43507
267,CA_2,FOODS_3_586,271.00000000000006,262.66153
268,CA_2,FOODS_3_586,223.0,264.4675
269,CA_2,FOODS_3_586,193.00000000000003,238.13853
270,CA_2,FOODS_3_586,272.00000000000006,229.56772
271,CA_2,FOODS_3_586,224.00000000000003,250.50652
272,CA_2,FOODS_3_586,224.00000000000003,233.91298
273,CA_2,FOODS_3_586,253.0,238.28096
274,CA_2,FOODS_3_586,218.0,253.47293
275,CA_2,FOODS_3_586,252.0,227.27081
