Data,Loja,Item,Real,Previsto
194,CA_1,FOODS_3_090,679.0,717.5786522854684
195,CA_1,FOODS_3_090,540.0,644.5010903128873
196,CA_1,FOODS_3_090,674.0,576.1421896308844
197,CA_1,FOODS_3_090,652.0,664.7079446589845
198,CA_1,FOODS_3_090,471.0,600.3782997372929
199,CA_1,FOODS_3_090,474.0,493.5661122099303
200,CA_1,FOODS_3_090,692.0,531.0219769455412
201,CA_1,FOODS_3_090,377.0,637.8756654787162
202,CA_1,FOODS_3_090,0.0,391.2706248053271
203,CA_1,FOODS_3_090,0.0,203.54877035040656
204,CA_1,FOODS_3_090,0.0,156.5336973312718
205,CA_1,FOODS_3_090,0.0,41.972499356814694
206,CA_1,FOODS_3_090,338.0,36.24850640740215
207,CA_1,FOODS_3_090,508.0,341.98005605058154
208,CA_1,FOODS_3_090,509.0,480.29008803855186
209,CA_1,FOODS_3_090,600.0,556.9396684035873
210,CA_1,FOODS_3_090,655.0,641.8172617831381
211,CA_1,FOODS_3_090,659.0,630.4926997846187
212,CA_1,FOODS_3_090,0.0,611.8637216680203
213,CA_1,FOODS_3_090,0.0,145.79636157991936
214,CA_1,FOODS_3_090,0.0,181.60692239246558
215,CA_1,FOODS_3_090,73.0,24.858332805321197
216,CA_1,FOODS_3_090,430.0,69.89494787589398
217,CA_1,FOODS_3_090,431.0,380.9824820665282
218,CA_1,FOODS_3_090,372.00000000000006,456.54428857303026
219,CA_1,FOODS_3_090,561.0,483.1913848070314
220,CA_1,FOODS_3_090,419.0,616.1819865810942
221,CA_1,FOODS_3_090,444.0,404.6389178624238
222,CA_1,FOODS_3_090,450.0,456.58429835757386
223,CA_1,FOODS_3_090,561.0,445.2134286767829
224,CA_1,FOODS_3_090,576.0,526.41884578083
225,CA_1,FOODS_3_090,0.0,547.5806980227593
226,CA_1,FOODS_3_090,0.0,170.5163449772808
227,CA_1,FOODS_3_090,0.0,194.1007112231571
228,CA_1,FOODS_3_090,0.0,51.91796146803155
229,CA_1,FOODS_3_090,277.0,17.356455586639257
230,CA_1,FOODS_3_090,533.0,275.4560420309971
231,CA_1,FOODS_3_090,468.0,506.719695003911
232,CA_1,FOODS_3_090,519.0,503.49571250838346
233,CA_1,FOODS_3_090,450.0,607.2360986821882
234,CA_1,FOODS_3_090,562.0,477.7127534209754
235,CA_1,FOODS_3_090,455.0,535.0564940465648
236,CA_1,FOODS_3_090,431.0,425.0075609716285
237,CA_1,FOODS_3_090,440.0,454.10809452981164
238,CA_1,FOODS_3_090,320.0,455.7538462789525
239,CA_1,FOODS_3_090,438.0,371.45726545551395
240,CA_1,FOODS_3_090,413.00000000000006,450.69932402629945
241,CA_1,FOODS_3_090,490.0,417.9207446325856
242,CA_1,FOODS_3_090,431.0,495.7055447752129
243,CA_1,FOODS_3_090,392.0,461.71852262479723
244,CA_1,FOODS_3_090,362.0,448.0760383793517
245,CA_1,FOODS_3_090,446.0,400.85337127913635
246,CA_1,FOODS_3_090,407.0,452.65831653391626
247,CA_1,FOODS_3_090,368.0,400.81926921988986
248,CA_1,FOODS_3_090,443.0,418.2405721939451
249,CA_1,FOODS_3_090,419.0,466.6191072396944
250,CA_1,FOODS_3_090,433.0,434.64462309521053
251,CA_1,FOODS_3_090,324.0,452.193338723344
252,CA_1,FOODS_3_090,832.0,376.60411306613594
253,CA_1,FOODS_3_090,243.0,747.6393397838525
254,CA_1,FOODS_3_090,0.0,268.0529463162537
255,CA_1,FOODS_3_090,0.0,248.86841280460035
256,CA_1,FOODS_3_090,0.0,125.22034280272331
257,CA_1,FOODS_3_090,0.0,27.570797902750517
258,CA_1,FOODS_3_090,36.0,16.60314679185292
259,CA_1,FOODS_3_090,367.0,143.8033427014049
260,CA_1,FOODS_3_090,379.0,380.24365199856163
261,CA_1,FOODS_3_090,326.0,405.3057143419753
262,CA_1,FOODS_3_090,323.0,398.04665842451203
263,CA_1,FOODS_3_090,332.0,398.7913363930775
264,CA_1,FOODS_3_090,305.0,364.3626456889314
265,CA_1,FOODS_3_090,365.0,309.1725298746111
266,CA_1,FOODS_3_090,404.0,372.02123765049606
267,CA_1,FOODS_3_090,371.0,401.48349527125737
268,CA_1,FOODS_3_090,332.0,410.21051117729246
269,CA_1,FOODS_3_090,354.0,389.4300064577817
270,CA_1,FOODS_3_090,390.0,393.39930092518784
271,CA_1,FOODS_3_090,347.0,398.2804451929814
272,CA_1,FOODS_3_090,367.0,371.99625941239486
273,CA_1,FOODS_3_090,369.0,404.73048693468365
274,CA_1,FOODS_3_090,408.0,400.6134409821595
275,CA_1,FOODS_3_090,447.0,427.4661871021304
276,CA_1,FOODS_3_090,453.0,452.0113453264082
277,CA_1,FOODS_3_090,368.0,466.42746071949284
194,CA_1,FOODS_3_586,324.0,326.65819928009904
195,CA_1,FOODS_3_586,353.0,310.7080938922964
196,CA_1,FOODS_3_586,306.0,328.7694140251944
197,CA_1,FOODS_3_586,324.0,323.443678702345
198,CA_1,FOODS_3_586,344.00000000000006,328.500665519728
199,CA_1,FOODS_3_586,312.0,339.6934573475588
200,CA_1,FOODS_3_586,351.0,304.1999491069086
201,CA_1,FOODS_3_586,348.0,336.0499621589435
202,CA_1,FOODS_3_586,358.0,359.1565386726782
203,CA_1,FOODS_3_586,352.0,331.7347236603937
204,CA_1,FOODS_3_586,421.00000000000006,361.292984965699
205,CA_1,FOODS_3_586,269.0,378.41163991099063
206,CA_1,FOODS_3_586,279.0,305.99808816475945
207,CA_1,FOODS_3_586,256.0,302.79017719366294
208,CA_1,FOODS_3_586,277.0,303.690201858073
209,CA_1,FOODS_3_586,235.0,267.76841040509794
210,CA_1,FOODS_3_586,279.0,256.88083784749966
211,CA_1,FOODS_3_586,297.0,293.5585850761253
212,CA_1,FOODS_3_586,260.0,296.2685336428634
213,CA_1,FOODS_3_586,206.0,294.2626726236545
214,CA_1,FOODS_3_586,234.0,226.7570594353382
215,CA_1,FOODS_3_586,304.0,278.8578090069071
216,CA_1,FOODS_3_586,291.0,289.3598665878579
217,CA_1,FOODS_3_586,269.0,288.4984644063272
218,CA_1,FOODS_3_586,283.0,277.17309318937873
219,CA_1,FOODS_3_586,316.0,323.4609942359042
220,CA_1,FOODS_3_586,296.0,321.3446384490171
221,CA_1,FOODS_3_586,340.0,294.114192151943
222,CA_1,FOODS_3_586,273.0,322.1447767184031
223,CA_1,FOODS_3_586,287.0,308.34643378633535
224,CA_1,FOODS_3_586,393.0,307.96935120864737
225,CA_1,FOODS_3_586,378.0,373.17527810343347
226,CA_1,FOODS_3_586,367.0,341.9271616658429
227,CA_1,FOODS_3_586,417.0,344.1776908220987
228,CA_1,FOODS_3_586,409.0,424.4542242416036
229,CA_1,FOODS_3_586,390.0,379.743727099425
230,CA_1,FOODS_3_586,407.0,376.5013688995826
231,CA_1,FOODS_3_586,390.0,387.34222709025244
232,CA_1,FOODS_3_586,342.0,374.09176544993517
233,CA_1,FOODS_3_586,346.0,358.6609389265836
234,CA_1,FOODS_3_586,322.0,349.07082725659035
235,CA_1,FOODS_3_586,329.0,325.3358455797418
236,CA_1,FOODS_3_586,410.99999999999994,325.6086313937753
237,CA_1,FOODS_3_586,432.0,376.0660366073202
238,CA_1,FOODS_3_586,414.0,383.55905139321874
239,CA_1,FOODS_3_586,358.0,383.5599821946131
240,CA_1,FOODS_3_586,318.0,377.29098269943677
241,CA_1,FOODS_3_586,342.0,333.9745003591829
242,CA_1,FOODS_3_586,308.0,341.5758346214815
243,CA_1,FOODS_3_586,289.0,305.6378389958265
244,CA_1,FOODS_3_586,253.0,287.9469211091502
245,CA_1,FOODS_3_586,303.0,303.2859146278722
246,CA_1,FOODS_3_586,307.0,305.88237602348306
247,CA_1,FOODS_3_586,266.0,303.71381831103906
248,CA_1,FOODS_3_586,264.0,268.7586593420546
249,CA_1,FOODS_3_586,255.0,285.1202790246393
250,CA_1,FOODS_3_586,286.0,294.18597255827495
251,CA_1,FOODS_3_586,280.0,277.5197506908247
252,CA_1,FOODS_3_586,319.0,291.2423663802086
253,CA_1,FOODS_3_586,265.0,303.21352462726986
254,CA_1,FOODS_3_586,320.0,303.48433490611336
255,CA_1,FOODS_3_586,308.0,319.0328722371346
256,CA_1,FOODS_3_586,335.0,317.85622697921247
257,CA_1,FOODS_3_586,214.0,316.70848956662104
