Data,Loja,Item,Real,Previsto
2021-09-13,CA_1,FOODS_3_090,679,591.991250923203
2021-09-20,CA_1,FOODS_3_090,540,556.0101803647987
2021-09-27,CA_1,FOODS_3_090,674,573.6343013004748
2021-10-04,CA_1,FOODS_3_090,652,627.0501402831104
2021-10-11,CA_1,FOODS_3_090,471,654.8744368871943
2021-10-18,CA_1,FOODS_3_090,474,612.428505176181
2021-10-25,CA_1,FOODS_3_090,692,524.0930081681613
2021-11-01,CA_1,FOODS_3_090,377,464.8915281620234
2021-11-08,CA_1,FOODS_3_090,0,484.8005100253183
2021-11-15,CA_1,FOODS_3_090,0,555.8473757360335
2021-11-22,CA_1,FOODS_3_090,0,600.0422242009956
2021-11-29,CA_1,FOODS_3_090,0,568.2680356372222
2021-12-06,CA_1,FOODS_3_090,338,485.6922829513817
2021-12-13,CA_1,FOODS_3_090,508,418.59039194370746
2021-12-20,CA_1,FOODS_3_090,509,403.6505057984026
2021-12-27,CA_1,FOODS_3_090,600,416.61108740184443
2022-01-03,CA_1,FOODS_3_090,655,407.4636399638982
2022-01-10,CA_1,FOODS_3_090,659,356.5378010600183
2022-01-17,CA_1,FOODS_3_090,0,290.9061464044717
2022-01-24,CA_1,FOODS_3_090,0,251.70663200393585
2022-01-31,CA_1,FOODS_3_090,0,254.92602394367353
2022-02-07,CA_1,FOODS_3_090,73,285.19413621278665
2022-02-14,CA_1,FOODS_3_090,430,318.66704139001337
2022-02-21,CA_1,FOODS_3_090,431,343.29635105857807
2022-02-28,CA_1,FOODS_3_090,372,358.88453250849386
2022-03-07,CA_1,FOODS_3_090,561,367.5380298513788
2022-03-14,CA_1,FOODS_3_090,419,370.3454516226837
2022-03-21,CA_1,FOODS_3_090,444,369.41427809845896
2022-03-28,CA_1,FOODS_3_090,450,365.46249735164184
2022-04-04,CA_1,FOODS_3_090,561,352.4233872871655
2022-04-11,CA_1,FOODS_3_090,576,321.2144859681061
2022-04-18,CA_1,FOODS_3_090,0,274.3958330359385
2022-04-25,CA_1,FOODS_3_090,0,234.29639360472203
2022-05-02,CA_1,FOODS_3_090,0,228.86665921740675
2022-05-09,CA_1,FOODS_3_090,0,265.5312975740478
2022-05-16,CA_1,FOODS_3_090,277,321.7088559751588
2022-05-23,CA_1,FOODS_3_090,533,364.7692600686999
2022-05-30,CA_1,FOODS_3_090,468,380.4490265352676
2022-06-06,CA_1,FOODS_3_090,519,378.838812083888
2022-06-13,CA_1,FOODS_3_090,450,374.58800587042134
2022-06-20,CA_1,FOODS_3_090,562,368.96193674597777
2022-06-27,CA_1,FOODS_3_090,455,356.5353857358959
2022-07-04,CA_1,FOODS_3_090,431,344.9519964767746
2022-07-11,CA_1,FOODS_3_090,440,357.2736799664237
2022-07-18,CA_1,FOODS_3_090,320,408.67950329396643
2022-07-25,CA_1,FOODS_3_090,438,484.6515897717093
2022-08-01,CA_1,FOODS_3_090,413,549.6127934182357
2022-08-08,CA_1,FOODS_3_090,490,578.7093609363114
2022-08-15,CA_1,FOODS_3_090,431,576.4195275076958
2022-08-22,CA_1,FOODS_3_090,392,561.7783603393691
2022-08-29,CA_1,FOODS_3_090,362,541.8010854846818
2022-09-05,CA_1,FOODS_3_090,446,508.6231842156076
2022-09-12,CA_1,FOODS_3_090,407,463.01696394263
2022-09-19,CA_1,FOODS_3_090,368,429.26594420108216
2022-09-26,CA_1,FOODS_3_090,443,434.53513062589315
2022-10-03,CA_1,FOODS_3_090,419,472.8932836389568
2022-10-10,CA_1,FOODS_3_090,433,500.62796737451475
2022-10-17,CA_1,FOODS_3_090,324,477.43620047014485
2022-10-24,CA_1,FOODS_3_090,832,411.9139284470237
2022-10-31,CA_1,FOODS_3_090,243,358.1206475848082
2022-11-07,CA_1,FOODS_3_090,0,361.7551290966604
2022-11-14,CA_1,FOODS_3_090,0,412.2272857429588
2022-11-21,CA_1,FOODS_3_090,0,452.9022950343148
2022-11-28,CA_1,FOODS_3_090,0,438.66908161771704
2022-12-05,CA_1,FOODS_3_090,36,378.95326070610184
2022-12-12,CA_1,FOODS_3_090,367,322.34885823266495
2022-12-19,CA_1,FOODS_3_090,379,303.6900564514277
2022-12-26,CA_1,FOODS_3_090,326,312.0364663890277
2023-01-02,CA_1,FOODS_3_090,323,309.7970244894149
2023-01-09,CA_1,FOODS_3_090,332,276.0496487706532
2023-01-16,CA_1,FOODS_3_090,305,225.98965904615366
2023-01-23,CA_1,FOODS_3_090,365,191.1222119223151
2023-01-30,CA_1,FOODS_3_090,404,187.8818520201449
2023-02-06,CA_1,FOODS_3_090,371,207.92596510867878
2023-02-13,CA_1,FOODS_3_090,332,233.0559357098369
2023-02-20,CA_1,FOODS_3_090,354,252.30105742490517
2023-02-27,CA_1,FOODS_3_090,390,264.48529819205766
2023-03-06,CA_1,FOODS_3_090,347,271.28724525119486
2023-03-13,CA_1,FOODS_3_090,367,273.57366740037793
2023-03-20,CA_1,FOODS_3_090,369,272.7635150859921
2023-03-27,CA_1,FOODS_3_090,408,269.91963879520205
2023-04-03,CA_1,FOODS_3_090,447,261.5799074393958
2023-04-10,CA_1,FOODS_3_090,453,240.8425819939201
2023-04-17,CA_1,FOODS_3_090,368,207.3331900914336
2021-09-13,CA_1,FOODS_3_586,324,327.8373811767276
2021-09-20,CA_1,FOODS_3_586,353,327.66332214072827
2021-09-27,CA_1,FOODS_3_586,306,326.63997972560776
2021-10-04,CA_1,FOODS_3_586,324,327.40208856285835
2021-10-11,CA_1,FOODS_3_586,344,330.39654357781905
2021-10-18,CA_1,FOODS_3_586,312,334.09812479011026
2021-10-25,CA_1,FOODS_3_586,351,338.5408833738161
2021-11-01,CA_1,FOODS_3_586,348,346.79473173095624
2021-11-08,CA_1,FOODS_3_586,358,360.4371543939558
2021-11-15,CA_1,FOODS_3_586,352,373.0899332245127
2021-11-22,CA_1,FOODS_3_586,421,371.00645755814145
2021-11-29,CA_1,FOODS_3_586,269,343.7071805885812
2021-12-06,CA_1,FOODS_3_586,279,295.8559355977905
2021-12-13,CA_1,FOODS_3_586,256,247.618563059828
2021-12-20,CA_1,FOODS_3_586,277,220.87408699960778
2021-12-27,CA_1,FOODS_3_586,235,223.01533349467675
2022-01-03,CA_1,FOODS_3_586,279,243.02860356931896
2022-01-10,CA_1,FOODS_3_586,297,262.5266533423073
2022-01-17,CA_1,FOODS_3_586,260,270.3198935409069
2022-01-24,CA_1,FOODS_3_586,206,267.632489537093
2022-01-31,CA_1,FOODS_3_586,234,262.281527227688
2022-02-07,CA_1,FOODS_3_586,304,260.54916237466233
2022-02-14,CA_1,FOODS_3_586,291,264.46641091962255
2022-02-21,CA_1,FOODS_3_586,269,273.6287701771107
2022-02-28,CA_1,FOODS_3_586,283,286.21360653022197
2022-03-07,CA_1,FOODS_3_586,316,297.9513739806031
2022-03-14,CA_1,FOODS_3_586,296,302.97342848821256
2022-03-21,CA_1,FOODS_3_586,340,298.5322611790166
2022-03-28,CA_1,FOODS_3_586,273,289.03537471839985
2022-04-04,CA_1,FOODS_3_586,287,283.4034215383999
2022-04-11,CA_1,FOODS_3_586,393,286.9364262862021
2022-04-18,CA_1,FOODS_3_586,378,296.251307281427
2022-04-25,CA_1,FOODS_3_586,367,303.45373047199365
2022-05-02,CA_1,FOODS_3_586,417,305.2545138242419
2022-05-09,CA_1,FOODS_3_586,409,306.564356075631
2022-05-16,CA_1,FOODS_3_586,390,314.18616708981284
2022-05-23,CA_1,FOODS_3_586,407,327.8773556190084
2022-05-30,CA_1,FOODS_3_586,390,339.459162126983
2022-06-06,CA_1,FOODS_3_586,342,341.4935621350775
2022-06-13,CA_1,FOODS_3_586,346,335.91197812640394
2022-06-20,CA_1,FOODS_3_586,322,332.81666956242015
2022-06-27,CA_1,FOODS_3_586,329,340.5431379358999
2022-07-04,CA_1,FOODS_3_586,411,357.41291880385023
2022-07-11,CA_1,FOODS_3_586,432,373.23866929491913
2022-07-18,CA_1,FOODS_3_586,414,378.1423820433005
2022-07-25,CA_1,FOODS_3_586,358,369.67598106368484
2022-08-01,CA_1,FOODS_3_586,318,352.73555792964277
2022-08-08,CA_1,FOODS_3_586,342,334.6444655083214
2022-08-15,CA_1,FOODS_3_586,308,320.9233644529826
2022-08-22,CA_1,FOODS_3_586,289,314.01174941253197
2022-08-29,CA_1,FOODS_3_586,253,313.4680815983444
2022-09-05,CA_1,FOODS_3_586,303,316.4279799385783
2022-09-12,CA_1,FOODS_3_586,307,319.0754336590327
2022-09-19,CA_1,FOODS_3_586,266,319.30047300140507
2022-09-26,CA_1,FOODS_3_586,264,318.2380294571953
2022-10-03,CA_1,FOODS_3_586,255,318.54831711389346
2022-10-10,CA_1,FOODS_3_586,286,321.16238335212586
2022-10-17,CA_1,FOODS_3_586,280,324.72911533145697
2022-10-24,CA_1,FOODS_3_586,319,328.7644942466121
2022-10-31,CA_1,FOODS_3_586,265,335.8860688828848
2022-11-07,CA_1,FOODS_3_586,320,348.40940878417285
2022-11-14,CA_1,FOODS_3_586,308,361.7635744761732
2022-11-21,CA_1,FOODS_3_586,335,363.31447130214616
2022-11-28,CA_1,FOODS_3_586,214,341.29611312284845
2022-12-05,CA_1,FOODS_3_586,204,297.1479290887985
2022-12-12,CA_1,FOODS_3_586,191,248.4844545580439
2022-12-19,CA_1,FOODS_3_586,200,217.62003996593884
2022-12-26,CA_1,FOODS_3_586,216,215.02479902840685
2023-01-02,CA_1,FOODS_3_586,205,232.71669504627897
2023-01-09,CA_1,FOODS_3_586,249,252.93069960222178
2023-01-16,CA_1,FOODS_3_586,276,262.7831847431555
2023-01-23,CA_1,FOODS_3_586,242,261.49225975070334
2023-01-30,CA_1,FOODS_3_586,260,256.17648722423843
2023-02-06,CA_1,FOODS_3_586,274,253.60483109394133
2023-02-13,CA_1,FOODS_3_586,229,256.42298141366854
2023-02-20,CA_1,FOODS_3_586,242,264.51023958301886
2023-02-27,CA_1,FOODS_3_586,284,276.38903640169644
2023-03-06,CA_1,FOODS_3_586,284,288.37829107957236
2023-03-13,CA_1,FOODS_3_586,277,294.79028121896533
2023-03-20,CA_1,FOODS_3_586,279,292.0058928642362
2023-03-27,CA_1,FOODS_3_586,248,283.0334742669058
2023-04-03,CA_1,FOODS_3_586,293,276.2866792970862
2023-04-10,CA_1,FOODS_3_586,323,278.12652192593765
2023-04-17,CA_1,FOODS_3_586,289,286.7387982475418
2021-09-13,CA_2,FOODS_3_586,298,287.5536493510574
2021-09-20,CA_2,FOODS_3_586,271,286.76227554613524
2021-09-27,CA_2,FOODS_3_586,299,290.78149356616984
2021-10-04,CA_2,FOODS_3_586,203,297.1347496325115
2021-10-11,CA_2,FOODS_3_586,254,299.19898153660966
2021-10-18,CA_2,FOODS_3_586,220,295.3593297315073
2021-10-25,CA_2,FOODS_3_586,312,294.43349641585814
2021-11-01,CA_2,FOODS_3_586,262,308.07456316766553
2021-11-08,CA_2,FOODS_3_586,288,335.7420985899462
2021-11-15,CA_2,FOODS_3_586,287,359.2031789438607
2021-11-22,CA_2,FOODS_3_586,296,355.9755281110457
2021-11-29,CA_2,FOODS_3_586,232,320.6135099412451
2021-12-06,CA_2,FOODS_3_586,227,272.1247180843766
2021-12-13,CA_2,FOODS_3_586,184,238.6914344410416
2021-12-20,CA_2,FOODS_3_586,148,234.33640070396805
2021-12-27,CA_2,FOODS_3_586,91,250.3406958433286
2022-01-03,CA_2,FOODS_3_586,111,267.98227347267255
2022-01-10,CA_2,FOODS_3_586,111,276.96929479909966
2022-01-17,CA_2,FOODS_3_586,119,280.40166749848083
2022-01-24,CA_2,FOODS_3_586,100,284.5766492061571
2022-01-31,CA_2,FOODS_3_586,80,288.8563133565565
2022-02-07,CA_2,FOODS_3_586,87,287.9389923583167
2022-02-14,CA_2,FOODS_3_586,107,281.7195787239222
2022-02-21,CA_2,FOODS_3_586,126,278.4747717237784
2022-02-28,CA_2,FOODS_3_586,96,286.3722000382411
2022-03-07,CA_2,FOODS_3_586,112,303.6257813616433
2022-03-14,CA_2,FOODS_3_586,83,319.5403951567332
2022-03-21,CA_2,FOODS_3_586,73,325.2895062522209
2022-03-28,CA_2,FOODS_3_586,89,321.7322225003213
2022-04-04,CA_2,FOODS_3_586,66,316.0044919507836
2022-04-11,CA_2,FOODS_3_586,69,312.6578909824236
2022-04-18,CA_2,FOODS_3_586,58,310.8303621384749
2022-04-25,CA_2,FOODS_3_586,114,309.7790412058632
2022-05-02,CA_2,FOODS_3_586,250,313.66251946507174
2022-05-09,CA_2,FOODS_3_586,282,327.69791903514687
2022-05-16,CA_2,FOODS_3_586,311,349.8920535118662
2022-05-23,CA_2,FOODS_3_586,286,369.5280247678008
2022-05-30,CA_2,FOODS_3_586,290,376.10415509800407
2022-06-06,CA_2,FOODS_3_586,350,369.5878794857721
2022-06-13,CA_2,FOODS_3_586,335,360.6041444527284
2022-06-20,CA_2,FOODS_3_586,360,360.3010764242036
2022-06-27,CA_2,FOODS_3_586,338,370.69059424568667
2022-07-04,CA_2,FOODS_3_586,353,384.6211405845521
2022-07-11,CA_2,FOODS_3_586,338,393.4104433964375
2022-07-18,CA_2,FOODS_3_586,371,393.2594704691992
2022-07-25,CA_2,FOODS_3_586,319,385.58785798905916
2022-08-01,CA_2,FOODS_3_586,364,374.1494583870501
2022-08-08,CA_2,FOODS_3_586,341,363.24208783341305
2022-08-15,CA_2,FOODS_3_586,300,356.86600366753316
2022-08-22,CA_2,FOODS_3_586,320,356.62557385934855
2022-08-29,CA_2,FOODS_3_586,265,359.7186725142021
2022-09-05,CA_2,FOODS_3_586,295,360.95683974648523
2022-09-12,CA_2,FOODS_3_586,317,358.46322525879975
2022-09-19,CA_2,FOODS_3_586,289,356.4158181144155
2022-09-26,CA_2,FOODS_3_586,292,359.98532671895595
2022-10-03,CA_2,FOODS_3_586,353,367.60747835484716
2022-10-10,CA_2,FOODS_3_586,289,371.2753502706131
2022-10-17,CA_2,FOODS_3_586,273,367.0428042597884
2022-10-24,CA_2,FOODS_3_586,348,363.73036427443975
2022-10-31,CA_2,FOODS_3_586,305,376.4683291034222
2022-11-07,CA_2,FOODS_3_586,338,408.35274784676295
2022-11-14,CA_2,FOODS_3_586,308,440.14734123412177
2022-11-21,CA_2,FOODS_3_586,429,443.05128085031356
2022-11-28,CA_2,FOODS_3_586,240,405.20463038748125
2022-12-05,CA_2,FOODS_3_586,239,345.40398702473306
2022-12-12,CA_2,FOODS_3_586,247,298.59134738015774
2022-12-19,CA_2,FOODS_3_586,264,286.6661731294616
2022-12-26,CA_2,FOODS_3_586,247,303.2961633945621
2023-01-02,CA_2,FOODS_3_586,201,325.78915212995946
2023-01-09,CA_2,FOODS_3_586,238,338.5475480416112
2023-01-16,CA_2,FOODS_3_586,256,343.02172490286165
2023-01-23,CA_2,FOODS_3_586,259,347.4507814860586
2023-01-30,CA_2,FOODS_3_586,261,352.8549484548524
2023-02-06,CA_2,FOODS_3_586,271,352.92484364210947
2023-02-13,CA_2,FOODS_3_586,223,345.6921850931371
2023-02-20,CA_2,FOODS_3_586,193,339.88100010139004
2023-02-27,CA_2,FOODS_3_586,272,346.5577084217359
2023-03-06,CA_2,FOODS_3_586,224,366.0737678449331
2023-03-13,CA_2,FOODS_3_586,224,386.5223439336711
2023-03-20,CA_2,FOODS_3_586,253,395.73035936727024
2023-03-27,CA_2,FOODS_3_586,218,392.57092976655366
2023-04-03,CA_2,FOODS_3_586,252,385.1793486088999
2023-04-10,CA_2,FOODS_3_586,240,380.25351024000827
2023-04-17,CA_2,FOODS_3_586,264,377.62201270516863
2021-09-13,CA_2,FOODS_3_252,205,211.1845183278715
2021-09-20,CA_2,FOODS_3_252,228,206.70790853677443
2021-09-27,CA_2,FOODS_3_252,224,207.85939487175892
2021-10-04,CA_2,FOODS_3_252,153,210.27294590725649
2021-10-11,CA_2,FOODS_3_252,207,209.16811333868603
2021-10-18,CA_2,FOODS_3_252,181,207.71923261503366
2021-10-25,CA_2,FOODS_3_252,215,214.97687513257932
2021-11-01,CA_2,FOODS_3_252,233,233.59789085465354
2021-11-08,CA_2,FOODS_3_252,241,252.04795868706233
2021-11-15,CA_2,FOODS_3_252,200,252.86720500796602
2021-11-22,CA_2,FOODS_3_252,268,229.94785177446934
2021-11-29,CA_2,FOODS_3_252,210,195.8476099589622
2021-12-06,CA_2,FOODS_3_252,128,170.40326149703046
2021-12-13,CA_2,FOODS_3_252,205,162.96413528942514
2021-12-20,CA_2,FOODS_3_252,147,167.3707913118489
2021-12-27,CA_2,FOODS_3_252,78,173.2807875964644
2022-01-03,CA_2,FOODS_3_252,75,178.6081726804098
2022-01-10,CA_2,FOODS_3_252,87,188.36550295050296
