Data,Loja,Real,Previsto
194,CA_1,30406,31202.953945643774
195,CA_1,31164,30081.518990730478
196,CA_1,29819,30120.99237328629
197,CA_1,33166,32032.005798235383
198,CA_1,31081,31206.238503556397
199,CA_1,28986,30268.85025297929
200,CA_1,30805,30974.362173514073
201,CA_1,27842,30162.79353484305
202,CA_1,30267,32044.128397737066
203,CA_1,29282,30996.323462017743
204,CA_1,27421,29817.770247580782
205,CA_1,26938,30819.3132032428
206,CA_1,30693,31942.500621369112
207,CA_1,29595,30646.113894289327
208,CA_1,28322,30520.822604078076
209,CA_1,27825,29645.857712748853
210,CA_1,31191,32022.307788034694
211,CA_1,33171,32124.407374261544
212,CA_1,27707,30096.229581889667
213,CA_1,26969,30155.694060094404
214,CA_1,30575,30961.898329791675
215,CA_1,30285,31584.199883718917
216,CA_1,29135,31076.812564646883
217,CA_1,29017,31185.798605085078
218,CA_1,31335,32034.876476339337
219,CA_1,32588,33389.53207775064
220,CA_1,31445,32405.421268674316
221,CA_1,30651,32352.7777164686
222,CA_1,30693,32093.496864876866
223,CA_1,34615,33371.16299168575
224,CA_1,31408,31686.40776276387
225,CA_1,30508,31772.23804586997
226,CA_1,30976,31142.774308807777
227,CA_1,31934,32766.322285869064
228,CA_1,32856,33145.90121698241
229,CA_1,32110,32657.29531384695
230,CA_1,31402,32508.43305911167
231,CA_1,32833,33890.682927232694
232,CA_1,33520,33744.04663271277
233,CA_1,32979,33247.94811931468
234,CA_1,31520,33110.3020448502
235,CA_1,30650,32804.955019846566
236,CA_1,35788,34980.27548385413
237,CA_1,33666,33888.76755168463
238,CA_1,32281,33727.6299714562
239,CA_1,29896,33067.793462636815
240,CA_1,31497,33958.70298631296
241,CA_1,33361,33794.76055000662
242,CA_1,31138,32634.335435047506
243,CA_1,31848,32794.414064125594
244,CA_1,30438,33400.089407867454
245,CA_1,35179,35043.01736122321
246,CA_1,32829,33532.196004018086
247,CA_1,30657,33041.24344459129
248,CA_1,29644,33095.47833510173
249,CA_1,30436,34027.91517621559
250,CA_1,29739,33675.99066604634
251,CA_1,28340,33271.51145311384
252,CA_1,29913,33638.29240948247
253,CA_1,26142,33292.892975335315
254,CA_1,29066,34211.54915787958
255,CA_1,28835,33755.28409200763
256,CA_1,31007,33237.71022502515
257,CA_1,23505,33743.356439470466
258,CA_1,28299,34306.13926708092
259,CA_1,30176,33733.21598403772
260,CA_1,29749,33709.995544272264
261,CA_1,27973,33334.879544045165
262,CA_1,31152,34485.894863477915
263,CA_1,31596,34569.385973984856
264,CA_1,30311,33653.00283143053
265,CA_1,29586,33716.48455609821
266,CA_1,30764,34130.470653474484
267,CA_1,32494,34458.13213043369
268,CA_1,29991,34255.55786529377
269,CA_1,31899,34342.28593552356
270,CA_1,30820,34776.39357161362
271,CA_1,33850,35447.80095874565
272,CA_1,31978,35021.466143271966
273,CA_1,30942,35032.33137126927
274,CA_1,31585,34946.208915539675
275,CA_1,34408,35581.48053976336
276,CA_1,33079,34826.2843826962
277,CA_1,34551,34902.14540129845
194,CA_2,16509,18115.263365312527
195,CA_2,16985,17985.403272024607
196,CA_2,17537,17801.181546327964
197,CA_2,16484,17807.19726453044
198,CA_2,17356,17222.82467675387
199,CA_2,16807,17456.162501570925
200,CA_2,17513,16716.365570106675
201,CA_2,16936,17501.778255123314
202,CA_2,18463,17349.49252402174
203,CA_2,18016,17758.13316785409
204,CA_2,16509,16683.5030362128
205,CA_2,16321,17015.807384255564
206,CA_2,17491,17112.9990019566
207,CA_2,17985,17485.591552789298
208,CA_2,17206,17610.636791985988
209,CA_2,16304,17445.43502314585
210,CA_2,17005,17779.254167126914
211,CA_2,17552,18033.12889812133
212,CA_2,15551,18014.667516182686
213,CA_2,15752,17723.850690601295
214,CA_2,16620,18420.758644354613
215,CA_2,16927,17931.780900747115
216,CA_2,17283,17985.136075764687
217,CA_2,17066,18099.06017349366
218,CA_2,17618,18250.320971729063
219,CA_2,17312,18152.95316612873
220,CA_2,16236,17864.664668579037
221,CA_2,16274,17916.44653442009
222,CA_2,17080,17801.901042224898
223,CA_2,17494,18066.93406810153
224,CA_2,15807,17290.48672584304
225,CA_2,17418,17983.32303666686
226,CA_2,18075,17637.405175160457
227,CA_2,21130,18160.143946774668
228,CA_2,24115,17795.32391168699
229,CA_2,24070,17855.342126981537
230,CA_2,23934,18150.830780717613
231,CA_2,26232,18754.32204144445
232,CA_2,26067,17897.96442528751
233,CA_2,26948,18032.985969881396
234,CA_2,27192,18110.796907197542
235,CA_2,26279,17787.339575783946
236,CA_2,27936,17924.465365878434
237,CA_2,28561,17742.561923881814
238,CA_2,29264,18307.086918072368
239,CA_2,27598,18000.639556298396
240,CA_2,29512,18343.023509887782
241,CA_2,29907,17897.89108695389
242,CA_2,28432,18046.044616691786
243,CA_2,28924,17887.418436657525
244,CA_2,28885,17747.995351195717
245,CA_2,30632,17774.973963002492
246,CA_2,29450,17500.95217712234
247,CA_2,29032,17500.384873712064
248,CA_2,28838,17341.565085499333
249,CA_2,28802,17394.52178320332
250,CA_2,27797,16888.982958589015
