Data,Loja,Real,Previsto
194,CA_1,30406.0,28989.51
195,CA_1,31164.0,29078.787
196,CA_1,29819.0,29412.99
197,CA_1,33166.0,29564.523
198,CA_1,31081.0,29121.139
199,CA_1,28986.0,29018.332
200,CA_1,30805.0,28959.314
201,CA_1,27842.0,28914.02
202,CA_1,30267.0,28893.89
203,CA_1,29282.0,28238.402
204,CA_1,27421.000000000004,28235.154
205,CA_1,26938.0,27873.29
206,CA_1,30693.0,28094.602
207,CA_1,29595.0,28097.305
208,CA_1,28322.0,27883.82
209,CA_1,27825.0,28284.457
210,CA_1,31191.0,28319.86
211,CA_1,33171.0,28522.57
212,CA_1,27707.0,28916.879
213,CA_1,26969.0,29310.035
214,CA_1,30575.0,29434.986
215,CA_1,30284.999999999996,29105.871
216,CA_1,29135.0,28712.72
217,CA_1,29017.0,28476.873
218,CA_1,31335.0,28409.87
219,CA_1,32588.0,28739.316
220,CA_1,31445.0,29062.172
221,CA_1,30651.0,29295.852
222,CA_1,30693.0,29448.014
223,CA_1,34615.0,29144.2
224,CA_1,31408.0,29094.635
225,CA_1,30508.0,29337.658
226,CA_1,30976.0,29404.766
227,CA_1,31934.0,29464.02
228,CA_1,32856.0,29133.252
229,CA_1,32110.0,29000.867
230,CA_1,31402.0,29041.67
231,CA_1,32833.0,29023.336
232,CA_1,33520.0,29230.8
233,CA_1,32979.0,29376.303
234,CA_1,31520.0,29280.66
235,CA_1,30650.0,29460.986
236,CA_1,35788.0,29317.629
237,CA_1,33666.0,29258.969
238,CA_1,32281.0,29742.902
239,CA_1,29896.0,29934.607
240,CA_1,31497.0,30276.387
241,CA_1,33361.0,29899.61
242,CA_1,31138.0,29471.582
243,CA_1,31848.0,29354.035
244,CA_1,30438.0,29060.395
245,CA_1,35179.0,29316.223
246,CA_1,32829.0,29153.295
247,CA_1,30657.0,29646.809
248,CA_1,29644.0,29625.594
249,CA_1,30436.0,29830.762
250,CA_1,29739.0,29433.453
251,CA_1,28340.0,28780.723
252,CA_1,29913.0,28599.045
253,CA_1,26142.0,27924.348
254,CA_1,29066.0,28267.037
255,CA_1,28835.0,27712.2
256,CA_1,31006.999999999996,27732.734
257,CA_1,23505.0,27689.96
258,CA_1,28299.0,28169.615
259,CA_1,30176.0,27942.432
260,CA_1,29749.0,28348.1
261,CA_1,27973.0,28010.09
262,CA_1,31152.0,28791.44
263,CA_1,31596.0,28932.594
264,CA_1,30311.0,28932.469
265,CA_1,29586.0,29343.1
266,CA_1,30764.0,28994.852
267,CA_1,32494.0,29020.688
268,CA_1,29991.0,28764.146
269,CA_1,31899.0,28917.531
270,CA_1,30820.0,28796.352
271,CA_1,33850.0,29052.45
272,CA_1,31978.0,28873.945
273,CA_1,30942.0,29283.727
