Data,Loja,Real,Previsto
194,CA_1,30406.0,30745.19
195,CA_1,31164.0,30398.92
196,CA_1,29819.0,30529.49
197,CA_1,33166.0,33049.848
198,CA_1,31081.0,31255.104
199,CA_1,28986.0,30485.068
200,CA_1,30805.0,29504.193
201,CA_1,27842.0,32303.1
202,CA_1,30267.0,30869.04
203,CA_1,29282.0,28099.848
204,CA_1,27421.000000000004,30085.936
205,CA_1,26938.0,27670.604
206,CA_1,30693.0,29998.912
207,CA_1,29595.0,28730.832
208,CA_1,28322.0,28541.203
209,CA_1,27825.0,28605.078
210,CA_1,31191.0,28645.8
211,CA_1,33171.0,31291.596
212,CA_1,27707.0,30703.314
213,CA_1,26969.0,28151.184
214,CA_1,30575.0,29417.484
215,CA_1,30284.999999999996,32927.51
216,CA_1,29135.0,29116.867
217,CA_1,29017.0,27922.39
218,CA_1,31335.0,29577.36
219,CA_1,32588.0,32340.943
220,CA_1,31445.0,31818.402
221,CA_1,30651.0,28741.389
222,CA_1,30693.0,31264.596
223,CA_1,34615.0,33260.156
224,CA_1,31408.0,32618.94
225,CA_1,30508.0,31123.768
226,CA_1,30976.0,30711.662
227,CA_1,31934.0,33450.06
228,CA_1,32856.0,31965.19
229,CA_1,32110.0,31133.406
230,CA_1,31402.0,30970.334
231,CA_1,32833.0,31956.594
232,CA_1,33520.0,33980.766
233,CA_1,32979.0,31481.293
234,CA_1,31520.0,31881.64
235,CA_1,30650.0,32323.973
236,CA_1,35788.0,32337.25
237,CA_1,33666.0,33739.63
238,CA_1,32281.0,32284.879
239,CA_1,29896.0,31221.107
240,CA_1,31497.0,33214.035
241,CA_1,33361.0,32320.602
242,CA_1,31138.0,32072.852
243,CA_1,31848.0,29680.887
244,CA_1,30438.0,31108.473
245,CA_1,35179.0,33627.676
246,CA_1,32829.0,31781.86
247,CA_1,30657.0,31942.486
248,CA_1,29644.0,29900.146
249,CA_1,30436.0,33008.73
250,CA_1,29739.0,31850.879
251,CA_1,28340.0,29503.184
252,CA_1,29913.0,28823.057
253,CA_1,26142.0,29373.68
254,CA_1,29066.0,30078.713
255,CA_1,28835.0,27626.0
256,CA_1,31006.999999999996,28664.133
257,CA_1,23505.0,28320.422
258,CA_1,28299.0,27958.486
259,CA_1,30176.0,27803.885
260,CA_1,29749.0,30380.232
261,CA_1,27973.0,27556.502
262,CA_1,31152.0,27595.361
263,CA_1,31596.0,31388.057
264,CA_1,30311.0,31685.99
265,CA_1,29586.0,30337.92
266,CA_1,30764.0,28291.018
267,CA_1,32494.0,33087.76
268,CA_1,29991.0,32295.86
269,CA_1,31899.0,30037.533
270,CA_1,30820.0,30622.205
271,CA_1,33850.0,33116.746
272,CA_1,31978.0,31925.518
273,CA_1,30942.0,31761.748
274,CA_1,31585.0,30771.953
275,CA_1,34408.0,33180.35
276,CA_1,33079.0,33181.54
277,CA_1,34551.0,31431.254
194,CA_2,16509.0,18635.158
195,CA_2,16985.0,17481.783
196,CA_2,17537.0,17340.836
197,CA_2,16484.0,17492.307
198,CA_2,17356.0,16664.58
199,CA_2,16807.0,17456.863
200,CA_2,17513.0,17178.5
201,CA_2,16936.0,17296.076
202,CA_2,18463.0,17301.602
203,CA_2,18016.0,17624.643
204,CA_2,16509.0,18092.906
205,CA_2,16321.0,17054.004
206,CA_2,17491.0,17046.057
207,CA_2,17985.0,17432.02
208,CA_2,17206.0,17478.354
209,CA_2,16304.0,17229.807
210,CA_2,17005.0,16915.201
211,CA_2,17552.0,17462.65
212,CA_2,15551.0,17421.17
213,CA_2,15752.0,16121.332
214,CA_2,16620.0,16217.659
215,CA_2,16927.0,16891.266
216,CA_2,17283.0,16701.562
217,CA_2,17066.0,16936.617
218,CA_2,17618.0,16991.357
219,CA_2,17312.0,17578.312
220,CA_2,16236.0,17525.83
221,CA_2,16274.0,16581.002
222,CA_2,17080.0,16725.783
223,CA_2,17494.0,17052.523
224,CA_2,15807.0,17158.49
225,CA_2,17418.0,16447.105
226,CA_2,18075.0,17188.56
227,CA_2,21130.0,17903.408
228,CA_2,24115.0,19114.896
229,CA_2,24069.999999999996,21603.65
230,CA_2,23933.999999999996,22435.176
231,CA_2,26232.0,23729.459
232,CA_2,26067.0,25480.27
233,CA_2,26948.0,25358.33
234,CA_2,27192.0,26106.754
235,CA_2,26279.0,26800.775
236,CA_2,27936.0,26421.986
237,CA_2,28561.0,27576.115
238,CA_2,29264.0,27291.027
239,CA_2,27598.0,27640.617
