Data,Loja,Real,Previsto
194,CA_1,30406.0,30820.926204342326
195,CA_1,31164.0,30375.714825215033
196,CA_1,29819.0,30452.927145466998
197,CA_1,33166.0,32954.20233281051
198,CA_1,31081.0,31108.341509790283
199,CA_1,28986.0,30556.101048426077
200,CA_1,30805.0,29293.896602634697
201,CA_1,27842.0,32234.076815213888
202,CA_1,30267.0,30590.024812537704
203,CA_1,29282.0,27982.553850014945
204,CA_1,27421.000000000004,30003.930743974353
205,CA_1,26938.0,27262.271642203003
206,CA_1,30693.0,29782.95955015595
207,CA_1,29595.0,28485.72405414449
208,CA_1,28322.0,28177.384073739588
209,CA_1,27825.0,28297.46979362572
210,CA_1,31191.0,28389.87981989787
211,CA_1,33171.0,30842.80252481864
212,CA_1,27707.0,30480.439013197774
213,CA_1,26969.0,27783.460509501925
214,CA_1,30575.0,29081.21397315506
215,CA_1,30284.999999999996,32580.916910857002
216,CA_1,29135.0,28704.1829132808
217,CA_1,29017.0,27711.32089078677
218,CA_1,31335.0,29346.12918129837
219,CA_1,32588.0,31830.47861888015
220,CA_1,31445.0,31606.29919576467
221,CA_1,30651.0,28570.14460286827
222,CA_1,30693.0,30959.787913185217
223,CA_1,34615.0,32874.77492495173
224,CA_1,31408.0,32535.543903358903
225,CA_1,30508.0,31005.89875560302
226,CA_1,30976.0,30552.667262235682
227,CA_1,31934.0,33404.72538777564
228,CA_1,32856.0,31787.184707178625
229,CA_1,32110.0,31238.017952095706
230,CA_1,31402.0,30994.86575055199
231,CA_1,32833.0,31823.56493601727
232,CA_1,33520.0,33922.947961435806
233,CA_1,32979.0,31625.955163540493
234,CA_1,31520.0,31917.722436169945
235,CA_1,30650.0,32371.0720080176
236,CA_1,35788.0,32337.661447978215
237,CA_1,33666.0,33958.30914217354
238,CA_1,32281.0,32465.14604466945
239,CA_1,29896.0,31308.47656858245
240,CA_1,31497.0,33444.43099696221
241,CA_1,33361.0,32326.54252961576
242,CA_1,31138.0,32384.69418791521
243,CA_1,31848.0,29761.374987251766
244,CA_1,30438.0,31199.881203104153
245,CA_1,35179.0,33529.57006055455
246,CA_1,32829.0,31917.58459821466
247,CA_1,30657.0,32153.39451207418
248,CA_1,29644.0,29824.277002049883
249,CA_1,30436.0,33067.99450924094
250,CA_1,29739.0,31732.072954658826
251,CA_1,28340.0,29510.148334808982
252,CA_1,29913.0,28777.75239787825
253,CA_1,26142.0,29287.67923217058
254,CA_1,29066.0,29750.12681114777
255,CA_1,28835.0,27450.10553610857
256,CA_1,31006.999999999996,28504.753649200058
257,CA_1,23505.0,27925.168282274917
258,CA_1,28299.0,27636.111133703824
259,CA_1,30176.0,27446.68660223917
260,CA_1,29749.0,30149.075800863586
261,CA_1,27973.0,27065.489321112673
262,CA_1,31152.0,27439.462063499635
263,CA_1,31596.0,30950.96308978283
264,CA_1,30311.0,31254.246174026615
265,CA_1,29586.0,30043.977018672733
266,CA_1,30764.0,28068.218717280786
267,CA_1,32494.0,32559.34508614297
268,CA_1,29991.0,32006.158041935618
269,CA_1,31899.0,29837.608111722846
270,CA_1,30820.0,30462.616824160938
271,CA_1,33850.0,32825.035868028746
272,CA_1,31978.0,31745.416992549646
273,CA_1,30942.0,31807.392749462564
274,CA_1,31585.0,30570.44346510568
275,CA_1,34408.0,33152.94183083689
276,CA_1,33079.0,33145.96884959171
277,CA_1,34551.0,31491.00043589019
194,CA_2,16509.0,18710.546734546853
195,CA_2,16985.0,17375.90391597899
196,CA_2,17537.0,17314.195041912495
197,CA_2,16484.0,17513.35516513326
198,CA_2,17356.0,16471.744161653736
199,CA_2,16807.0,17537.51789482991
200,CA_2,17513.0,17133.06462890163
201,CA_2,16936.0,17265.992602193783
202,CA_2,18463.0,17386.81379441138
203,CA_2,18016.0,17698.794496652594
204,CA_2,16509.0,18286.191488978493
205,CA_2,16321.0,17001.830065537935
206,CA_2,17491.0,17108.459552257144
207,CA_2,17985.0,17535.216758294195
208,CA_2,17206.0,17515.291890787863
209,CA_2,16304.0,17273.626010393138
210,CA_2,17005.0,16895.25878860609
211,CA_2,17552.0,17572.709542992634
212,CA_2,15551.0,17472.58763121307
213,CA_2,15752.0,15925.023715635405
214,CA_2,16620.0,16202.947241553302
