Data,Loja,Real,Previsto
2021-09-13,CA_1,30406,30825.248755847777
2021-09-20,CA_1,31164,29795.50613802831
2021-09-27,CA_1,29819,29286.229148786762
2021-10-04,CA_1,33166,29391.31766574788
2021-10-11,CA_1,31081,29596.470581799073
2021-10-18,CA_1,28986,29394.518770311333
2021-10-25,CA_1,30805,28828.31679621057
2021-11-01,CA_1,27842,28396.449079358565
2021-11-08,CA_1,30267,28486.48908693321
2021-11-15,CA_1,29282,28976.610047337792
2021-11-22,CA_1,27421,29390.49833122277
2021-11-29,CA_1,26938,29375.058506570087
2021-12-06,CA_1,30693,28996.36496761558
2021-12-13,CA_1,29595,28629.706172339727
2021-12-20,CA_1,28322,28638.41831770463
2021-12-27,CA_1,27825,29139.64242187538
2022-01-03,CA_1,31191,29961.173122703698
2022-01-10,CA_1,33171,30732.485933262305
2022-01-17,CA_1,27707,31067.957507391355
2022-01-24,CA_1,26969,30817.05143221782
2022-01-31,CA_1,30575,30240.463129027372
2022-02-07,CA_1,30285,29895.688093771718
2022-02-14,CA_1,29135,30214.299110534652
2022-02-21,CA_1,29017,31104.716780090803
2022-02-28,CA_1,31335,31991.282097253526
2022-03-07,CA_1,32588,32309.44556500468
2022-03-14,CA_1,31445,31991.687753930008
2022-03-21,CA_1,30651,31461.657959716988
2022-03-28,CA_1,30693,31169.173959734915
2022-04-04,CA_1,34615,31181.830341905847
2022-04-11,CA_1,31408,31250.481733899232
2022-04-18,CA_1,30508,31209.53207827195
2022-04-25,CA_1,30976,31213.206309149136
2022-05-02,CA_1,31934,31546.934663367167
2022-05-09,CA_1,32856,32269.238941545424
2022-05-16,CA_1,32110,33109.653431914856
2022-05-23,CA_1,31402,33708.503201104955
2022-05-30,CA_1,32833,33894.07628679009
2022-06-06,CA_1,33520,33720.94705270852
2022-06-13,CA_1,32979,33337.025643359746
2022-06-20,CA_1,31520,32916.79480624442
2022-06-27,CA_1,30650,32693.762247016373
2022-07-04,CA_1,35788,32891.9070431196
2022-07-11,CA_1,33666,33483.30106263563
2022-07-18,CA_1,32281,34043.59383040485
2022-07-25,CA_1,29896,34016.06494642655
2022-08-01,CA_1,31497,33250.65991050781
2022-08-08,CA_1,33361,32255.260827786657
2022-08-15,CA_1,31138,31785.350953105877
2022-08-22,CA_1,31848,32105.5279500063
2022-08-29,CA_1,30438,32691.493192968934
2022-09-05,CA_1,35179,32735.12000140099
2022-09-12,CA_1,32829,31955.287737689283
2022-09-19,CA_1,30657,30863.600227520452
2022-09-26,CA_1,29644,30212.701703107454
2022-10-03,CA_1,30436,30234.330602842278
2022-10-10,CA_1,29739,30475.35918641823
2022-10-17,CA_1,28340,30357.80516321233
2022-10-24,CA_1,29913,29810.36871691324
2022-10-31,CA_1,26142,29299.475261704298
2022-11-07,CA_1,29066,29288.543540602663
2022-11-14,CA_1,28835,29750.80717618793
2022-11-21,CA_1,31007,30227.32382344625
2022-11-28,CA_1,23505,30298.11241091209
2022-12-05,CA_1,28299,29951.09993542635
2022-12-12,CA_1,30176,29538.59849180712
2022-12-19,CA_1,29749,29460.239133330015
2022-12-26,CA_1,27973,29890.51335858771
2023-01-02,CA_1,31152,30701.353259120973
2023-01-09,CA_1,31596,31536.395653101972
2023-01-16,CA_1,30311,31983.3659494076
2023-01-23,CA_1,29586,31825.416516525314
2023-01-30,CA_1,30764,31253.194603217766
2023-02-06,CA_1,32494,30811.736892638117
2023-02-13,CA_1,29991,31005.93692306442
2023-02-20,CA_1,31899,31851.270819441073
2023-02-27,CA_1,30820,32815.83908314906
2023-03-06,CA_1,33850,33270.91453910691
2023-03-13,CA_1,31978,33037.97506502878
2023-03-20,CA_1,30942,32489.86272256239
2023-03-27,CA_1,31585,32125.67764052262
2023-04-03,CA_1,34408,32096.191805227878
2023-04-10,CA_1,33079,32176.57588807343
2023-04-17,CA_1,34551,32151.712018272232
2021-09-13,CA_2,16509,17921.19220994185
