Data,Real,Previsto
194,256434,268410.3588741606
195,238673,253057.4668128934
196,231081,246784.7865499148
197,257742,267734.44157600164
198,252686,264125.4707546043
199,238757,256808.81022180236
200,238128,248992.23713673808
201,225610,255307.4908359658
202,247099,262809.3790057317
203,242126,260974.01368900939
204,204978,244530.27762130892
205,216706,252373.9588730897
206,245932,266448.2830693772
207,253417,264556.7028004425
208,237461,256886.6139820821
209,231585,250387.77533427085
210,269703,266861.8387914224
211,286269,271939.05969378276
212,247714,263670.25847028935
213,238739,259058.76614075757
214,257284,267882.4805417594
215,264444,272508.2393002122
216,256144,264660.8192289023
217,240071,260689.78416930136
218,248381,266926.01039042854
219,272875,274812.9082877482
220,263517,274637.03902873513
221,244319,266942.67458156054
222,243841,264968.8979342811
223,279005,273269.3062940304
224,260687,270307.9487211144
225,253319,264483.36775847455
226,242677,259662.88629010713
227,266316,274238.69557234226
228,284689,276647.38583002397
229,279297,273631.180134057
230,255412,268185.2214463945
231,267132,278207.5412497875
232,288327,278941.01718213625
233,288356,278424.52315426106
234,274547,270703.6694497652
235,259518,268173.7695857115
236,301161,283102.46740483854
237,288381,279747.40200845985
238,280318,276962.0397251574
239,260070,274884.1111180642
240,280053,279706.3740886981
241,287731,279030.1561759804
242,284868,277074.43067351286
243,273074,271193.8860194223
244,266753,273616.2146228532
245,306993,284606.5674320025
246,290608,282345.7863584596
247,268786,276818.4772383736
248,261116,274750.4037216277
249,271482,283059.6199390163
250,272242,282006.8852969979
251,262726,279542.5011489652
252,259192,276886.2475145488
253,238170,279617.3450311457
254,267797,282799.7274554633
255,270680,282424.01214723807
256,268368,276480.2363187568
257,212812,279793.33514012955
258,262356,285480.992662627
259,280380,285083.5828236131
260,273260,282483.93072479736
261,261716,280330.53642835043
262,288980,286932.8943614781
263,301380,289191.4060328022
264,303109,286363.6176559382
265,283322,284929.5335232743
266,290163,288616.11737083
267,302453,290702.61104141845
268,298786,288035.37794391066
269,275282,286845.4442453326
270,282772,289545.81202052144
271,311984,292875.2548992607
272,307634,293131.7945648926
273,287796,290522.8495228261
274,282731,290094.1531358593
275,314216,293581.216260792
276,312183,292776.12391336384
277,313500,290879.8100351385
