Data,Real,Previsto
194,256434.0,246284.1
195,238673.0,243259.84
196,231081.0,246939.7
197,257742.0,249881.25
198,252686.0,245943.7
199,238757.0,245221.11
200,238128.0,241280.73
201,225610.0,241125.62
202,247099.0,241539.66
203,242126.0,238547.97
204,204977.99999999997,235366.56
205,216706.0,234630.05
206,245932.0,235167.77
207,253417.0,226820.05
208,237461.0,231197.45
209,231584.99999999997,228407.86
210,269703.0,236920.44
211,286269.0,240447.22
212,247713.99999999997,243261.3
213,238739.0,246366.77
214,257284.0,258009.39
215,264444.0,254519.48
216,256144.0,250794.69
217,240071.0,250288.22
218,248380.99999999997,246222.66
219,272875.0,246839.9
220,263517.0,248516.33
221,244318.99999999997,246175.78
222,243841.0,246351.27
223,279005.0,248128.14
224,260687.0,247972.86
225,253319.0,246908.27
226,242677.0,248126.7
227,266316.0,249884.06
228,284689.0,248526.28
229,279297.0,248441.7
230,255412.0,248359.31
231,267132.0,253850.12
232,288327.0,256355.31
233,288356.0,257029.56
234,274547.0,254448.22
235,259518.0,256573.97
236,301161.0,260381.22
237,288381.0,259856.25
238,280318.0,259787.16
239,260070.0,259443.12
240,280053.0,264877.6
241,287731.0,262232.9
242,284868.0,261771.44
243,273074.0,258099.7
244,266753.0,258821.48
245,306993.0,259781.03
246,290608.0,262854.97
247,268786.0,260932.39
248,261116.0,262374.2
249,271482.0,267699.62
250,272242.0,261438.7
251,262726.0,260327.14
252,259191.99999999997,253016.75
253,238170.0,248360.31
254,267797.0,250297.84
255,270680.0,253381.1
256,268368.0,248469.7
257,212812.0,245961.14
258,262356.0,254918.12
259,280380.0,252335.98
260,273260.0,255391.08
261,261716.0,256197.25
262,288980.0,258288.36
263,301380.0,261930.02
264,303109.0,262785.22
265,283322.0,264463.22
266,290163.0,265350.88
267,302453.0,266188.3
268,298786.0,262658.38
269,275282.0,262102.56
270,282772.0,263675.97
271,311984.0,263640.4
272,307634.0,263720.9
273,287796.0,266226.8
274,282731.0,268377.0
275,314216.0,271490.1
276,312183.0,269279.88
277,313500.0,268965.28
