Data,Real,Previsto
194,256434.0,263366.6
195,238673.0,249148.95
196,231081.0,244083.86
197,257742.0,260003.72
198,252686.0,255587.39
199,238757.0,245434.73
200,238128.0,230286.66
201,225610.0,255108.06
202,247099.0,254402.7
203,242126.0,238193.66
204,204977.99999999997,235950.67
205,216706.0,214589.84
206,245932.0,245574.77
207,253417.0,245378.61
208,237461.0,230784.0
209,231584.99999999997,236861.03
210,269703.0,243495.73
211,286269.0,275993.6
212,247713.99999999997,266795.47
213,238739.0,231486.3
214,257284.0,261091.14
215,264444.0,280573.34
216,256144.0,257386.42
217,240071.0,240356.86
218,248380.99999999997,247024.06
219,272875.0,273731.53
220,263517.0,273671.7
221,244318.99999999997,240838.3
222,243841.0,246389.2
223,279005.0,267766.03
224,260687.0,274039.84
225,253319.0,252476.0
226,242677.0,243709.72
227,266316.0,266470.12
228,284689.0,272343.84
229,279297.0,267776.8
230,255412.0,256564.84
231,267132.0,266058.25
232,288327.0,288672.78
233,288356.0,274773.28
234,274547.0,266783.75
235,259518.0,265820.47
236,301161.0,280906.94
237,288381.0,295186.6
238,280318.0,276664.34
239,260070.0,256822.61
240,280053.0,281723.84
241,287731.0,283911.6
242,284868.0,279130.72
243,273074.0,261809.66
244,266753.0,269159.22
245,306993.0,289273.0
246,290608.0,285759.22
247,268786.0,276038.28
248,261116.0,256722.06
249,271482.0,286241.4
250,272242.0,275088.38
251,262726.0,263135.25
252,259191.99999999997,251401.86
253,238170.0,260873.83
254,267797.0,270949.97
255,270680.0,257311.86
256,268368.0,257343.83
257,212812.0,252922.89
258,262356.0,249510.5
259,280380.0,264059.0
260,273260.0,272007.22
261,261716.0,244031.25
262,288980.0,261052.31
263,301380.0,296220.78
264,303109.0,291775.34
265,283322.0,280825.0
266,290163.0,262992.1
267,302453.0,304489.7
268,298786.0,298929.78
269,275282.0,277930.97
270,282772.0,269204.12
271,311984.0,291009.03
272,307634.0,298271.78
273,287796.0,284926.34
274,282731.0,272373.16
275,314216.0,290975.4
276,312183.0,301590.03
277,313500.0,288269.03
