Data,Real,Previsto
194,256434.0,262301.5745117777
195,238673.0,246762.45020480352
196,231081.0,242115.5451306306
197,257742.0,257675.54467673847
198,252686.0,251922.94548803862
199,238757.0,242458.42715432556
200,238128.0,228105.77982807768
201,225610.0,251916.82301701943
202,247099.0,249728.44010271094
203,242126.0,234661.36481482198
204,204977.99999999997,232772.32277351336
205,216706.0,210100.36390890754
206,245932.0,242115.19045027936
207,253417.0,241012.4932723756
208,237461.0,225767.1629318605
209,231584.99999999997,234712.62892108233
210,269703.0,239284.17689222327
211,286269.0,273868.634675314
212,247713.99999999997,264623.3142132699
213,238739.0,227698.0035158662
214,257284.0,258338.80298121332
215,264444.0,278752.0098137984
216,256144.0,253275.84399930242
217,240071.0,238987.28184248367
218,248380.99999999997,244563.85272429237
219,272875.0,270732.09906813083
220,263517.0,273015.08578983217
221,244318.99999999997,238369.61195961348
222,243841.0,243976.0754040385
223,279005.0,265572.2326281192
224,260687.0,272604.89104086935
225,253319.0,249714.58100796802
226,242677.0,242244.36491181876
227,266316.0,264304.7326939639
228,284689.0,270105.54438539664
229,279297.0,267227.28285268333
230,255412.0,255541.30029274125
231,267132.0,264505.3874288573
232,288327.0,290665.2318325261
233,288356.0,275137.71504529903
234,274547.0,266757.900855166
235,259518.0,266791.0683650986
236,301161.0,282062.30835703504
237,288381.0,300510.6937891475
238,280318.0,279189.295288343
239,260070.0,258740.52629593798
240,280053.0,284913.21245016454
241,287731.0,286965.24706585746
242,284868.0,282427.27838971076
243,273074.0,264695.9415131269
244,266753.0,271434.4534862866
245,306993.0,293120.32822825667
246,290608.0,291231.76014503854
247,268786.0,279414.6246714251
248,261116.0,258745.34048947913
249,271482.0,290612.8072099013
250,272242.0,276862.9402989811
251,262726.0,264497.5552694001
252,259191.99999999997,253490.3983393186
253,238170.0,261218.8784018738
254,267797.0,270465.49524071097
255,270680.0,257833.13914547517
256,268368.0,256744.92573789
257,212812.0,251285.32324414802
258,262356.0,247691.27115569627
259,280380.0,263239.2341237482
260,273260.0,270338.0670711551
261,261716.0,241331.9588810605
262,288980.0,261665.8504356556
263,301380.0,299437.0563075514
264,303109.0,293767.55897663237
265,283322.0,285004.60112883383
266,290163.0,264363.9289256961
267,302453.0,310981.87034627405
268,298786.0,306723.6980524117
269,275282.0,283398.52957403
270,282772.0,273780.7368918145
271,311984.0,298225.9693919129
272,307634.0,307767.8079699052
273,287796.0,292638.7823394163
274,282731.0,279652.8153199447
275,314216.0,299675.35767473665
276,312183.0,312874.4965204746
277,313500.0,297332.2026372915
