Data,Real,Previsto
2021-09-13,256434,253796.45351788047
2021-09-20,238673,249347.12026103947
2021-09-27,231081,247529.505705817
2021-10-04,257742,247061.36921713667
2021-10-11,252686,245428.42812981197
2021-10-18,238757,241993.52022063598
2021-10-25,238128,238565.8966088699
2021-11-01,225610,237097.5674740914
2021-11-08,247099,237547.7655130645
2021-11-15,242126,238343.85353047625
2021-11-22,204978,238445.18024925768
2021-11-29,216706,238275.73562832628
2021-12-06,245932,238684.84664400225
2021-12-13,253417,239784.37606374794
2021-12-20,237461,241367.8802805354
2021-12-27,231585,244037.43585092135
2022-01-03,269703,248893.41734732172
2022-01-10,286269,255627.31613862503
2022-01-17,247714,261497.2774281685
2022-01-24,238739,263178.7964418042
2022-01-31,257284,260035.545599309
2022-02-07,264444,255173.7079292471
2022-02-14,256144,252739.02834942832
2022-02-21,240071,254090.94621593336
2022-02-28,248381,256826.1131295683
2022-03-07,272875,257488.21203110475
2022-03-14,263517,254864.71080621728
2022-03-21,244319,250537.78062764282
2022-03-28,243841,246771.37296442094
2022-04-04,279005,244595.60760180475
2022-04-11,260687,243999.79580876217
2022-04-18,253319,245167.9181867765
2022-04-25,242677,248633.06241064603
2022-05-02,266316,254152.4690124278
2022-05-09,284689,260108.38555561856
2022-05-16,279297,264554.731460659
2022-05-23,255412,266708.9625166122
2022-05-30,267132,267031.5903814373
2022-06-06,288327,266000.2358170343
2022-06-13,288356,263528.08824826695
2022-06-20,274547,260008.27032976702
2022-06-27,259518,257375.27626983647
2022-07-04,301161,258037.72953391797
2022-07-11,288381,262221.2770679175
2022-07-18,280318,266873.5355332764
2022-07-25,260070,268095.36858491093
2022-08-01,280053,264969.4466224002
2022-08-08,287731,260561.70950564908
2022-08-15,284868,258708.80591064968
2022-08-22,273074,259975.9293173036
2022-08-29,266753,261244.0013077593
2022-09-05,306993,259315.6959896696
2022-09-12,290608,254396.11925321008
2022-09-19,268786,249599.85561718055
2022-09-26,261116,247324.05527894106
2022-10-03,271482,246810.67422362807
2022-10-10,272242,245516.99269092642
2022-10-17,262726,242326.62779096386
2022-10-24,259192,238724.87941102823
2022-10-31,238170,236844.4012703537
2022-11-07,267797,237048.3336795853
2022-11-14,270680,237898.06580483163
2022-11-21,268368,238129.160603097
2022-11-28,212812,237936.77239022794
2022-12-05,262356,238208.00230452072
2022-12-12,280380,239205.69259697013
2022-12-19,273260,240688.36221343273
2022-12-26,261716,243073.7556349823
2023-01-02,288980,247487.974850054
2023-01-09,301380,254014.93675485108
2023-01-16,303109,260301.27819168195
2023-01-23,283322,262886.826705597
2023-01-30,290163,260472.28185233678
2023-02-06,302453,255594.5126716313
2023-02-13,298786,252513.7101978897
2023-02-20,275282,253275.5042681454
2023-02-27,282772,256034.32045416918
2023-03-06,311984,257246.32119108405
2023-03-13,307634,255158.32614673142
2023-03-20,287796,250960.42547071187
2023-03-27,282731,246978.44960627516
2023-04-03,314216,244509.7760057983
2023-04-10,312183,243637.4502336993
2023-04-17,313500,244449.2858089103
