Data,Loja,Item,Real,Previsto
2018-01-29,Loja_1,Item_1,0,3.765468184950536
2018-02-05,Loja_1,Item_1,1,3.765468184950536
2018-02-12,Loja_1,Item_1,0,3.765468184950536
2018-02-19,Loja_1,Item_1,0,3.765468184950536
2018-02-26,Loja_1,Item_1,0,3.765468184950536
2018-03-05,Loja_1,Item_1,0,4.765468184950536
2018-03-12,Loja_1,Item_1,1,3.765468184950536
2018-03-19,Loja_1,Item_1,0,3.765468184950536
2018-03-26,Loja_1,Item_1,0,3.765468184950536
2018-04-02,Loja_1,Item_1,0,3.765468184950536
2018-04-09,Loja_1,Item_1,0,3.765468184950536
2018-04-16,Loja_1,Item_1,4,3.765468184950536
2018-04-23,Loja_1,Item_1,7,3.765468184950536
2018-04-30,Loja_1,Item_1,5,3.765468184950536
2018-05-07,Loja_1,Item_1,0,3.765468184950536
2018-05-14,Loja_1,Item_1,1,3.765468184950536
2018-05-21,Loja_1,Item_1,0,3.765468184950536
2018-05-28,Loja_1,Item_1,1,3.765468184950536
2018-06-04,Loja_1,Item_1,9,3.765468184950536
2018-06-11,Loja_1,Item_1,3,3.765468184950536
2018-06-18,Loja_1,Item_1,13,5.765468184950536
2018-06-25,Loja_1,Item_1,13,4.765468184950536
2018-07-02,Loja_1,Item_1,4,3.765468184950536
2018-07-09,Loja_1,Item_1,11,4.765468184950536
2018-07-16,Loja_1,Item_1,2,3.765468184950536
2018-07-23,Loja_1,Item_1,17,3.765468184950536
2018-07-30,Loja_1,Item_1,9,3.765468184950536
2018-08-06,Loja_1,Item_1,13,3.765468184950536
2018-08-13,Loja_1,Item_1,2,5.765468184950536
2018-08-20,Loja_1,Item_1,11,3.765468184950536
2018-08-27,Loja_1,Item_1,3,5.765468184950536
2018-01-29,Loja_1,Item_2,1,1.95
2018-02-05,Loja_1,Item_2,1,1.95
2018-02-12,Loja_1,Item_2,1,1.95
2018-02-19,Loja_1,Item_2,0,1.95
2018-02-26,Loja_1,Item_2,1,1.95
2018-03-05,Loja_1,Item_2,2,1.95
2018-03-12,Loja_1,Item_2,1,2.95
2018-03-19,Loja_1,Item_2,3,2.95
2018-03-26,Loja_1,Item_2,1,3.95
2018-04-02,Loja_1,Item_2,0,1.95
2018-04-09,Loja_1,Item_2,2,2.95
2018-04-16,Loja_1,Item_2,0,1.95
2018-04-23,Loja_1,Item_2,2,1.95
2018-04-30,Loja_1,Item_2,2,1.95
2018-05-07,Loja_1,Item_2,2,1.95
2018-05-14,Loja_1,Item_2,4,1.95
2018-05-21,Loja_1,Item_2,2,1.95
2018-05-28,Loja_1,Item_2,2,1.95
2018-06-04,Loja_1,Item_2,1,4.949999999999999
2018-06-11,Loja_1,Item_2,4,7.949999999999999
2018-06-18,Loja_1,Item_2,1,2.95
2018-06-25,Loja_1,Item_2,3,1.95
2018-07-02,Loja_1,Item_2,4,1.95
