Data,Loja,Item,Real,Previsto
2018-01-29,Loja_1,Item_1,0.0,1.7148092
2018-02-05,Loja_1,Item_1,1.0,1.6036158
2018-02-12,Loja_1,Item_1,0.0,0.5599195
2018-02-19,Loja_1,Item_1,0.0,1.6911368
2018-02-26,Loja_1,Item_1,0.0,-2.319401
2018-03-05,Loja_1,Item_1,0.0,0.36513355
2018-03-12,Loja_1,Item_1,1.0,2.0834088
2018-03-19,Loja_1,Item_1,0.0,2.8689518
2018-03-26,Loja_1,Item_1,0.0,0.5589855
2018-04-02,Loja_1,Item_1,0.0,0.31469315
2018-04-09,Loja_1,Item_1,0.0,-1.4096514
2018-04-16,Loja_1,Item_1,4.0,-0.65662783
2018-04-23,Loja_1,Item_1,7.0,-1.0349367
2018-04-30,Loja_1,Item_1,5.0,0.85622805
2018-05-07,Loja_1,Item_1,0.0,0.9798369
2018-05-14,Loja_1,Item_1,1.0,1.385386
2018-05-21,Loja_1,Item_1,0.0,1.4637693
2018-05-28,Loja_1,Item_1,1.0,0.7233459
2018-06-04,Loja_1,Item_1,9.0,-2.5020542
2018-06-11,Loja_1,Item_1,3.0,2.430331
2018-06-18,Loja_1,Item_1,13.0,4.812174
2018-06-25,Loja_1,Item_1,13.0,1.8598933
2018-07-02,Loja_1,Item_1,4.0,2.9911976
2018-07-09,Loja_1,Item_1,11.0,1.3142942
2018-07-16,Loja_1,Item_1,2.0,3.45576
2018-07-23,Loja_1,Item_1,17.0,10.759923
2018-07-30,Loja_1,Item_1,9.0,9.800529
2018-08-06,Loja_1,Item_1,13.0,14.14699
2018-08-13,Loja_1,Item_1,2.0,10.363607
2018-08-20,Loja_1,Item_1,11.0,10.069406
2018-08-27,Loja_1,Item_1,3.0,5.831573
2018-01-29,Loja_1,Item_2,1.0,1.5547397
2018-02-05,Loja_1,Item_2,1.0,1.6377592
2018-02-12,Loja_1,Item_2,1.0,0.98091877
2018-02-19,Loja_1,Item_2,0.0,-0.5311463
2018-02-26,Loja_1,Item_2,1.0,-0.22088721
2018-03-05,Loja_1,Item_2,2.0,-0.119777665
2018-03-12,Loja_1,Item_2,1.0,-1.0751431
2018-03-19,Loja_1,Item_2,3.0,0.40131515
2018-03-26,Loja_1,Item_2,1.0,1.390122
2018-04-02,Loja_1,Item_2,0.0,0.5613604
2018-04-09,Loja_1,Item_2,2.0,0.077389896
2018-04-16,Loja_1,Item_2,0.0,0.6777683
2018-04-23,Loja_1,Item_2,2.0,0.2653387
2018-04-30,Loja_1,Item_2,2.0,0.6926221
2018-05-07,Loja_1,Item_2,2.0,1.2136619
