Data,Loja,Item,Real,Previsto
2018-01-29,Loja_1,Item_1,0.0,5.0938406
2018-02-05,Loja_1,Item_1,1.0,4.449411
2018-02-12,Loja_1,Item_1,0.0,16.38929
2018-02-19,Loja_1,Item_1,0.0,1.5106683
2018-02-26,Loja_1,Item_1,0.0,3.9445703
2018-03-05,Loja_1,Item_1,0.0,0.74778175
2018-03-12,Loja_1,Item_1,1.0,1.9104438
2018-03-19,Loja_1,Item_1,0.0,4.4421053
2018-03-26,Loja_1,Item_1,0.0,1.3460574
2018-04-02,Loja_1,Item_1,0.0,3.471089
2018-04-09,Loja_1,Item_1,0.0,0.24781387
2018-04-16,Loja_1,Item_1,4.0,0.35603446
2018-04-23,Loja_1,Item_1,7.0,0.16346681
2018-04-30,Loja_1,Item_1,5.0,6.491032
2018-05-07,Loja_1,Item_1,0.0,29.769814
2018-05-14,Loja_1,Item_1,1.0,38.252087
2018-05-21,Loja_1,Item_1,0.0,5.5110564
2018-05-28,Loja_1,Item_1,1.0,0.10430022
2018-06-04,Loja_1,Item_1,9.0,1.8248396
2018-06-11,Loja_1,Item_1,3.0,7.491789
2018-06-18,Loja_1,Item_1,13.0,7.909694
2018-06-25,Loja_1,Item_1,13.0,31.083578
2018-07-02,Loja_1,Item_1,4.0,126.50699
2018-07-09,Loja_1,Item_1,11.0,120.00123
2018-07-16,Loja_1,Item_1,2.0,129.67873
2018-07-23,Loja_1,Item_1,17.0,35.398724
2018-07-30,Loja_1,Item_1,9.0,61.276783
2018-08-06,Loja_1,Item_1,13.0,132.37366
2018-08-13,Loja_1,Item_1,2.0,128.28633
2018-08-20,Loja_1,Item_1,11.0,106.19904
2018-08-27,Loja_1,Item_1,3.0,122.481865
2018-01-29,Loja_1,Item_2,1.0,-12.64353
2018-02-05,Loja_1,Item_2,1.0,2.3459425
2018-02-12,Loja_1,Item_2,1.0,1.9545634
2018-02-19,Loja_1,Item_2,0.0,2.7261431
2018-02-26,Loja_1,Item_2,1.0,0.17703679
2018-03-05,Loja_1,Item_2,2.0,1.2164084
2018-03-12,Loja_1,Item_2,1.0,4.0304604
2018-03-19,Loja_1,Item_2,3.0,1.3144943
2018-03-26,Loja_1,Item_2,1.0,3.680305
