Data,Loja,Real,Previsto
2018-01-29,Loja_1,24.0,24.25972
2018-02-05,Loja_1,24.0,25.271812
2018-02-12,Loja_1,23.0,23.403337
2018-02-19,Loja_1,25.0,23.125673
2018-02-26,Loja_1,17.0,21.818989
2018-03-05,Loja_1,14.999999999999998,19.745218
2018-03-12,Loja_1,21.0,23.924482
2018-03-19,Loja_1,19.0,24.342297
2018-03-26,Loja_1,20.0,26.282495
2018-04-02,Loja_1,12.0,25.517809
2018-04-09,Loja_1,8.0,24.643986
2018-04-16,Loja_1,17.0,23.590046
2018-04-23,Loja_1,34.0,23.98687
2018-04-30,Loja_1,42.0,22.697914
2018-05-07,Loja_1,28.0,21.262926
2018-05-14,Loja_1,37.0,25.276989
2018-05-21,Loja_1,22.0,19.37577
2018-05-28,Loja_1,10.999999999999998,23.141914
2018-06-04,Loja_1,25.0,21.483236
2018-06-11,Loja_1,37.0,25.810333
2018-06-18,Loja_1,46.0,23.025866
2018-06-25,Loja_1,47.0,25.028105
2018-07-02,Loja_1,35.0,33.467796
2018-07-09,Loja_1,37.0,30.2404
2018-07-16,Loja_1,19.0,29.408375
2018-07-23,Loja_1,74.0,29.33774
2018-07-30,Loja_1,57.0,19.274078
2018-08-06,Loja_1,85.0,23.262537
2018-08-13,Loja_1,47.0,29.285864
2018-08-20,Loja_1,56.0,31.379879
2018-08-27,Loja_1,31.0,26.178984
2018-01-29,Loja_2,16.0,30.980158
2018-02-05,Loja_2,36.0,40.9899
2018-02-12,Loja_2,25.0,42.57503
2018-02-19,Loja_2,27.0,39.735783
2018-02-26,Loja_2,30.0,43.347946
2018-03-05,Loja_2,31.0,31.865343
2018-03-12,Loja_2,26.0,33.011105
2018-03-19,Loja_2,36.0,30.67241
2018-03-26,Loja_2,21.0,31.605198
2018-04-02,Loja_2,25.0,33.407173
2018-04-09,Loja_2,22.0,30.27217
2018-04-16,Loja_2,15.0,30.109816
2018-04-23,Loja_2,22.0,31.719334
2018-04-30,Loja_2,16.0,31.47341
2018-05-07,Loja_2,22.0,31.275993
2018-05-14,Loja_2,24.0,30.858664
2018-05-21,Loja_2,22.0,35.64965
2018-05-28,Loja_2,22.0,35.74228
2018-06-04,Loja_2,17.0,31.075874
2018-06-11,Loja_2,31.0,34.15101
2018-06-18,Loja_2,21.0,34.769325
2018-06-25,Loja_2,14.000000000000002,39.25559
2018-07-02,Loja_2,17.0,39.218533
2018-07-09,Loja_2,16.0,40.673347
2018-07-16,Loja_2,15.0,35.04282
2018-07-23,Loja_2,24.0,33.903923
2018-07-30,Loja_2,18.0,30.735746
2018-08-06,Loja_2,22.0,31.752281
2018-08-13,Loja_2,16.0,29.769623
2018-08-20,Loja_2,14.000000000000002,32.090664
