Data,Loja,Real,Previsto
2018-01-29,Loja_1,24.0,58.935192
2018-02-05,Loja_1,24.0,61.704803
2018-02-12,Loja_1,23.0,22.93692
2018-02-19,Loja_1,25.0,28.841965
2018-02-26,Loja_1,17.0,40.997295
2018-03-05,Loja_1,14.999999999999998,22.64002
2018-03-12,Loja_1,21.0,12.17074
2018-03-19,Loja_1,19.0,21.902742
2018-03-26,Loja_1,20.0,36.12938
2018-04-02,Loja_1,12.0,27.439554
2018-04-09,Loja_1,8.0,15.713763
2018-04-16,Loja_1,17.0,12.997695
2018-04-23,Loja_1,34.0,19.532698
2018-04-30,Loja_1,42.0,37.641785
2018-05-07,Loja_1,28.0,43.15088
2018-05-14,Loja_1,37.0,28.30259
2018-05-21,Loja_1,22.0,21.161673
2018-05-28,Loja_1,10.999999999999998,32.09996
2018-06-04,Loja_1,25.0,19.008524
2018-06-11,Loja_1,37.0,8.856789
2018-06-18,Loja_1,46.0,35.662876
2018-06-25,Loja_1,47.0,52.043568
2018-07-02,Loja_1,35.0,50.682922
2018-07-09,Loja_1,37.0,47.6666
2018-07-16,Loja_1,19.0,36.665207
2018-07-23,Loja_1,74.0,28.78255
2018-07-30,Loja_1,57.0,27.28074
2018-08-06,Loja_1,85.0,59.363697
2018-08-13,Loja_1,47.0,52.144226
2018-08-20,Loja_1,56.0,54.594658
2018-08-27,Loja_1,31.0,52.03254
2018-01-29,Loja_2,16.0,33.788906
2018-02-05,Loja_2,36.0,52.334797
2018-02-12,Loja_2,25.0,44.79171
2018-02-19,Loja_2,27.0,31.605097
2018-02-26,Loja_2,30.0,36.052193
2018-03-05,Loja_2,31.0,25.237263
2018-03-12,Loja_2,26.0,30.372269
2018-03-19,Loja_2,36.0,33.364502
2018-03-26,Loja_2,21.0,35.4923
2018-04-02,Loja_2,25.0,26.591013
2018-04-09,Loja_2,22.0,32.02379
2018-04-16,Loja_2,15.0,32.601234
2018-04-23,Loja_2,22.0,32.153408
2018-04-30,Loja_2,16.0,34.344715
2018-05-07,Loja_2,22.0,34.287266
2018-05-14,Loja_2,24.0,35.852234
2018-05-21,Loja_2,22.0,35.501026
2018-05-28,Loja_2,22.0,36.838795
2018-06-04,Loja_2,17.0,31.901825
2018-06-11,Loja_2,31.0,33.098057
2018-06-18,Loja_2,21.0,34.43395
2018-06-25,Loja_2,14.000000000000002,30.606586
2018-07-02,Loja_2,17.0,32.175255
2018-07-09,Loja_2,16.0,28.399036
2018-07-16,Loja_2,15.0,32.89817
2018-07-23,Loja_2,24.0,35.44469
2018-07-30,Loja_2,18.0,35.941708
2018-08-06,Loja_2,22.0,30.33006
2018-08-13,Loja_2,16.0,32.016315
2018-08-20,Loja_2,14.000000000000002,34.21441
2018-08-27,Loja_2,5.0,31.02995
2018-01-29,Loja_3,32.0,-256.3517
2018-02-05,Loja_3,42.0,188.2135
2018-02-12,Loja_3,58.0,11.840859
2018-02-19,Loja_3,54.0,166.73064
2018-02-26,Loja_3,24.0,21.143198
2018-03-05,Loja_3,36.0,23.93681
2018-03-12,Loja_3,34.0,96.36664
2018-03-19,Loja_3,27.0,14.28831
2018-03-26,Loja_3,25.0,50.929325
2018-04-02,Loja_3,23.0,80.63235
2018-04-09,Loja_3,20.0,101.24051
2018-04-16,Loja_3,24.0,-33.74796
2018-04-23,Loja_3,51.0,28.18757
2018-04-30,Loja_3,46.0,122.25433
2018-05-07,Loja_3,59.99999999999999,59.005173
2018-05-14,Loja_3,14.999999999999998,80.4395
2018-05-21,Loja_3,38.0,55.491974
2018-05-28,Loja_3,29.0,27.853374
2018-06-04,Loja_3,13.0,19.904297
2018-06-11,Loja_3,18.0,50.441673
2018-06-18,Loja_3,5.0,40.80464
2018-06-25,Loja_3,7.0,66.19798
2018-07-02,Loja_3,20.0,-43.269173
2018-07-09,Loja_3,9.0,18.082594
2018-07-16,Loja_3,6.0,129.21942
2018-07-23,Loja_3,11.0,-11.140768
2018-07-30,Loja_3,12.0,46.461037
2018-08-06,Loja_3,17.0,31.357224
2018-08-13,Loja_3,14.0,4.883721
2018-08-20,Loja_3,7.0,60.67988
2018-08-27,Loja_3,8.0,22.68233
2018-01-29,Loja_4,19.0,104.399376
2018-02-05,Loja_4,17.0,359.80014
2018-02-12,Loja_4,18.0,225.26178
2018-02-19,Loja_4,30.000000000000004,113.43455
2018-02-26,Loja_4,27.0,112.681076
2018-03-05,Loja_4,25.0,49.05568
2018-03-12,Loja_4,20.0,35.940434
2018-03-19,Loja_4,28.0,35.57052
2018-03-26,Loja_4,26.0,41.905518
2018-04-02,Loja_4,20.0,39.600178
2018-04-09,Loja_4,20.0,25.605196
2018-04-16,Loja_4,13.0,26.513737
2018-04-23,Loja_4,13.0,27.973478
2018-04-30,Loja_4,7.0,53.550217
2018-05-07,Loja_4,10.0,62.706455
2018-05-14,Loja_4,17.0,60.421898
2018-05-21,Loja_4,15.000000000000002,71.82941
2018-05-28,Loja_4,2.0,66.31296
2018-06-04,Loja_4,6.0,43.63503
2018-06-11,Loja_4,10.0,40.642395
2018-06-18,Loja_4,11.0,49.696327
2018-06-25,Loja_4,8.0,32.598568
2018-07-02,Loja_4,7.0,32.296562
2018-07-09,Loja_4,4.0,16.440186
2018-07-16,Loja_4,10.0,22.217625
2018-07-23,Loja_4,11.0,39.619843
2018-07-30,Loja_4,7.0,33.50285
2018-08-06,Loja_4,7.0,10.124259
2018-08-13,Loja_4,4.0,16.79779
2018-08-20,Loja_4,7.0,20.198
2018-08-27,Loja_4,9.0,23.737843
2018-01-29,Loja_5,43.0,55.953423
2018-02-05,Loja_5,47.0,303.5862
2018-02-12,Loja_5,22.0,259.2029
2018-02-19,Loja_5,30.0,121.36888
2018-02-26,Loja_5,22.0,127.42136
2018-03-05,Loja_5,24.0,121.047485
2018-03-12,Loja_5,29.0,64.81714
2018-03-19,Loja_5,26.0,271.12543
2018-03-26,Loja_5,25.0,238.00984
2018-04-02,Loja_5,35.0,153.16216
2018-04-09,Loja_5,28.0,242.50995
2018-04-16,Loja_5,43.0,184.59535
2018-04-23,Loja_5,32.0,72.12668
2018-04-30,Loja_5,27.0,111.46163
2018-05-07,Loja_5,39.0,43.260952
2018-05-14,Loja_5,31.0,94.87108
2018-05-21,Loja_5,14.0,99.032524
2018-05-28,Loja_5,24.0,49.88612
2018-06-04,Loja_5,24.0,108.16263
2018-06-11,Loja_5,21.0,130.60504
2018-06-18,Loja_5,16.0,101.53633
2018-06-25,Loja_5,25.0,208.18109
2018-07-02,Loja_5,14.0,113.564865
2018-07-09,Loja_5,21.0,93.727974
2018-07-16,Loja_5,4.0,142.4614
2018-07-23,Loja_5,23.0,74.886406
2018-07-30,Loja_5,23.0,24.133385
2018-08-06,Loja_5,26.0,79.04519
2018-08-13,Loja_5,13.0,47.760155
2018-08-20,Loja_5,10.0,39.82552
2018-08-27,Loja_5,14.0,16.98665
2018-01-29,Loja_6,27.0,83.77497
2018-02-05,Loja_6,17.0,158.88474
2018-02-12,Loja_6,16.0,288.52798
2018-02-19,Loja_6,26.000000000000004,180.93735
2018-02-26,Loja_6,32.0,160.38536
2018-03-05,Loja_6,56.0,342.85858
2018-03-12,Loja_6,31.0,549.52026
2018-03-19,Loja_6,34.0,552.73413
2018-03-26,Loja_6,42.0,418.76608
2018-04-02,Loja_6,36.0,280.4948
2018-04-09,Loja_6,45.0,163.03197
2018-04-16,Loja_6,41.0,136.19682
2018-04-23,Loja_6,55.0,330.67648
2018-04-30,Loja_6,82.0,404.23816
2018-05-07,Loja_6,69.0,367.322
2018-05-14,Loja_6,67.0,360.03503
2018-05-21,Loja_6,76.0,360.09692
2018-05-28,Loja_6,34.0,461.1556
2018-06-04,Loja_6,36.0,456.31265
2018-06-11,Loja_6,31.0,445.24637
2018-06-18,Loja_6,17.0,565.5624
2018-06-25,Loja_6,28.0,580.8622
2018-07-02,Loja_6,25.0,565.46
2018-07-09,Loja_6,10.999999999999998,601.8303
2018-07-16,Loja_6,9.0,522.54126
2018-07-23,Loja_6,20.0,406.26993
2018-07-30,Loja_6,20.0,358.31183
2018-08-06,Loja_6,24.0,176.87856
2018-08-13,Loja_6,16.0,117.04433
2018-08-20,Loja_6,14.999999999999998,142.35522
2018-08-27,Loja_6,13.000000000000002,119.88804
2018-01-29,Loja_7,13.0,402.84015
2018-02-05,Loja_7,0.0,414.95978
2018-02-12,Loja_7,0.0,16.587803
2018-02-19,Loja_7,15.0,-12.122291
2018-02-26,Loja_7,24.0,43.878796
2018-03-05,Loja_7,19.0,31.864807
2018-03-12,Loja_7,39.0,16.367876
2018-03-19,Loja_7,43.0,14.483387
2018-03-26,Loja_7,32.0,87.835884
2018-04-02,Loja_7,34.0,55.093193
2018-04-09,Loja_7,22.0,17.162352
2018-04-16,Loja_7,28.0,-19.026207
2018-04-23,Loja_7,53.0,-28.596615
2018-04-30,Loja_7,26.0,15.490456
2018-05-07,Loja_7,43.0,-19.121967
2018-05-14,Loja_7,48.0,-24.032133
2018-05-21,Loja_7,63.00000000000001,45.103462
2018-05-28,Loja_7,28.0,-12.327841
2018-06-04,Loja_7,28.0,-34.66246
2018-06-11,Loja_7,26.0,-45.162117
2018-06-18,Loja_7,35.0,-86.09718
2018-06-25,Loja_7,17.0,1.5288141
2018-07-02,Loja_7,32.0,-19.324942
2018-07-09,Loja_7,18.0,-18.18106
2018-07-16,Loja_7,15.0,-23.879503
2018-07-23,Loja_7,46.0,89.848236
2018-07-30,Loja_7,49.0,142.23924
2018-08-06,Loja_7,63.00000000000001,31.737877
2018-08-13,Loja_7,55.0,-7.5545874
2018-08-20,Loja_7,28.0,-2.434038
2018-08-27,Loja_7,6.0,-68.03154
2018-01-29,Loja_8,43.0,16.41278
2018-02-05,Loja_8,39.0,-14.702276
2018-02-12,Loja_8,13.0,24.888369
2018-02-19,Loja_8,0.0,21.001175
2018-02-26,Loja_8,17.0,14.816923
2018-03-05,Loja_8,74.0,-0.84296286
2018-03-12,Loja_8,51.0,83.8484
2018-03-19,Loja_8,39.0,47.097878
