Data,Loja,Real,Previsto
2018-01-29,Loja_1,24,42.9935366761381
2018-02-05,Loja_1,24,34.34722760922084
2018-02-12,Loja_1,23,12.899029496489288
2018-02-19,Loja_1,25,-2.9969249966781604
2018-02-26,Loja_1,17,5.003640368091922
2018-03-05,Loja_1,15,36.65485957743828
2018-03-12,Loja_1,21,70.91499532858855
2018-03-19,Loja_1,19,83.97827410597183
2018-03-26,Loja_1,20,70.28977392684901
2018-04-02,Loja_1,12,45.821870093085934
2018-04-09,Loja_1,8,31.24593335333792
2018-04-16,Loja_1,17,32.96063088555944
2018-04-23,Loja_1,34,40.593918667111936
2018-04-30,Loja_1,42,41.08404255185754
2018-05-07,Loja_1,28,32.78196455371804
2018-05-14,Loja_1,37,25.411455883986378
2018-05-21,Loja_1,22,28.2733051823757
2018-05-28,Loja_1,11,40.53364842762973
2018-06-04,Loja_1,25,52.81493445708494
2018-06-11,Loja_1,37,56.41996464919305
2018-06-18,Loja_1,46,50.23203359771532
2018-06-25,Loja_1,47,40.19422103996772
2018-07-02,Loja_1,35,34.09166743212998
2018-07-09,Loja_1,37,36.59702837180759
2018-07-16,Loja_1,19,46.82132406631055
2018-07-23,Loja_1,74,58.62109952410743
2018-07-30,Loja_1,57,64.07214929499277
2018-08-06,Loja_1,85,59.31535073369167
2018-08-13,Loja_1,47,48.57275457898604
2018-08-20,Loja_1,56,41.49286720205178
2018-08-27,Loja_1,31,44.69446334385415
2018-01-29,Loja_2,16,-9.712936013632492
2018-02-05,Loja_2,36,-130.90705692748807
2018-02-12,Loja_2,25,-360.30127640985376
2018-02-19,Loja_2,27,-622.0936383293157
2018-02-26,Loja_2,30,-761.102364461802
2018-03-05,Loja_2,31,-657.8559951787355
2018-03-12,Loja_2,26,-342.2030346636088
2018-03-19,Loja_2,36,13.890419120389367
2018-03-26,Loja_2,21,231.17318441039453
2018-04-02,Loja_2,25,260.586419025049
2018-04-09,Loja_2,22,194.21100087434743
2018-04-16,Loja_2,15,152.46183409895426
2018-04-23,Loja_2,22,173.23486839049613
2018-04-30,Loja_2,16,209.51720450502145
2018-05-07,Loja_2,22,212.2256667672957
2018-05-14,Loja_2,24,188.72272533575392
2018-05-21,Loja_2,22,176.52666314332575
2018-05-28,Loja_2,22,183.0496133313779
2018-06-04,Loja_2,17,176.2943980097737
2018-06-11,Loja_2,31,135.1149502902433
2018-06-18,Loja_2,21,86.71484287186748
2018-06-25,Loja_2,14,77.74392087921922
2018-07-02,Loja_2,17,115.02599962176645
2018-07-09,Loja_2,16,153.50523032044634
2018-07-16,Loja_2,15,148.77766718428185
2018-07-23,Loja_2,24,108.73009843540358
2018-07-30,Loja_2,18,80.41026681574849
2018-08-06,Loja_2,22,90.87746404503412
2018-08-13,Loja_2,16,117.23439646851638
2018-08-20,Loja_2,14,120.4544350171522
2018-08-27,Loja_2,5,95.49020761730162
2018-01-29,Loja_3,32,27.06667504365823
2018-02-05,Loja_3,42,38.52301470298699
2018-02-12,Loja_3,58,36.79810809869074
2018-02-19,Loja_3,54,14.648714329074592
2018-02-26,Loja_3,24,-12.262333170537202
2018-03-05,Loja_3,36,-21.423794302967558
2018-03-12,Loja_3,34,-7.804789339821405
2018-03-19,Loja_3,27,11.663190460439065
2018-03-26,Loja_3,25,17.56977399474069
2018-04-02,Loja_3,23,8.107808672659754
2018-04-09,Loja_3,20,-2.256989270860553
2018-04-16,Loja_3,24,-1.209471149814882
2018-04-23,Loja_3,51,8.690043746857393
2018-04-30,Loja_3,46,15.946899002866031
2018-05-07,Loja_3,60,14.56921295231615
2018-05-14,Loja_3,15,9.127866585458513
2018-05-21,Loja_3,38,6.847147778265092
2018-05-28,Loja_3,29,8.810489663402619
2018-06-04,Loja_3,13,10.547745068787652
2018-06-11,Loja_3,18,8.701218383501923
2018-06-18,Loja_3,5,4.373185045850112
2018-06-25,Loja_3,7,1.0044697662224806
2018-07-02,Loja_3,20,2.220738489385784
2018-07-09,Loja_3,9,12.056983867444744
2018-07-16,Loja_3,6,33.23577774587604
2018-07-23,Loja_3,11,61.635567009730906
2018-07-30,Loja_3,12,84.31671573262146
2018-08-06,Loja_3,17,88.59142618181144
2018-08-13,Loja_3,14,75.6970950919757
2018-08-20,Loja_3,7,62.183953124455805
2018-08-27,Loja_3,8,63.22434292626285
2018-01-29,Loja_4,19,20.753751033634856
2018-02-05,Loja_4,17,22.93036943146731
2018-02-12,Loja_4,18,26.654665734698444
2018-02-19,Loja_4,30,24.142168219832246
2018-02-26,Loja_4,27,18.64052606920414
2018-03-05,Loja_4,25,21.848701282779043
2018-03-12,Loja_4,20,37.43110712193069
2018-03-19,Loja_4,28,52.32803519788676
2018-03-26,Loja_4,26,49.6376581569283
2018-04-02,Loja_4,20,29.406992322700766
2018-04-09,Loja_4,20,11.490449704656164
2018-04-16,Loja_4,13,14.846001191333311
2018-04-23,Loja_4,13,36.57331317810281
2018-04-30,Loja_4,7,55.567474730109126
2018-05-07,Loja_4,10,56.73681499220644
2018-05-14,Loja_4,17,47.18116112455976
2018-05-21,Loja_4,15,45.66833742363077
2018-05-28,Loja_4,2,59.03795078282504
2018-06-04,Loja_4,6,74.28963776829953
2018-06-11,Loja_4,10,75.10984507197162
2018-06-18,Loja_4,11,61.82580875531171
2018-06-25,Loja_4,8,50.740076149349065
2018-07-02,Loja_4,7,54.8952060660329
2018-07-09,Loja_4,4,70.2356453269918
2018-07-16,Loja_4,10,82.55740970819018
2018-07-23,Loja_4,11,84.38232736492499
2018-07-30,Loja_4,7,80.6230211776666
2018-08-06,Loja_4,7,78.67978729311287
2018-08-13,Loja_4,4,78.54794369845966
2018-08-20,Loja_4,7,75.80888595832967
2018-08-27,Loja_4,9,70.9128224217206
2018-01-29,Loja_5,43,30.703168608982143
2018-02-05,Loja_5,47,35.23027790415169
2018-02-12,Loja_5,22,48.54108569717428
2018-02-19,Loja_5,30,57.04655067780741
2018-02-26,Loja_5,22,52.28511735656566
2018-03-05,Loja_5,24,40.92088765242473
2018-03-12,Loja_5,29,36.71835735830404
2018-03-19,Loja_5,26,44.22392346855706
2018-03-26,Loja_5,25,53.522052451882544
2018-04-02,Loja_5,35,51.72720732851178
2018-04-09,Loja_5,28,37.08041000027261
2018-04-16,Loja_5,43,19.567127048802764
2018-04-23,Loja_5,32,9.063339491247792
2018-04-30,Loja_5,27,6.247487512948575
2018-05-07,Loja_5,39,5.996519908717887
2018-05-14,Loja_5,31,6.372758172886717
2018-05-21,Loja_5,14,10.389921442270037
2018-05-28,Loja_5,24,19.10678597807818
2018-06-04,Loja_5,24,27.049505494887367
2018-06-11,Loja_5,21,27.66577128902525
2018-06-18,Loja_5,16,22.193771467082502
2018-06-25,Loja_5,25,19.608641498531878
2018-07-02,Loja_5,14,26.372629870093192
2018-07-09,Loja_5,21,38.25706185293336
