Data,Real,Previsto
2018-02-19,1922,1627.440339373866
2018-02-26,2059,1604.4403393738662
2018-03-05,2139,1810.440339373866
2018-03-12,1808,1860.440339373866
2018-03-19,1911,1896.440339373866
2018-03-26,1950,1912.440339373866
2018-04-02,1697,1783.440339373866
2018-04-09,1758,1853.4403393738662
2018-04-16,1837,1641.440339373866
2018-04-23,1941,1900.440339373866
2018-04-30,1875,1955.440339373866
2018-05-07,2164,2074.4403393738658
2018-05-14,2287,2112.4403393738658
2018-05-21,1962,2240.4403393738658
2018-05-28,1038,2087.4403393738658
2018-06-04,1318,2093.4403393738658
2018-06-11,1756,2116.4403393738658
2018-06-18,1670,2069.4403393738658
2018-06-25,1653,1833.440339373866
2018-07-02,1558,2035.440339373866
2018-07-09,1286,2129.4403393738658
2018-07-16,1205,2319.4403393738658
2018-07-23,1956,2270.4403393738658
2018-07-30,1865,2226.4403393738658
2018-08-06,2423,2306.4403393738658
2018-08-13,2145,2248.4403393738658
2018-08-20,2016,2396.4403393738658
2018-08-27,980,2203.4403393738658
