Data,Real,Previsto
2018-02-19,1922.0,1586.1598
2018-02-26,2059.0,1586.433
2018-03-05,2139.0,1626.4973
2018-03-12,1808.0,1667.1873
2018-03-19,1911.0,1672.4424
2018-03-26,1949.9999999999998,1641.4396
2018-04-02,1697.0,1652.0453
2018-04-09,1758.0,1610.645
2018-04-16,1837.0,1579.0192
2018-04-23,1940.9999999999998,1621.2142
2018-04-30,1875.0,1618.7173
2018-05-07,2164.0,1587.4222
2018-05-14,2287.0,1580.7827
2018-05-21,1962.0000000000002,1626.0148
2018-05-28,1038.0,1669.2892
2018-06-04,1318.0,1732.4468
2018-06-11,1756.0,1642.3457
2018-06-18,1670.0,1625.8057
2018-06-25,1653.0,1643.0863
2018-07-02,1558.0,1582.6371
2018-07-09,1286.0,1568.5887
2018-07-16,1205.0,1566.1849
2018-07-23,1956.0,1578.6681
2018-07-30,1865.0000000000002,1499.5647
2018-08-06,2423.0,1582.4357
2018-08-13,2145.0,1651.191
2018-08-20,2016.0,1530.7081
2018-08-27,980.0,1735.4768
