Data,Real,Previsto
2018-02-19,1922.0,2278.9524
2018-02-26,2059.0,2460.6685
2018-03-05,2139.0,1998.1599
2018-03-12,1808.0,1877.5374
2018-03-19,1911.0,1992.5491
2018-03-26,1949.9999999999998,2076.5679
2018-04-02,1697.0,2302.1821
2018-04-09,1758.0,2222.1106
2018-04-16,1837.0,2135.337
2018-04-23,1940.9999999999998,1977.3464
2018-04-30,1875.0,2283.182
2018-05-07,2164.0,2277.2866
2018-05-14,2287.0,2339.8594
2018-05-21,1962.0000000000002,2312.4412
2018-05-28,1038.0,2281.2976
2018-06-04,1318.0,1480.5837
2018-06-11,1756.0,1253.9796
2018-06-18,1670.0,2304.7793
2018-06-25,1653.0,2682.7327
2018-07-02,1558.0,1945.3473
2018-07-09,1286.0,1383.1099
2018-07-16,1205.0,1590.404
2018-07-23,1956.0,2019.446
2018-07-30,1865.0000000000002,2463.3386
2018-08-06,2423.0,2011.0911
2018-08-13,2145.0,2102.3853
2018-08-20,2016.0,1867.6934
2018-08-27,980.0,1916.9742
