Data,Real,Previsto
2018-02-19,1922,1734.365504180728
2018-02-26,2059,1638.380673054844
2018-03-05,2139,1721.3115039826118
2018-03-12,1808,2066.632805405909
2018-03-19,1911,2432.0026394075985
2018-03-26,1950,2461.792852248126
2018-04-02,1697,2090.154633439869
2018-04-09,1758,1649.515650818989
2018-04-16,1837,1535.4160828042423
2018-04-23,1941,1809.2061964134211
2018-04-30,1875,2187.467888304043
2018-05-07,2164,2394.0073915483617
2018-05-14,2287,2430.8883535507066
2018-05-21,1962,2468.413988385627
2018-05-28,1038,2550.895454136617
2018-06-04,1318,2525.4259626029984
2018-06-11,1756,2277.1703903552425
2018-06-18,1670,1940.1027619825263
2018-06-25,1653,1787.5963232560032
2018-07-02,1558,1931.8468394229596
2018-07-09,1286,2210.174967515227
2018-07-16,1205,2390.226156204513
2018-07-23,1956,2420.2951697209246
2018-07-30,1865,2418.3547951257456
2018-08-06,2423,2457.921613135519
2018-08-13,2145,2468.3036040293086
2018-08-20,2016,2377.4657731544144
2018-08-27,980,2265.4429556666714
