Modelo,Base,Tipo,Treino,Previsao,RMSE,MAPE,Loja,Item
ARIMA,Favorita,Tudo,59.33,0.02,501644,7.17,Todas,Todos
CNN,Favorita,Tudo,5.24,0.21,850827,11.85,Todas,Todos
LSMT,Favorita,Tudo,33.36,0.55,497659,6.19,Todas,Todos
Prophet,Favorita,Tudo,0.39,0.12,826610,12.21,Todas,Todos
ARIMA,M5,Tudo,664.7,0.02,16910,5.4,Todas,Todos
CNN,M5,Tudo,5.97,0.14,22826,6.64,Todas,Todos
LSMT,M5,Tudo,11.05,0.54,12593,3.52,Todas,Todos
Prophet,M5,Tudo,0.29,0.1,27434,7.96,Todas,Todos
ARIMA,Olist,Tudo,32.13,0.01,488,25.17,Todas,Todos
CNN,Olist,Tudo,2.54,0.12,414,20.84,Todas,Todos
LSMT,Olist,Tudo,11.28,0.57,475,23.9,Todas,Todos
Prophet,Olist,Tudo,0.44,0.04,615,33.36,Todas,Todos
ARIMA,Favorita,Loja,60.1,0.01,29876,9.85,3,Todos
CNN,Favorita,Loja,6.41,0.13,29931,8.58,3,Todos
LSMT,Favorita,Loja,13.41,0.49,20419,5.83,3,Todos
Prophet,Favorita,Loja,0.25,0.07,50436,16.44,3,Todos
ARIMA,Favorita,Loja,48.86,0.01,14248,6.99,8,Todos
CNN,Favorita,Loja,4.9,0.14,21135,10.57,8,Todos
LSMT,Favorita,Loja,7.84,0.49,14790,6.57,8,Todos
Prophet,Favorita,Loja,0.18,0.08,27230,14.41,8,Todos
ARIMA,Favorita,Loja,92.91,0.02,31177,8.06,44,Todos
CNN,Favorita,Loja,4.73,0.17,34970,7.99,44,Todos
LSMT,Favorita,Loja,13.7,0.49,33999,7.99,44,Todos
Prophet,Favorita,Loja,0.23,0.18,52602,13.92,44,Todos
ARIMA,Favorita,Loja,60.8,0.02,29031,7.67,45,Todos
CNN,Favorita,Loja,3.95,0.17,46551,12.29,45,Todos
LSMT,Favorita,Loja,9.75,0.5,27263,6.96,45,Todos
Prophet,Favorita,Loja,0.23,0.1,42673,12.72,45,Todos
ARIMA,Favorita,Loja,286.63,0.02,26582,10.52,46,Todos
CNN,Favorita,Loja,4.65,0.17,35168,12.17,46,Todos
LSMT,Favorita,Loja,10.77,0.5,23287,8.04,46,Todos
Prophet,Favorita,Loja,0.2,0.06,29950,12.18,46,Todos
ARIMA,Favorita,Loja,734.62,0.02,30369,10.06,47,Todos
CNN,Favorita,Loja,4.52,0.13,36456,10.04,47,Todos
LSMT,Favorita,Loja,6.03,0.51,25796,6.94,47,Todos
Prophet,Favorita,Loja,0.23,0.11,37517,12.14,47,Todos
ARIMA,Favorita,Loja,217.01,0.02,21233,10.23,48,Todos
CNN,Favorita,Loja,4.95,0.13,27711,10.87,48,Todos
LSMT,Favorita,Loja,14.72,0.5,19904,8.36,48,Todos
Prophet,Favorita,Loja,0.19,0.05,29573,14.99,48,Todos
ARIMA,Favorita,Loja,52.89,0.01,24432,8.14,49,Todos
CNN,Favorita,Loja,4.6,0.13,37012,11.4,49,Todos
LSMT,Favorita,Loja,5.77,0.52,21812,6.76,49,Todos
Prophet,Favorita,Loja,0.22,0.09,45524,15.6,49,Todos
ARIMA,Favorita,Loja,243.08,0.01,15090,8.31,50,Todos
CNN,Favorita,Loja,5.08,0.15,21823,10.9,50,Todos
LSMT,Favorita,Loja,12.03,0.52,13764,7.2,50,Todos
Prophet,Favorita,Loja,0.19,0.13,15875,9.17,50,Todos
ARIMA,Favorita,Loja,54.55,0.02,22011,11.89,51,Todos
CNN,Favorita,Loja,4.75,0.17,12841,6.16,51,Todos
LSMT,Favorita,Loja,13.46,0.5,13378,6.96,51,Todos
Prophet,Favorita,Loja,0.17,0.07,32067,15.83,51,Todos
ARIMA,M5,Loja,538.68,0.02,2813,7.43,CA_1,Todos
CNN,M5,Loja,5.21,0.12,2622,6.81,CA_1,Todos
LSMT,M5,Loja,10.23,0.51,1624,4.21,CA_1,Todos
Prophet,M5,Loja,0.18,0.06,1746,4.37,CA_1,Todos
ARIMA,M5,Loja,1772.77,0.07,8840,25.16,CA_2,Todos
CNN,M5,Loja,5.11,0.15,4318,12.73,CA_2,Todos
LSMT,M5,Loja,8.65,0.52,2132,6.18,CA_2,Todos
Prophet,M5,Loja,0.22,0.08,12684,36.21,CA_2,Todos
ARIMA,M5,Loja,850.86,0.01,4756,9.79,CA_3,Todos
CNN,M5,Loja,5.32,0.13,3596,6.7,CA_3,Todos
LSMT,M5,Loja,9.72,0.55,2367,4.57,CA_3,Todos
Prophet,M5,Loja,0.19,0.09,4675,9.81,CA_3,Todos
ARIMA,M5,Loja,1333.91,0.06,1054,4.79,CA_4,Todos
CNN,M5,Loja,5.34,0.12,1389,6.71,CA_4,Todos
LSMT,M5,Loja,7.96,0.54,842,3.78,CA_4,Todos
Prophet,M5,Loja,0.21,0.08,1103,4.87,CA_4,Todos
ARIMA,M5,Loja,954.9,0.09,1326,4.69,TX_1,Todos
CNN,M5,Loja,5.09,0.13,1842,6.57,TX_1,Todos
LSMT,M5,Loja,10.8,0.54,1310,4.87,TX_1,Todos
Prophet,M5,Loja,0.26,0.1,1650,5.97,TX_1,Todos
ARIMA,M5,Loja,337.62,0.01,3204,9.92,TX_2,Todos
CNN,M5,Loja,5.24,0.13,2089,6.07,TX_2,Todos
LSMT,M5,Loja,5.97,0.53,1401,4.16,TX_2,Todos
Prophet,M5,Loja,0.2,0.08,6662,21.2,TX_2,Todos
ARIMA,M5,Loja,910.37,0.07,2833,9.4,TX_3,Todos
CNN,M5,Loja,5.16,0.13,2824,8.89,TX_3,Todos
