Série Temporal,RMSE,MAPE,Treino,Previsao
Favorita_Produto_3_1047679_ARIMA,624,19.8,142.6,0.07
Favorita_Produto_3_1047679_CNN,618,19.6,4.9,0.14
Favorita_Produto_3_1047679_LSTM,423,12.9,5.3,0.5
Favorita_Produto_3_1047679_Prophet,821,27.0,0.2,0.06
Favorita_Produto_3_1503844_ARIMA,336,7.3,5.8,0.01
Favorita_Produto_3_1503844_CNN,372,8.2,3.9,0.13
Favorita_Produto_3_1503844_LSTM,445,10.2,11.2,0.5
Favorita_Produto_3_1503844_Prophet,515,11.7,0.2,0.06
Favorita_Produto_8_1047679_ARIMA,279,16.5,16.9,0.01
Favorita_Produto_8_1047679_CNN,244,14.0,4.6,0.16
Favorita_Produto_8_1047679_LSTM,245,14.3,5.9,0.5
Favorita_Produto_8_1047679_Prophet,301,18.4,0.2,0.1
Favorita_Produto_8_1503844_ARIMA,270,7.8,6.1,0.01
Favorita_Produto_8_1503844_CNN,347,10.0,3.7,0.16
Favorita_Produto_8_1503844_LSTM,294,8.2,10.7,0.5
Favorita_Produto_8_1503844_Prophet,304,9.2,0.2,0.05
Favorita_Produto_44_1047679_ARIMA,1192,39.8,458.7,0.01
Favorita_Produto_44_1047679_CNN,552,15.6,4.7,0.17
Favorita_Produto_44_1047679_LSTM,544,16.6,5.6,0.52
Favorita_Produto_44_1047679_Prophet,1280,43.2,0.2,0.07
Favorita_Produto_44_1503844_ARIMA,526,8.8,5.2,0.01
Favorita_Produto_44_1503844_CNN,660,11.6,3.1,0.16
Favorita_Produto_44_1503844_LSTM,659,10.9,11.2,0.5
Favorita_Produto_44_1503844_Prophet,612,10.7,0.2,0.04
Favorita_Produto_45_1473474_ARIMA,182,6.2,5.7,0.01
Favorita_Produto_45_1473474_CNN,238,7.5,3.4,0.15
Favorita_Produto_45_1473474_LSTM,198,7.2,10.9,0.5
Favorita_Produto_45_1473474_Prophet,250,8.2,0.2,0.05
Favorita_Produto_45_1503844_ARIMA,258,6.6,5.6,0.01
Favorita_Produto_45_1503844_CNN,371,9.6,3.5,0.12
Favorita_Produto_45_1503844_LSTM,310,8.1,10.4,0.49
Favorita_Produto_45_1503844_Prophet,374,9.2,0.2,0.05
Favorita_Produto_46_584028_ARIMA,209,13.8,90.3,0.01
Favorita_Produto_46_584028_CNN,199,16.8,4.6,0.13
Favorita_Produto_46_584028_LSTM,179,12.4,16.3,0.52
Favorita_Produto_46_584028_Prophet,232,16.0,0.2,0.08
Favorita_Produto_46_1463992_ARIMA,356,16.8,4.5,0.01
Favorita_Produto_46_1463992_CNN,342,11.6,3.8,0.13
Favorita_Produto_46_1463992_LSTM,294,12.3,10.1,0.5
Favorita_Produto_46_1463992_Prophet,391,18.4,0.2,0.05
Favorita_Produto_47_1047679_ARIMA,1044,72.4,16.1,0.02
Favorita_Produto_47_1047679_CNN,317,17.0,4.7,0.12
Favorita_Produto_47_1047679_LSTM,291,14.7,8.0,0.52
Favorita_Produto_47_1047679_Prophet,1228,84.7,0.2,0.05
Favorita_Produto_47_1503844_ARIMA,260,8.4,5.7,0.0
Favorita_Produto_47_1503844_CNN,313,10.3,3.6,0.13
Favorita_Produto_47_1503844_LSTM,323,10.8,11.5,0.52
Favorita_Produto_47_1503844_Prophet,317,10.6,0.2,0.06
Favorita_Produto_48_584028_ARIMA,251,13.2,402.5,0.05
Favorita_Produto_48_584028_CNN,239,12.8,4.4,0.12
Favorita_Produto_48_584028_LSTM,272,14.2,16.7,0.51
Favorita_Produto_48_584028_Prophet,271,14.6,0.2,0.06
Favorita_Produto_48_1463992_ARIMA,413,13.2,16.1,0.0
Favorita_Produto_48_1463992_CNN,450,14.4,3.5,0.18
Favorita_Produto_48_1463992_LSTM,356,12.2,12.3,0.5
Favorita_Produto_48_1463992_Prophet,595,19.6,0.2,0.04
Favorita_Produto_49_1473474_ARIMA,217,7.7,16.8,0.01
Favorita_Produto_49_1473474_CNN,312,10.6,4.5,0.13
Favorita_Produto_49_1473474_LSTM,199,6.7,11.6,0.5
Favorita_Produto_49_1473474_Prophet,252,9.8,0.2,0.05
Favorita_Produto_49_1503844_ARIMA,475,10.3,110.4,0.01
Favorita_Produto_49_1503844_CNN,616,13.5,3.6,0.12
Favorita_Produto_49_1503844_LSTM,476,10.0,12.0,0.5
Favorita_Produto_49_1503844_Prophet,516,11.2,0.2,0.07
Favorita_Produto_50_364606_ARIMA,199,26.2,743.8,0.06
Favorita_Produto_50_364606_CNN,134,14.8,4.7,0.17
Favorita_Produto_50_364606_LSTM,109,12.2,17.8,0.52
Favorita_Produto_50_364606_Prophet,244,32.6,0.2,0.08
Favorita_Produto_50_584028_ARIMA,139,10.9,346.1,0.02
Favorita_Produto_50_584028_CNN,153,12.2,4.7,0.18
Favorita_Produto_50_584028_LSTM,136,12.0,16.9,0.52
Favorita_Produto_50_584028_Prophet,252,21.3,0.2,0.07
Favorita_Produto_51_257847_ARIMA,416,39.9,13.5,0.0
Favorita_Produto_51_257847_CNN,350,25.2,4.9,0.15
Favorita_Produto_51_257847_LSTM,316,23.8,7.4,0.51
Favorita_Produto_51_257847_Prophet,294,23.1,0.2,0.07
Favorita_Produto_51_1503844_ARIMA,488,18.6,28.7,0.01
Favorita_Produto_51_1503844_CNN,272,8.8,4.1,0.16
Favorita_Produto_51_1503844_LSTM,405,15.5,12.0,0.52
Favorita_Produto_51_1503844_Prophet,529,19.9,0.2,0.05
Favorita_Loja_3_Todos_ARIMA,29876,9.8,60.1,0.01
Favorita_Loja_3_Todos_CNN,29931,8.6,6.4,0.13
Favorita_Loja_3_Todos_LSTM,20419,5.8,13.4,0.49
Favorita_Loja_3_Todos_Prophet,50436,16.4,0.3,0.07
